publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Nature Energy		2058-7546	2016	1	1				http://www.nature.com/nenergy/		nenergy		fulltext	New for 2016		serial								P
Nature Genetics	1061-4036	1546-1718	1992	1-2	1				http://www.nature.com/ng		ng		fulltext			serial								P
Nature Geoscience	1752-0894	1752-0908	2008	1	1				http://www.nature.com/ngeo		ngeo		fulltext			serial								P
Nature Human Behaviour		2397-3374	2017	1	1				http://www.nature.com/nathumbehav/		nathumbehav		fulltext	New for 2017		serial								P
Nature Materials	1476-1122	1476-4660	2002	1	1				http://www.nature.com/nmat		nmat		fulltext			serial								P
Nature Medicine	1078-8956	1546-170X	1995	1	1				http://www.nature.com/nm		nm		fulltext			serial								P
Nature Methods	1548-7091	1548-7105	2004	1	1				http://www.nature.com/nmeth/index.html		nmeth		fulltext			serial								P
Nature Microbiology		2058-5276	2016	1	1				http://www.nature.com/nmicrobiol/		nmicrobiol		fulltext	New for 2016		serial								P
Nature Nanotechnology	1748-3387	1748-3395	2006	1	1				http://www.nature.com/nnano		nnano		fulltext			serial								P
Nature Neuroscience	1097-6256	1546-1726	1998	1	1				http://www.nature.com/neuro		neuro		fulltext			serial								P
Nature Photonics	1749-4885	1749-4893	2007	1	1				http://www.nature.com/nphoton		nphoton		fulltext			serial								P
Nature Physics	1745-2473	1745-2481	2005	1	1				http://www.nature.com/nphys		nphys		fulltext			serial								P
Nature Plants	2055-026X	2055-0278	2015	1	1				http://www.nature.com/nplants/		nplants		fulltext	New for 2014		serial								P
Nature Protocols	1754-2189	1750-2799	2006	1	1				http://www.nature.com/nprot		nprot		fulltext			serial								P
Nature Reviews Cancer	1474-175X	1474-1768	2001	1	1				http://www.nature.com/nrc		nrc		fulltext			serial								P
Nature Reviews Cardiology	1759-5002	1759-5010	2004	1	1				http://www.nature.com/nrcardio		nrcardio		fulltext			serial								P
Nature Reviews Chemistry		2397-3358	2017	1	1				http://www.nature.com/natrevchem/		natrevchem		fulltext	New for 2017		serial								P
Nature Reviews Clinical Oncology	1759-4774	1759-4782	2009	6	1				http://www.nature.com/nrclinonc		nrclinonc		fulltext	Previously:Nature Clinical Practice Oncology (2004-2009)		serial								P
Nature Reviews Disease Primers		2056-676X	2015						http://www.nature.com/nrdp/		nrdp		fulltext	New for 2015		serial								P
Nature Reviews Endocrinology	1759-5029	1759-5037	2009	5	4				http://www.nature.com/nrendo		nrendo		fulltext	Previously:Nature Clinical Practice Endocrinology & Metabolism (2005-2009)		serial								P
Nature Reviews Gastroenterology and Hepatology	1759-5045	1759-5053	2004	1	1				http://www.nature.com/nrgastro		nrgastro		fulltext			serial								P
Nature Reviews Genetics	1471-0056	1471-0064	2000	1	1				http://www.nature.com/nrg		nrg		fulltext			serial								P
Nature Reviews Materials		2058-8437	2016	1	1				http://www.nature.com/natrevmats/		natrevmats		fulltext	New for 2016		serial								P
Nature Reviews Microbiology	1740-1526	1740-1534	2003	1	1				http://www.nature.com/nrmicro		nrmicro		fulltext			serial								P
Nature Reviews Molecular Cell Biology	1471-0072	1471-0080	2000	1	1				http://www.nature.com/nrm		nrm		fulltext			serial								P
Nature Reviews Nephrology	1759-5061	1759-507X	2005	1	1				http://www.nature.com/nrneph		nrneph		fulltext			serial								P
Nature Reviews Neurology	1759-4758	1759-4766	2005	1	1				http://www.nature.com/nrneurol		nrneurol		fulltext			serial								P
Nature Reviews Rheumatology	1759-4790	1759-4804	2009	5	4				http://www.nature.com/nrrheum		nrrheum		fulltext	Previously:Nature Clinical Practice Rheumatology (2005-2009)		serial								P
Nature Reviews Urology	1759-4812	1759-4820	2004	1	1				http://www.nature.com/nrurol		nrurol		fulltext			serial								P
Nature Sustainability		2398-9629	2018	1	1				https://www.nature.com/natsustain/		natsustain		fulltext	New for 2018		serial								P
Neuropsychopharmacology	0893-133X	1470-634X	1993	8	1				http://www.nature.com/npp		npp		fulltext			serial								P
Oncogene	0950-9232	1476-5594	1997	14	1				http://www.nature.com/onc		onc		fulltext			serial								P
Pediatric Research	0031-3998	1530-0447	1967	1	1				http://www.nature.com/pr		pr		fulltext			serial								P
Polymer Journal	0032-3896	1349-0540	2006	38	1				http://www.nature.com/pj		pj		fulltext			serial								P
Prostate Cancer and Prostatic Diseases	1365-7852	1476-5608	1997	1	2				http://www.nature.com/pcan		pcan		fulltext			serial								P
SciBX: Scientce-Business Exchange		1945-3477	2008	1	1	2014	7	48	http://www.nature.com/scibx		scibx		fulltext	Now:BioCentury innovations		serial								P
Scientific American	0036-8733	1946-7087	2006	294	1				http://www.nature.com/scientificamerican		scientificamerican		fulltext			serial								P
Scientific American Mind	1555-2284	2331-379X	2004	14	1				http://www.nature.com/scientificamericanmind		scientificamericanmind		fulltext			serial								P
Spinal Cord	1362-4393	1476-5624	1996	34	4				http://www.nature.com/sc		sc		fulltext	Previously:Paraplegia (1963-1996) Free Access to archives		serial								P
The American Journal of Gastroenterology	0002-9270	1572-0241	1998	1	1				http://www.nature.com/ajg		ajg		fulltext			serial								P
The ISME Journal	1751-7362	1751-7370	2007	1	1				http://www.nature.com/ismej		ismej		fulltext			serial								P
The Journal of Antibiotics	0021-8820	1881-1469	2005	58	1				http://www.nature.com/ja		ja		fulltext			serial								P
The Pharmacogenomics Journal	1470-269X	1473-1150	2001	3	1				http://www.nature.com/tpj		tpj		fulltext			serial								P
Vital	1741-7503	1471-7511	2003	Winter	1	2013			http://www.nature.com/vital		vital		fulltext	now:BDJ Team		serial								P
npj Molecular Phenomics		2059-4690							http://www.nature.com/npjmolphen/		npjmolphen		fulltext	New for 2017. Open Access		serial								F
npj Quantum Materials		2397-4648	2016						http://www.nature.com/npjquantmats/articles		npjquantmatsarticles		fulltext	Open Access		serial								F
npj Vaccines		2059-0105	2016						http://www.nature.com/npjvaccines/articles		npjvaccinesarticles		fulltext	New for 2017. Open Access		serial								F
