publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Nature	0028-0836	1476-4687							http://www.nature.com/nature		nature		fulltext		Nature	serial								P
Nature Cell Biology	1465-7392	1476-4679							http://www.nature.com/ncb		ncb		fulltext		Nature	serial								P
Nature Chemistry	1755-4330	1755-4349							http://www.nature.com/nchem		nchem		fulltext		Nature	serial								P
Nature Immunology	1529-2908	1529-2916							http://www.nature.com/ni		ni		fulltext		Nature	serial								P
Nature Reviews Drug Discovery	1474-1776	1474-1784							http://www.nature.com/nrd		nrd		fulltext		Nature	serial								P
Nature Reviews Immunology	1474-1733	1474-1741							http://www.nature.com/nri		nri		fulltext		Nature	serial								P
Nature Reviews Neuroscience	1471-003X	1471-0048							http://www.nature.com/nrn		nrn		fulltext		Nature	serial								P
Nature Structural and Molecular Biology	1545-9993	1545-9985							http://www.nature.com/nsmb		nsmb		fulltext		Nature	serial								P
