publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs	eISBNs	undefined	coverage_notes
Handbook of Clinical Neurology	0072-9752		2003-01-01	79					http://www.sciencedirect.com/science/handbooks/00729752		00729752		fulltext			serial										0072-9752					
Comprehensive Analytical Chemistry	0166-526X		1979-01-01	9					http://www.sciencedirect.com/science/handbooks/0166526X		0166526X		fulltext			serial										0166-526X					
Handbook of Powder Technology	0167-3785		1980-01-01	1					http://www.sciencedirect.com/science/handbooks/01673785		01673785		fulltext			serial										0167-3785					
Handbook on the Physics and Chemistry of Rare Earths	0168-1273		1978-01-01	1					http://www.sciencedirect.com/science/handbooks/01681273		01681273		fulltext			serial										0168-1273					
Handbook of Exploration Geochemistry	0168-6275		1981-01-01	1		2000-12-31	7		http://www.sciencedirect.com/science/handbooks/01686275		01686275		fulltext	now: Handbook of Exploration and Environmental Geochemistry;		serial										0168-6275					
Handbook of Statistics	0169-7161		1980-01-01	1					http://www.sciencedirect.com/science/handbooks/01697161		01697161		fulltext			serial										0169-7161					
Anuario de Letras	0185-1373		2013-01-01	1	1				http://www.sciencedirect.com/science/journal/01851373		01851373		fulltext			serial										0185-1373					
Handbook of Chemical Neuroanatomy	0924-8196		1996-01-01	12					http://www.sciencedirect.com/science/handbooks/09248196		09248196		fulltext			serial										0924-8196					
Handbook of Geophysical Exploration: Seismic Exploration	0950-1401		1989-01-01	21					http://www.sciencedirect.com/science/handbooks/09501401		09501401		fulltext			serial										0950-1401					
Handbook of Biological Physics	1383-8121		1995-01-01	1					http://www.sciencedirect.com/science/handbooks/13838121		13838121		fulltext			serial										1383-8121					
Handbook of Sensors and Actuators	1386-2766		1996-01-01	3					http://www.sciencedirect.com/science/handbooks/13862766		13862766		fulltext			serial										1386-2766					
Rangeland Ecology & Management	1550-7424	1551-5028	2005-01-01	58	1				http://www.sciencedirect.com/science/journal/15507424/60		15507424		fulltext			serial										1550-7424	1551-5028				
Handbook of Magnetic Materials	1567-2719		1991-01-01	6					http://www.sciencedirect.com/science/handbooks/15672719		15672719		fulltext	previously: Handbook of Ferromagnetic Materials;		serial										1567-2719					
