publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs	eISBNs	undefined	coverage_notes
Fabrications: The Journal of the Society of Architectural Historians, Australia and New Zealand	1033-1867	2164-4756	1989-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfab20		rfab20		fulltext			serial										1033-1867	2164-4756				
Architecture and Culture	2050-7828	2050-7836	2013-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfac20		rfac20		fulltext	transfer in: (2015) Bloomsbury		serial										2050-7828	2050-7836				
Anthrozoos	0892-7936	1753-0377	1987-01-01	1					http://www.tandfonline.com/openurl?genre=journal&stitle=rfan20		rfan20		fulltext	transfer in (2015): Bloomsbury		serial										0892-7936	1753-0377				
Journal of Aesthetics and Phenomenology	2053-9320	2053-9339	2014-05-01	1					http://www.tandfonline.com/openurl?genre=journal&stitle=rfap20		rfap20		fulltext	transfer in (2015): Bloomsbury		serial										2053-9320	2053-9339				
Art in Translation	2380-5722	1756-1310	2009-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfat20		rfat20		fulltext	transfer in: (2015) Bloomsbury		serial										2380-5722	1756-1310				
Journal of Communication Design: Interdisciplinary and Graphic Design Research	2055-7132	2055-7140							http://www.tandfonline.com/openurl?genre=journal&stitle=rfcd20		rfcd20		fulltext	transfer in (2015): Bloomsbury content not yet available. new for 2015  Previously: Iridescent (2011 - 2014)		serial										2055-7132	2055-7140				
Cultural and Social History	1478-0038	1478-0046	2004-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfcs20		rfcs20		fulltext	transfer in (20105): Bloomsbury		serial										1478-0038	1478-0046				
Design and Culture	1754-7075	1754-7083	2009-04-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfdc20		rfdc20		fulltext	transfer in (2015): Bloomsbury		serial										1754-7075	1754-7083				
The Design Journal	1460-6925	1756-3062	1997-01-01	1	Supp. 1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfdj20		rfdj20		fulltext	transfer in (2015): Bloombury		serial										1460-6925	1756-3062				
Design Philosophy Papers		1448-7136	2003-02-01	1					http://www.tandfonline.com/openurl?genre=journal&stitle=rfdp20		rfdp20		fulltext	transfer in (2015): Bloomsbury		serial											1448-7136				
Feminist Economics	1354-5701	1466-4372	1995-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfec20		rfec20		fulltext			serial										1354-5701	1466-4372				
Australian Feminist Law Journal	1320-0968		1993-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfem20		rfem20		fulltext	Transfer in (2014): Griffith University,		serial										1320-0968					
