publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs
Modern Italy	1353-2944	1469-9877	1997-01-01	2	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cmit20		openurl?genre=journal&stitle=cmit20		fulltext			serial										1353-2944	1469-9877	
The Humanistic Psychologist	0887-3267	1547-3333	1997-01-01	25	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hthp20		openurl?genre=journal&stitle=hthp20		fulltext			serial										0887-3267	1547-3333	
Annual Review of Sex Research	1053-2528		1997-01-01	1		2007-01-01	18	1	http://www.tandfonline.com/openurl?genre=journal&stitle=hzsr20		openurl?genre=journal&stitle=hzsr20		fulltext	now: Journal of Sex Research (1965 - current)		serial										1053-2528		
Criminal Justice Matters	0962-7251	1934-6220	1997-01-01	27	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rcjm20		openurl?genre=journal&stitle=rcjm20		fulltext			serial										0962-7251	1934-6220	
Education as Change	1682-3206	1947-9417	2004-01-01	8	1				http://www.tandfonline.com/openurl?genre=journal&stitle=redc20		openurl?genre=journal&stitle=redc20		fulltext			serial										1682-3206	1947-9417	
International Journal of Health Education	1368-1222		1997-01-01	35	1	1997-01-01	35	4	http://www.tandfonline.com/openurl?genre=journal&stitle=rhpe19		openurl?genre=journal&stitle=rhpe19		fulltext	Now: International Journal of Health Promotion and Education (1998 - current)		serial										1368-1222		
Annual Review of Health Social Science	1036-6733		1997-01-01	7	1	2000-12-31	10	1	http://www.tandfonline.com/openurl?genre=journal&stitle=rhsr19		openurl?genre=journal&stitle=rhsr19		fulltext	now: Health Sociology Review		serial										1036-6733		
The Irish Journal of Psychology	0303-3910	2158-0812	2011-01-01	32	01-Feb				http://www.tandfonline.com/openurl?genre=journal&stitle=riri20		openurl?genre=journal&stitle=riri20		fulltext			serial										0303-3910	2158-0812	
Planning & Environmental Law	1548-0755	1556-8601	2004-01-01	56	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rpel20		openurl?genre=journal&stitle=rpel20		fulltext			serial										1548-0755	1556-8601	
Security Index: A Russian Journal on International Security	1993-4270	2151-7495	2007-01-01	13	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rsec20		openurl?genre=journal&stitle=rsec20		fulltext			serial										1993-4270	2151-7495	
American Foreign Policy Interests	1080-3920	1533-2128	1997-01-01	19	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uafp20		openurl?genre=journal&stitle=uafp20		fulltext			serial										1080-3920	1533-2128	
Journal of HIV/AIDS Prevention in Children & Youth	1553-8346	1553-8613	2004-01-01	6	1				http://www.tandfonline.com/openurl?genre=journal&stitle=whap20		openurl?genre=journal&stitle=whap20		fulltext	Merged: Journal of HIV/AIDS & Social Services. previously: Journal of HIV/AIDS Prevention and Education for Adolescents & Children (1996-2003)		serial										1553-8346	1553-8613	
Journal of Nutrition For the Elderly	0163-9366	1540-8566	1997-01-01	16	2	2010-01-01	29	4	http://www.tandfonline.com/openurl?genre=journal&stitle=wjne20		openurl?genre=journal&stitle=wjne20		fulltext	now: Journal of Nutrition in Gerontology and Geriatrics (2011 - )		serial										0163-9366	1540-8566	
Journal of Teaching in the Addictions	1533-2705	1533-2713	2002-01-01	1	1	2009-01-01	8	01-Feb	http://www.tandfonline.com/openurl?genre=journal&stitle=wtad20		openurl?genre=journal&stitle=wtad20		fulltext	now: Substance abuse		serial										1533-2705	1533-2713	
Journal of Chemical Dependency Treatment	0885-4734		1997-01-01	7	01-Feb	2006-01-01	8	2	http://www.tandfonline.com/openurl?genre=journal&stitle=wzcd20		openurl?genre=journal&stitle=wzcd20		fulltext	now: Journal of Dual Diagnosis		serial										0885-4734		
Journal of HIV/AIDS Prevention & Education for Adolescents & Children	1069-837X	1540-403X	1997-01-01	1	2	2003-12-31	5	03-Apr	http://www.tandfonline.com/openurl?genre=journal&stitle=wzha20		openurl?genre=journal&stitle=wzha20		fulltext	Merged: Journal of HIV/AIDS & Social Services ?�Continues: Journal of HIV/AIDS Prevention in Children & Youth (2004-2008)		serial										1069-837X	1540-403X	
Journal of Sex Education and Therapy	0161-4576		1997-06-01	22	1	2001-12-31	26	1	http://www.tandfonline.com/openurl?genre=journal&stitle=wzjs20		openurl?genre=journal&stitle=wzjs20		fulltext	now: American Journal of Sexuality Education		serial										0161-4576		
Journal of Psychology & Human Sexuality	0890-7064		1997-01-01	9	1	2007-01-01	18	4	http://www.tandfonline.com/openurl?genre=journal&stitle=wzph20		openurl?genre=journal&stitle=wzph20		fulltext	now: International Journal of Sexual Health (2007 - )		serial										0890-7064		
