publication_title	print_identifier	online_identifier	date_first_issue_online	date_last_issue_online	title_url	title_id	coverage_depth	publisher_name	publication_type	access_type
DIBt Mitteilungen	1438-7778	1437-1030	2004	2011	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1437-1030/issues	2095	fulltext	Wiley	serial	P
CHEMKON	0944-5846	1521-3730	1994	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3730/issues	2106	fulltext	Wiley	serial	P
Chemistry - A European Journal	0947-6539	1521-3765	1995	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3765/issues	2111	fulltext	Wiley	serial	P
Chemical Vapor Deposition	0948-1907	1521-3862	1995	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3862/issues	2112	fulltext	Wiley	serial	P
Chemische Revue über die Fett- und Harz-Industrie	0366-7960		1894	1915	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1438-9312/issues	2114	fulltext	Wiley	serial	P
Mauerwerk	1432-3427	1437-1022	2001	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1437-1022/issues	2116	fulltext	Wiley	serial	P
PROTEOMICS	1615-9853	1615-9861	2001	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1615-9861/issues	2120	fulltext	Wiley	serial	P
Advanced Functional Materials	1616-301X	1616-3028	2001	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1616-3028/issues	2126	fulltext	Wiley	serial	P
Macromolecular Bioscience	1616-5187	1616-5195	2001	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1616-5195/issues	2127	fulltext	Wiley	serial	P
Engineering in Life Sciences	1618-0240	1618-2863	2001	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1618-2863/issues	2129	fulltext	Wiley	serial	P
PAMM (Proceedings in applied mathematics and mechanics)		1617-7061	2002	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1617-7061/issues	2130	fulltext	Wiley	serial	P
physica status solidi (c)	1862-6351	1610-1642	2006	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1610-1642a/issues	2133	fulltext	Wiley	serial	P
Applied Numerical Analysis & Computational Mathematics	1611-8170	1611-8189	2004	2005	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1611-8189/issues	2135	fulltext	Wiley	serial	P
Chemistry & Biodiversity	1612-1872	1612-1880	2004	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1612-1880/issues	2136	fulltext	Wiley	serial	P
physica status solidi (RRL) - Rapid Research Letters	1862-6254	1862-6270	2007	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1862-6270/issues	2139	fulltext	Wiley	serial	P
Acta Polymerica	0323-7648	1521-4044	1979	1999	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4044/issues	2209	fulltext	Wiley	serial	P
Food	1611-6062	1611-6070	2003	2004	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1613-4133/issues	2216	fulltext	Wiley	serial	P
Helvetica Chimica Acta	0018-019X	1522-2675	1918	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2675/issues	2217	fulltext	Wiley	serial	P
Single Molecules	1438-5163	1438-5171	2000	2002	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1438-5171/issues	2219	fulltext	Wiley	serial	P
Biometrical Journal	0323-3847	1521-4036	1977	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4036/issues	2221	fulltext	Wiley	serial	P
Beiträge aus der Plasmaphysik	0005-8025		1960	1984	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3986/issues	2222	fulltext	Wiley	serial	P
Crystal Research and Technology	0232-1300	1521-4079	1981	2011	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4079/issues	2223	fulltext	Wiley	serial	P
Berliner entomologische Zeitschrift	0323-6145		1857	1874	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1860-1324/issues	2224	fulltext	Wiley	serial	P
Acta Biotechnologica	0138-4988	1521-3846	1980	2003	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1521-3846/issues	2226	fulltext	Wiley	serial	P
Astronomische Nachrichten	0004-6337	1521-3994	1823	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3994/issues	2228	fulltext	Wiley	serial	P
Physica status solidi	0031-8957		1961	1970	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3951/issues	2231	fulltext	Wiley	serial	P
physica status solidi (b)	0370-1972	1521-3951	1971	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3951/issues	2232	fulltext	Wiley	serial	P
ZAMM - Journal of Applied Mathematics and Mechanics / Zeitschrift für Angewandte Mathematik und Mechanik	0044-2267	1521-4001	1921	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4001/issues	2233	fulltext	Wiley	serial	P
Mathematische Nachrichten	0025-584X	1522-2616	1948	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2616/issues	2239	fulltext	Wiley	serial	P
Mitteilungen aus dem Museum für Naturkunde in Berlin. Zoologisches Museum und Institut für Spezielle Zoologie (Berlin)	0373-8493		1899	1997	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1860-0743a/issues	2240	fulltext	Wiley	serial	P
Feddes Repertorium	0014-8962	1522-239X	1965	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-239X/issues	2243	fulltext	Wiley	serial	P
Fortschritte der Physik	0015-8208	1521-3978	1953	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3978/issues	2244	fulltext	Wiley	serial	P
International Review of Hydrobiology	1434-2944	1522-2632	1998	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2632/issues	2246	fulltext	Wiley	serial	P
Journal of Basic Microbiology	0233-111X	1521-4028	1985	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4028/issues	2248	fulltext	Wiley	serial	P
GAMM-Mitteilungen	0936-7195	1522-2608	2004	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1522-2608/issues	2250	fulltext	Wiley	serial	P
Fossil Record : Mitteilungen aus der Museum für Naturkunde in Berlin	1435-1943	1860-1014	1998	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1860-1014/issues	2254	fulltext	Wiley	serial	P
Mathematical Logic Quarterly	0942-5616	1521-3870	1993	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3870/issues	2256	fulltext	Wiley	serial	P
Annalen der Physik	0003-3804	1521-3889	1799	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3889/issues	2257	fulltext	Wiley	serial	P
Advanced Synthesis & Catalysis	1615-4150	1615-4169	2001	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1615-4169/issues	2258	fulltext	Wiley	serial	P
HRC & CC. Journal of high resolution chromatography & chromatography communications	0344-7138		1978	1988	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1615-9314/issues	2259	fulltext	Wiley	serial	P
Zeitschrift für anorganische Chemie	0372-7874		1943	1950	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3749/issues	2260	fulltext	Wiley	serial	P
Die Makromolekulare Chemie	0025-116X		1947	1993	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3935/issues	2261	fulltext	Wiley	serial	P
Macromolecular Theory and Simulations	1022-1344	1521-3919	1994	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3919/issues	2262	fulltext	Wiley	serial	P
Die Makromolekulare Chemie, Rapid Communications	0173-2803		1980	1993	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3927/issues	2263	fulltext	Wiley	serial	P
Die Angewandte Makromolekulare Chemie	0003-3146	1522-9505	1967	1999	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1439-2054/issues	2264	fulltext	Wiley	serial	P
Macromolecular Symposia	1022-1360	1521-3900	1994	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3900/issues	2265	fulltext	Wiley	serial	P
Advanced Engineering Materials	1438-1656	1527-2648	1999	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1527-2648/issues	2266	fulltext	Wiley	serial	P
ChemPhysChem	1439-4235	1439-7641	2000	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1439-7641/issues	2267	fulltext	Wiley	serial	P
ChemBioChem	1439-4227	1439-7633	2000	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1439-7633/issues	2268	fulltext	Wiley	serial	P
Signal Transduction	1615-4053	1615-4061	2001	2007	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1615-4061/issues	2270	fulltext	Wiley	serial	P
Comparative and functional genomics	1531-6912	1532-6268	2001	2005	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1532-6268/issues	2292	fulltext	Wiley	serial	P
Fuel Cells	1615-6846	1615-6854	2001	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1615-6854/issues	2293	fulltext	Wiley	serial	P
Annali di Chimica	0003-4592	1612-8877	2004	2007	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1612-8877/issues	2294	fulltext	Wiley	serial	P
Small	1613-6810	1613-6829	2005	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1613-6829/issues	2296	fulltext	Wiley	serial	P
EMBO reports	1469-221X	1469-3178	2000	2012	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-3178/issues	2327	fulltext	Wiley	serial	P
The EMBO Journal	0261-4189	1460-2075	1997	2012	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1460-2075/issues	2328	fulltext	Wiley	serial	P
Plasma Processes and Polymers	1612-8850	1612-8869	2004	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1612-8869/issues	2410	fulltext	Wiley	serial	P
Laser Physics Letters	1612-2011	1612-202X	2004	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1612-202X/issues	2411	fulltext	Wiley	serial	P
Laser & Photonics Reviews	1863-8880	1863-8899	2007	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1863-8899/issues	2414	fulltext	Wiley	serial	P
Laser technik journal	1613-7728	1863-9119	2004	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1863-9119/issues	2421	fulltext	Wiley	serial	P
Acta Chimica Sinica English Edition			1983	1985	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1614-7065/issues	2434	fulltext	Wiley	serial	P
Biotechnology Journal	1860-6768	1860-7314	2006	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1860-7314/issues	2446	fulltext	Wiley	serial	P
Chemistry – An Asian Journal	1861-4728	1861-471X	2006	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1861-471X/issues	2451	fulltext	Wiley	serial	P
ChemMedChem	1860-7179	1860-7187	2006	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1860-7187/issues	2452	fulltext	Wiley	serial	P
Bauregelliste A, Bauregelliste B und Liste C	1862-3077		2005	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1862-3093/issues	2453	fulltext	Wiley	serial	P
PROTEOMICS - Clinical Applications	1862-8346		2007	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1862-8354/issues	2456	fulltext	Wiley	serial	P
Optik & Photonik	1863-1460	2191-1975	2006	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2191-1975/issues	2462	fulltext	Wiley	serial	P
Macromolecular Reaction Engineering	1862-832X	1862-8338	2007	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1862-8338/issues	2465	fulltext	Wiley	serial	P
Lipid Technology	0956-666X	1863-5377	2006	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1863-5377/issues	2472	fulltext	Wiley	serial	P
Journal of Biophotonics	1864-063X		2008	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1864-0648/issues	2475	fulltext	Wiley	serial	P
ChemSusChem	1864-5631	1864-564X	2008	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1864-564X/issues	2476	fulltext	Wiley	serial	P
Geomechanics and Tunnelling	1865-7362	1865-7389	2008	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1865-7389/issues	2478	fulltext	Wiley	serial	P
Steel Construction	1867-0520	1867-0539	2008	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1867-0539/issues	2489	fulltext	Wiley	serial	P
ChemCatChem	1867-3880	1867-3899	2009	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1867-3899/issues	2491	fulltext	Wiley	serial	P
steel research international	1611-3683	1869-344X	2009	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1869-344X/issues	2520	fulltext	Wiley	serial	P
Israel Journal of Chemistry	0021-2148		1963	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1869-5868/issues	2525	fulltext	Wiley	serial	P
Advanced Energy Materials	1614-6832	1614-6840	2011	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1614-6840/issues	2528	fulltext	Wiley	serial	P
geotechnik	0172-6145	2190-6653	2011	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2190-6653/issues	2534	fulltext	Wiley	serial	P
Zeitschrift für Chemie	0044-2402		1961	1990	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)0044-2402/issues	2536	fulltext	Wiley	serial	P
Recueil des Travaux Chimiques des Pays-Bas	0165-0513		1920	1996	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)0165-0513/issues	2537	fulltext	Wiley	serial	P
Bulletin des Sociétés Chimiques Belges	0037-9646		1945	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)0037-9646/issues	2538	fulltext	Wiley	serial	P
Journal of the Chinese Chemical Society	0009-4536	2192-6549	1954	2012	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2192-6549/issues	2600	fulltext	Wiley	serial	P
Annals of Applied Biology	0003-4746		1914	2012	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-7348/issues	aab	fulltext	Wiley	serial	P
Arabian Archaeology and Epigraphy	0905-7196	1600-0471	1990	2012	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0471/issues	aae	fulltext	Wiley	serial	P
Autonomic and Autacoid Pharmacology	1474-8665	1474-8673	2002	2012	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1474-8673/issues	aap	fulltext	Wiley	serial	P
Acta Archaeologica	0065-101X	1600-0390	2000	2012	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0390/issues	aar	fulltext	Wiley	serial	P
Acta Anaesthesiologica Scandinavica	0001-5172	1399-6576	1957	2012	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-6576/issues	aas	fulltext	Wiley	serial	P
