publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status		coverage_notes
Sirena: poesia, arte y critica	1548-6400	1554-7655	2005-01-01		1	2010-12-31	2		http://muse.jhu.edu/journal/307		6703		fulltext	No longer contributing to Project MUSE		serial										1548-6400	1554-7655					Current		
Soundings: An Interdisciplinary Journal	0038-1861	2161-6302	2012-01-01	95	1				http://muse.jhu.edu/journal/564		6704		fulltext			serial										0038-1861	2161-6302					Current		
Southeast Asian Affairs	0377-5437	1793-9135	2003-01-01	20	3				http://muse.jhu.edu/journal/462		6705		fulltext			serial										0377-5437	1793-9135					Current		
Southern Cultures	1068-8218	1534-1488	1993-01-01						http://muse.jhu.edu/journal/177		6706		fulltext			serial										1068-8218	1534-1488					Current		
Southwestern Historical Quarterly	0038-478X	1558-9560	2006-01-01	110	1				http://muse.jhu.edu/journal/340		6707		fulltext			serial										0038-478X	1558-9560					Current		
Spectrum: A Journal on Black Men	2162-3244	2162-3252	2012-01-01	1	1				http://muse.jhu.edu/journal/575		6708		fulltext			serial										2162-3244	2162-3252					Current		
Steinbeck Studies	0898-7734	1551-6903	2004-01-01	15	1	2005-12-31	16		http://muse.jhu.edu/journal/274		6710		fulltext	Now: Steinbeck Review		serial										0898-7734	1551-6903					Current		
StoryWorlds: A Journal of Narrative Studies	1946-2204	2156-7204	2009-01-01	1					http://muse.jhu.edu/journal/505		6711		fulltext			serial										1946-2204	2156-7204					Current		
Studies in American Naturalism	1931-2555	1944-6519	2009-01-01	4	1				http://muse.jhu.edu/journal/455		6712		fulltext			serial										1931-2555	1944-6519					Current		
Studies in the Literary Imagination	0039-3819		2011-01-01	44	1				http://muse.jhu.edu/journal/589		6713		fulltext			serial										0039-3819						Current		
Studies in the Novel	0039-3827	1934-1512	2008-01-01	40	1				http://muse.jhu.edu/journal/395		6714		fulltext			serial										0039-3827	1934-1512					Current		
Syllecta Classica	1040-3612	2160-5157	1989-01-01	1					http://muse.jhu.edu/journal/534		6715		fulltext			serial										1040-3612	2160-5157					Current		
Tenso	0890-3352	1944-0146	1985-01-01	1	01-Feb				http://muse.jhu.edu/journal/444		6716		fulltext			serial										0890-3352	1944-0146					Current		
Textual Cultures: Texts, Contexts, Interpretation	1559-2936	1933-7418	2006-01-01	1	1				http://muse.jhu.edu/journal/392		6717		fulltext			serial										1559-2936	1933-7418					Current		
Theatre History Studies	0733-2033		2007-01-01	27					http://muse.jhu.edu/journal/577		6718		fulltext			serial										0733-2033						Current		
Theatre Symposium	1065-4917		2007-01-01	15					http://muse.jhu.edu/journal/578		6719		fulltext			serial										1065-4917						Current		
Theory Into Practice	0040-5841	1543-0421	2003-01-01	42	1	2004-12-31	43	4	http://muse.jhu.edu/journal/231		6720		fulltext	No longer contributing to Project MUSE		serial										0040-5841	1543-0421					Current		
Toronto Journal of Theology	0826-9831	1918-6371	2011-01-01	27	1				http://muse.jhu.edu/journal/527		6721		fulltext			serial										0826-9831	1918-6371					Current		
Transition	0041-1191	1527-8042	2000-01-01	9	81&82				http://muse.jhu.edu/journal/197		6723		fulltext			serial										0041-1191	1527-8042					Current		
University of Toronto Law Journal	0042-0220	1710-1174	2004-01-01	54	1				http://muse.jhu.edu/journal/303		6724		fulltext			serial										0042-0220	1710-1174					Current		
Utopian Studies	1045-991X	2154-9648	2010-01-01	21	1				http://muse.jhu.edu/journal/507		6725		fulltext			serial										1045-991X	2154-9648					Current		
Victorian Review	0848-1512		2009-01-01	35	1				http://muse.jhu.edu/journal/508		6726		fulltext			serial										0848-1512						Current		
Visual Arts Research	0736-0770	2151-8009	2010-01-01	36	1				http://muse.jhu.edu/journal/481		6727		fulltext			serial										0736-0770	2151-8009					Current		
Wallace Stevens Journal	0148-7132	2160-0570	2011-01-01	35	1				http://muse.jhu.edu/journal/528		6728		fulltext			serial										0148-7132	2160-0570					Current		
West Virginia History: A Journal of Regional Studies	0043-325X	1940-5057	2007-01-01	1	1				http://muse.jhu.edu/journal/408		6729		fulltext			serial										0043-325X	1940-5057					Current		
Wide Angle	0160-6840	1086-3354	1996-01-01	18	1	1999-10-31	21	4	http://muse.jhu.edu/journal/206		6730		fulltext	Ceased:1999		serial										0160-6840	1086-3354					Current		
Women in German Yearbook: Feminist Studies in German Literature & Culture	1058-7446	1940-512X	1985-01-01	1					http://muse.jhu.edu/journal/403		6732		fulltext			serial										1058-7446	1940-512X					Current		
WSQ: Women's Studies Quarterly	0732-1562	1934-1520	2008-01-01	36	01-Feb				http://muse.jhu.edu/journal/396		6733		fulltext			serial										0732-1562	1934-1520					Current		
The Yale Journal of Criticism	0893-5378	1080-6636	1996-01-01	9	1	2005-12-31	18	2	http://muse.jhu.edu/journal/210		6734		fulltext	Ceased:2005		serial										0893-5378	1080-6636					Current		
Poe Studies/Dark Romanticism	1543-1789		2001-01-01	34	01-Feb	2006-12-31	40		http://muse.jhu.edu/journal/613		9737			now: Poe Studies		serial									10.1111/(ISSN)1754-6095a	1543-1789						Current		
Information & Culture: A Journal of History	2164-8034	2166-3033	2012-01-01	47	1				http://muse.jhu.edu/journal/111		9778		fulltext	Previously: Libraries & Culture and Libraries & the Cultural Record		serial										2164-8034	2166-3033					Current		
Libraries and Culture	0894-8631		2001-01-01	36	1	2006-04-01	41	2	http://muse.jhu.edu/journal/111		9779		fulltext	Now:Information & Culture: A Journal of History  Continues: Libraries & the Cultural Record (2007-2011)		serial										0894-8631						Current		
NWSA Journal	1040-0656	1527-1889	1999-01-01	11	2	2009-01-01	21	3	http://muse.jhu.edu/journal/146		9780		fulltext	Now: Feminist Formations 2010 -		serial										1040-0656	1527-1889					Current		
AUDEM: The International Journal of Higher Education and Democracy	2157-8583	2157-8591	2010-01-01	1					http://muse.jhu.edu/journal/608		9851		fulltext			serial										2157-8583	2157-8591					Current		
Cartographica: The International Journal for Geographic Information and Geovisualization	0317-7173	1911-9925	2013-01-01	48	1				http://muse.jhu.edu/journal/615		9852		fulltext			serial										0317-7173	1911-9925					Current		
CEA Critic	0007-8069		2013-01-01	75	1				http://muse.jhu.edu/journal/593		9853		fulltext			serial										0007-8069						Current		
Ch'ing-shih wen-t'i	0577-9235		1965-01-01	1	1	1984-01-01	5	2	http://muse.jhu.edu/journal/114		9854		fulltext	Now: Late Imperial China 1985-		serial										0577-9235						Current		
China Review	1680-2012		2013-01-01	13	1				http://muse.jhu.edu/journal/621		9855		fulltext			serial										1680-2012						Current		
Colorado Review	1046-3348		2013-01-01	40	1				http://muse.jhu.edu/journal/594		9856		fulltext			serial										1046-3348						Current		
Critical Philosophy of Race	2165-8684	2165-8692	2013-01-01	1	1				http://muse.jhu.edu/journal/595		9857		fulltext			serial										2165-8684	2165-8692					Current		
The Edgar Allan Poe Review	2150-0428	2166-2932	2013-01-01	14	1				http://muse.jhu.edu/journal/597		9858		fulltext			serial										2150-0428	2166-2932					Current		
Forum Journal	1536-1012	2325-7296	2012-01-01	27	1				http://muse.jhu.edu/journal/616		9859		fulltext			serial										1536-1012	2325-7296					Current		
J19: The Journal of Nineteenth-Century Americanists	2166-742X	2166-7438	2013-01-01	1	1				http://muse.jhu.edu/journal/596		9860		fulltext			serial										2166-742X	2166-7438					Current		
Journal of Africana Religions	2165-5405	2165-5413	2013-01-01	1	1				http://muse.jhu.edu/journal/598		9861		fulltext			serial										2165-5405	2165-5413					Current		
Journal of Austrian Studies	2165-669X	2327-1809	2012-01-01	45	01-Feb				http://muse.jhu.edu/journal/599		9862		fulltext			serial										2165-669X	2327-1809					Current		
Journal of Eastern Mediterranean Archaeology and Heritage Studies	2166-3548	2166-3556	2013-01-01	1	1				http://muse.jhu.edu/journal/600		9863		fulltext			serial										2166-3548	2166-3556					Current		
Keats-Shelley Journal	0453-4387		2013-01-01	62					http://muse.jhu.edu/journal/619		9864		fulltext	New for 2013 - added 2014		serial										0453-4387						Current		
New Formations: a journal of culture/theory/politics	0950-2378	1741-0789	2013-01-01	78					http://muse.jhu.edu/journal/617		9865		fulltext			serial										0950-2378	1741-0789					Current		
Palimpsest: A Journal on Women, Gender, and the Black International	2165-1604		2012-01-01	1	1				http://muse.jhu.edu/journal/609		9866		fulltext			serial										2165-1604						Current		
Performing Arts Journal	0735-8393	1086-3281	1996-01-01	18	1	1997-01-01	19	3	http://muse.jhu.edu/journal/149		9867		fulltext	Now: PAJ: A Journal of Performance and Art 1998-		serial										0735-8393	1086-3281					Current		
Philippine Studies: Historical and Ethnographic Viewpoints	2244-1093	2244-1638	2012-01-01	60	1				http://muse.jhu.edu/journal/531		9868		fulltext	Previously: Philipine Studies		serial										2244-1093	2244-1638					Current		
Philosophical Topics	0276-2080	2154-154X	2010-01-01	38	1				http://muse.jhu.edu/journal/610		9869		fulltext			serial										0276-2080	2154-154X					Current		
Reception: Texts, Readers, Audiences, History	2168-0604	2155-7888	2013-01-01	5					http://muse.jhu.edu/journal/602		9870		fulltext	New for 2013		serial										2168-0604	2155-7888					Current		
Review of Japanese Culture and Society	0913-4700	2329-9770	2012-01-01	24					http://muse.jhu.edu/journal/604		9871		fulltext			serial										0913-4700	2329-9770					Current		
SAIS Review (Paul H. Nitze School of Advanced International Studies)	1946-4444	1088-3142	1990-01-01	10	1	2003-01-01	23	2	http://muse.jhu.edu/journal/174		9872		fulltext	Now: SAIS Review of International Affairs. Previously: SAIS Review (1981-1989)		serial										1946-4444	1088-3142					Current		
Scottish Literary Review	1756-5634		2013-01-01	5	1				http://muse.jhu.edu/journal/614		9873		fulltext			serial										1756-5634						Current		
Seoul Journal of Korean Studies	1225-0201		2013-06-01	26	1				http://muse.jhu.edu/journal/622		9874		fulltext			serial										1225-0201						Current		
Soundings: A journal of politics and culture	1362-6620	1741-0797	2013-01-01		53				http://muse.jhu.edu/journal/618		9875		fulltext	New for 2013		serial										1362-6620	1741-0797					Current		
Southern Review	0038-4534	2168-5541	2013-01-01	49	1				http://muse.jhu.edu/journal/611		9876		fulltext			serial										0038-4534	2168-5541					Current		
Tampa Review	0896-064X		2013-01-01	45/46					http://muse.jhu.edu/journal/605		9877		fulltext			serial										0896-064X						Current		
Teaching and Learning Inquiry: The ISSOTL Journal	2167-4779	2167-4787	2013-01-01	1	1				http://muse.jhu.edu/journal/606		9878		fulltext			serial										2167-4779	2167-4787					Current		
Theatre Notebook	0040-5523		2013-01-01	67	1				http://muse.jhu.edu/journal/612		9879		fulltext			serial										0040-5523						Current		
Traditio	0362-1529	2166-5508	2011-01-01	66					http://muse.jhu.edu/journal/568		9880		fulltext			serial										0362-1529	2166-5508					Current		
U.S.-Japan Women's Journal	2330-5029		2013-01-01	43					http://muse.jhu.edu/journal/607		9881		fulltext			serial										2330-5029						Current		
