publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs	eISBNs	undefined	coverage_notes
Agricultural Wastes	0141-4607		1979-02-01	1	1	1986-12-31	18	4	http://www.sciencedirect.com/science/journal/01414607		01414607		fulltext	Now:Biological Wastes		serial										0141-4607					
Journal of Biomedical Engineering	0141-5425		1979-04-01	1	2	1993-11-01	15	6	http://www.sciencedirect.com/science/journal/01415425		01415425		fulltext	Now:Medical Engineering & Physics		serial										0141-5425					
International Journal of Materials in Engineering Applications	0141-5530		1978-09-01	1	1	1979-12-01	1	6	http://www.sciencedirect.com/science/journal/01415530		01415530		fulltext	Now:Materials & Design		serial										0141-5530					
Precision Engineering	0141-6359		1979-01-01	1	1				http://www.sciencedirect.com/science/journal/01416359		01416359		fulltext			serial										0141-6359					
Journal of The British Contact Lens Association	0141-7037		1978-01-01	1	1	1996-12-31	19	4	http://www.sciencedirect.com/science/journal/01417037		01417037		fulltext	Now:Contact Lens and Anterior Eye		serial										0141-7037					
International Journal of Biological Macromolecules	0141-8130		1979-04-01	1	1				http://www.sciencedirect.com/science/journal/01418130		01418130		fulltext			serial										0141-8130					
Microprocessors and Microsystems	0141-9331		1979-01-01	3	1				http://www.sciencedirect.com/science/journal/01419331		01419331		fulltext	Previously:Microprocessors		serial										0141-9331					
Displays	0141-9382		1979-04-01	1	1				http://www.sciencedirect.com/science/journal/01419382		01419382		fulltext			serial										0141-9382					
Computer Fraud & Security Bulletin	0142-0496		1978-11-01	1	1	1995-12-01	1995	12	http://www.sciencedirect.com/science/journal/01420496		01420496		fulltext	Now:Computer Fraud & Security		serial										0142-0496					
International Journal of Electrical Power & Energy Systems	0142-0615		1979-04-01	1	1				http://www.sciencedirect.com/science/journal/01420615		01420615		fulltext			serial										0142-0615					
International Journal of Fatigue	0142-1123		1979-01-01	1	1				http://www.sciencedirect.com/science/journal/01421123		01421123		fulltext			serial										0142-1123					
Design Studies	0142-694X		1979-07-01	1	1				http://www.sciencedirect.com/science/journal/0142694X		0142694X		fulltext			serial										0142-694X					
International Journal of Heat and Fluid Flow	0142-727X		1979-03-01	1	1				http://www.sciencedirect.com/science/journal/0142727X		0142727X		fulltext			serial										0142-727X					
Polymer Testing	0142-9418		1980-01-01	1	1				http://www.sciencedirect.com/science/journal/01429418		01429418		fulltext			serial										0142-9418					
Biomaterials	0142-9612		1980-01-01	1	1				http://www.sciencedirect.com/science/journal/01429612		01429612		fulltext	Incorporating:Clinical Materials		serial										0142-9612					
Environmental Pollution Series A, Ecological and Biological	0143-1471		1980-01-01	21	1	1986-12-31	42	4	http://www.sciencedirect.com/science/journal/01431471		01431471		fulltext	Previously part of:Environmental Pollution (1970) Merged:Environmental Pollution		serial										0143-1471					
Environmental Pollution Series B, Chemical and Physical	0143-148X		1980-01-01	1	1	1986-12-31	12	4	http://www.sciencedirect.com/science/journal/0143148X		0143148X		fulltext	Previously part of:Environmental Pollution (1970) Merged:Environmental Pollution		serial										0143-148X					
International Journal of Tourism Management	0143-2516		1980-03-01	1	1	1981-12-01	2	4	http://www.sciencedirect.com/science/journal/01432516		01432516		fulltext	Now:Tourism Management		serial										0143-2516					
Placenta	0143-4004		1980-01-01	1	1				http://www.sciencedirect.com/science/journal/01434004		01434004		fulltext			serial										0143-4004					
Cell Calcium	0143-4160		1980-01-01	1	1				http://www.sciencedirect.com/science/journal/01434160		01434160		fulltext			serial										0143-4160					
Neuropeptides	0143-4179		1980-07-01	1	1				http://www.sciencedirect.com/science/journal/01434179		01434179		fulltext			serial										0143-4179					
Applied Geography	0143-6228		1981-01-01	1	1				http://www.sciencedirect.com/science/journal/01436228		01436228		fulltext			serial										0143-6228					
Social Science Information Studies	0143-6236		1980-10-01	1	1	1985-10-01	5	4	http://www.sciencedirect.com/science/journal/01436236		01436236		fulltext	Now:International Journal of Information Management		serial										0143-6236					
Oil and Petrochemical Pollution	0143-7127		1982-01-01	1	1	1985-12-31	2	4	http://www.sciencedirect.com/science/journal/01437127		01437127		fulltext	Now:Oil and Chemical Pollution		serial										0143-7127					
Dyes and Pigments	0143-7208		1980-07-01	1	1				http://www.sciencedirect.com/science/journal/01437208		01437208		fulltext			serial										0143-7208					
International Journal of Adhesion and Adhesives	0143-7496		1980-07-01	1	1				http://www.sciencedirect.com/science/journal/01437496		01437496		fulltext			serial										0143-7496					
Optics and Lasers in Engineering	0143-8166		1980-07-01	1	1				http://www.sciencedirect.com/science/journal/01438166		01438166		fulltext			serial										0143-8166					
Reliability Engineering	0143-8174		1980-07-01	1	1	1987-12-31	19	4	http://www.sciencedirect.com/science/journal/01438174		01438174		fulltext	Now:Reliability Engineering & System Safety		serial										0143-8174					
Journal of Constructional Steel Research	0143-974X		1980-09-01	1	1				http://www.sciencedirect.com/science/journal/0143974X		0143974X		fulltext			serial										0143-974X					
Zeolites	0144-2449		1981-04-01	1	1	1997-12-01	19	5	http://www.sciencedirect.com/science/journal/01442449		01442449		fulltext	Merged:Microporous and Mesoporous Materials		serial										0144-2449					
Polymer Photochemistry	0144-2880		1981-01-01	1	1	1986-12-31	7	6	http://www.sciencedirect.com/science/journal/01442880		01442880		fulltext	Merged:Polymer Degradation and Stability		serial										0144-2880					
Biomass	0144-4565		1981-09-01	1	1	1990-12-31	23	4	http://www.sciencedirect.com/science/journal/01444565		01444565		fulltext	Merged:Bioresource Technology		serial										0144-4565					
International Review of Law and Economics	0144-8188		1981-06-01	1	1				http://www.sciencedirect.com/science/journal/01448188		01448188		fulltext			serial										0144-8188					
Aquacultural Engineering	0144-8609		1982-01-01	1	1				http://www.sciencedirect.com/science/journal/01448609		01448609		fulltext			serial										0144-8609					
Carbohydrate Polymers	0144-8617		1981-09-01	1	1				http://www.sciencedirect.com/science/journal/01448617		01448617		fulltext			serial										0144-8617					
Leukemia Research	0145-2126		1977-01-01	1	1				http://www.sciencedirect.com/science/journal/01452126		01452126		fulltext			serial										0145-2126					
Child Abuse & Neglect	0145-2134		1977-01-01	1	1				http://www.sciencedirect.com/science/journal/01452134		01452134		fulltext			serial										0145-2134					
Nuclear Track Detection	0145-224X		1977-06-01	1	2	1978-12-31	2		http://www.sciencedirect.com/science/journal/0145224X		0145224X		fulltext	Now:Nuclear Tracks		serial										0145-224X					
Developmental & Comparative Immunology	0145-305X		1977-04-01	1	2				http://www.sciencedirect.com/science/journal/0145305X		0145305X		fulltext			serial										0145-305X					
Evaluation in Education. International Progress	0145-9228		1977-01-01	1	1	1979-12-31	2	4	http://www.sciencedirect.com/science/journal/01459228		01459228		fulltext	Now:Evaluation in Education		serial										0145-9228					
Seminars in Perinatology	0146-0005		1995-02-01	19	1				http://www.sciencedirect.com/science/journal/01460005		01460005		fulltext			serial										0146-0005					
American Intra-Ocular Implant Society Journal	0146-2776		1976-01-01	2		1985-11-30	11	6	http://www.sciencedirect.com/science/journal/01462776		01462776		fulltext	previously: American Intra-Ocular Implant Society Newsletter; now: Journal of Cataract & Refractive Surgery;		serial										0146-2776					
Current Problems in Cardiology	0146-2806		1976-04-01	1	1				http://www.sciencedirect.com/science/journal/01462806		01462806		fulltext			serial										0146-2806					
Progress in Crystal Growth and Characterization	0146-3535		1977-01-01	1	1	1989-12-31	19	4	http://www.sciencedirect.com/science/journal/01463535		01463535		fulltext	Now:Progress in Crystal Growth and Characterization of Materials		serial										0146-3535					
Radiation Physics and Chemistry (1977)	0146-5724		1977-01-01	10	1	1985-12-31	26	6	http://www.sciencedirect.com/science/journal/01465724		01465724		fulltext	Previously:International Journal for Radiation Physics and Chemistry Now:International Journal of Radiation Applications and Instrumentation. Part C. Radiation Physics and Chemistry		serial										0146-5724					
Deep Sea Research	0146-6291		1977-01-01	24	1	1978-12-01	25	12	http://www.sciencedirect.com/science/journal/01466291		01466291		fulltext	Previously:Deep Sea Research and Oceanographic Abstracts Now:Deep Sea Research Part A. Oceanographic Research Papers and Deep Sea Research Part B. Oceanographic Literature Review		serial										0146-6291					
Deep Sea Research (1953)	0146-6313		1953-10-01	1	1	1961-12-31	8	3	http://www.sciencedirect.com/science/journal/01466313		01466313		fulltext	Now:Deep Sea Research and Oceanographic Abstracts		serial										0146-6313					
Chinese Astronomy	0146-6364		1977-06-01	1	1	1980-12-01	4	4	http://www.sciencedirect.com/science/journal/01466364		01466364		fulltext	Now:Chinese Astronomy and Astrophysics		serial										0146-6364					
Organic Geochemistry	0146-6380		1977-11-01	1	1				http://www.sciencedirect.com/science/journal/01466380		01466380		fulltext			serial										0146-6380					
Advances in Behaviour Research and Therapy	0146-6402		1977-01-01	1	1	1994-12-31	16	4	http://www.sciencedirect.com/science/journal/01466402		01466402		fulltext	Ceased:1995		serial										0146-6402					
Progress in Particle and Nuclear Physics	0146-6410		1978-01-01	1					http://www.sciencedirect.com/science/journal/01466410		01466410		fulltext			serial										0146-6410					
Annals of the ICRP	0146-6453		1977-01-01	1	1	2013-08-31	42	4	http://www.sciencedirect.com/science/journal/01466453		01466453		fulltext	transfer out: Sage 2014; previously:Annals of the ICRP/ICRP Publication		serial										0146-6453					
Computer Graphics and Image Processing	0146-664X		1972-04-01	1	1	1982-12-01	20	4	http://www.sciencedirect.com/science/journal/0146664X		0146664X		fulltext	Now:Computer Vision, Graphics, and Image Processing		serial										0146-664X					
Applied Biochemistry and Bioengineering	0147-0248		1976-01-01	1					http://www.sciencedirect.com/science/bookseries/01470248		01470248		fulltext			serial										0147-0248					
Current Problems in Cancer	0147-0272		1976-07-01	1	1				http://www.sciencedirect.com/science/journal/01470272		01470272		fulltext			serial										0147-0272					
Advances in Behavioral Pharmacology	0147-071X		1977-01-01	1					http://www.sciencedirect.com/science/bookseries/0147071X		0147071X		fulltext			serial										0147-071X					
International Journal of Intercultural Relations	0147-1767		1977-03-01	1	1				http://www.sciencedirect.com/science/journal/01471767		01471767		fulltext			serial										0147-1767					
Journal of Comparative Economics	0147-5967		1977-03-01	1	1				http://www.sciencedirect.com/science/journal/01475967		01475967		fulltext			serial										0147-5967					
Experimental Mycology	0147-5975		1977-03-01	1	1	1995-12-01	19	4	http://www.sciencedirect.com/science/journal/01475975		01475975		fulltext	Now:Fungal Genetics and Biology		serial										0147-5975					
Plasmid	0147-619X		1977-11-01	1	1				http://www.sciencedirect.com/science/journal/0147619X		0147619X		fulltext			serial										0147-619X					
Ecotoxicology and Environmental Safety	0147-6513		1977-06-01	1	1				http://www.sciencedirect.com/science/journal/01476513		01476513		fulltext			serial										0147-6513					
Biobehavioral Reviews	0147-7552		1977-03-01	1	1	1977-12-31	1	4	http://www.sciencedirect.com/science/journal/01477552		01477552		fulltext	Now:Neuroscience & Biobehavioral Reviews		serial										0147-7552					
Urban Systems	0147-8001		1977-01-01	2	1	1979-12-31	4		http://www.sciencedirect.com/science/journal/01478001		01478001		fulltext	Previously:Computers & Urban Society Now:Computers, Environment and Urban Systems		serial										0147-8001					
Heart & Lung: The Journal of Acute and Critical Care	0147-9563	1527-3288	1995-01-01	24	1				http://www.sciencedirect.com/science/journal/01479563		01479563		fulltext			serial										0147-9563	1527-3288				
Comparative Immunology, Microbiology and Infectious Diseases	0147-9571		1978-01-01	1	1				http://www.sciencedirect.com/science/journal/01479571		01479571		fulltext			serial										0147-9571					
Women's Studies International Quarterly	0148-0685		1978-01-01	1	1	1981-12-31	4	4	http://www.sciencedirect.com/science/journal/01480685		01480685		fulltext	Now:Women's Studies International Forum		serial										0148-0685					
Journal of Business Research	0148-2963		1973-06-01	1	1				http://www.sciencedirect.com/science/journal/01482963		01482963		fulltext			serial										0148-2963					
Journal of Economics and Business	0148-6195		1982-01-01	34	1				http://www.sciencedirect.com/science/journal/01486195		01486195		fulltext			serial										0148-6195					
International Journal of Rock Mechanics and Mining Sciences & Geomechanics Abstracts	0148-9062		1964-01-01	1	1	1996-12-01	33	8	http://www.sciencedirect.com/science/journal/01489062		01489062		fulltext	Now:International Journal of Rock Mechanics and Mining Sciences		serial										0148-9062					
Progress in Nuclear Energy	0149-1970		1977-01-01	1	1				http://www.sciencedirect.com/science/journal/01491970		01491970		fulltext			serial										0149-1970					
Journal of Management	0149-2063	1557-1211	1993-03-01	19	1	2004-11-01	30	6	http://www.sciencedirect.com/science/journal/01492063		01492063		fulltext	Transfer out:Sage Publications 2005		serial										0149-2063	1557-1211				
Clinical Therapeutics	0149-2918		1995-01-01	17	1				http://www.sciencedirect.com/science/journal/01492918		01492918		fulltext			serial										0149-2918					
Evaluation and Program Planning	0149-7189		1978-01-01	1	1				http://www.sciencedirect.com/science/journal/01497189		01497189		fulltext			serial										0149-7189					
Neuroscience & Biobehavioral Reviews	0149-7634		1978-03-01	2	1				http://www.sciencedirect.com/science/journal/01497634		01497634		fulltext	Previously:Biobehavioral Reviews		serial										0149-7634					
Current Surgery	0149-7944		1999-01-01	56	1	2006-12-01	63	6	http://www.sciencedirect.com/science/journal/01497944		01497944		fulltext	Now:Journal of Surgical Education		serial										0149-7944					
Journal of Computed Tomography	0149-936X		1977-03-01	1	1	1988-10-01	12	4	http://www.sciencedirect.com/science/journal/0149936X		0149936X		fulltext	Now:Clinical Imaging		serial										0149-936X					
Journal of Neuroradiology	0150-9861		2004-01-01	31	1				http://www.sciencedirect.com/science/journal/01509861		01509861		fulltext			serial										0150-9861					
Annales de Chimie Science des Matériaux	0151-9107		1998-01-01	23	1	2003-12-01	28	6	http://www.sciencedirect.com/science/journal/01519107		01519107		fulltext	Transfer out:Lavoisier 2004		serial										0151-9107					
Annales de Dermatologie et de Vénéréologie	0151-9638		2004-01-01	131	1				http://www.sciencedirect.com/science/journal/01519638		01519638		fulltext			serial										0151-9638					
Annales des Ponts et Chaussées	0152-9668		2002-01-01	2002	101	2003-07-31	2003	10708	http://www.sciencedirect.com/science/journal/01529668		01529668		fulltext	Ceased:2003		serial										0152-9668					
Accounting Forum	0155-9982		2004-03-01	28	1				http://www.sciencedirect.com/science/journal/01559982		01559982		fulltext			serial										0155-9982					
International Journal of Law and Psychiatry	0160-2527		1978-02-01	1	1				http://www.sciencedirect.com/science/journal/01602527		01602527		fulltext			serial										0160-2527					
Intelligence	0160-2896		1977-01-01	1	1				http://www.sciencedirect.com/science/journal/01602896		01602896		fulltext			serial										0160-2896					
Environment International	0160-4120		1978-01-01	1	1				http://www.sciencedirect.com/science/journal/01604120		01604120		fulltext			serial										0160-4120					
Journal of Pharmacological Methods	0160-5402		1978-06-01	1	1	1991-12-01	26	4	http://www.sciencedirect.com/science/journal/01605402		01605402		fulltext	Now:Journal of Pharmacological and Toxicological Methods		serial										0160-5402					
Annals of Tourism Research	0160-7383		1973-11-01	1	1				http://www.sciencedirect.com/science/journal/01607383		01607383		fulltext			serial										0160-7383					
Technology in Society	0160-791X		1979-03-01	1	1				http://www.sciencedirect.com/science/journal/0160791X		0160791X		fulltext			serial										0160-791X					
Social Science & Medicine. Part B: Medical Anthropology	0160-7987		1978-01-01	12		1981-12-31	15		http://www.sciencedirect.com/science/journal/01607987		01607987		fulltext	Previously part of:Social Science & Medicine (1967) Merged:Social Science & Medicine		serial										0160-7987					
Social Science & Medicine. Part C: Medical Economics	0160-7995		1978-01-01	12	1	1981-12-31	15		http://www.sciencedirect.com/science/journal/01607995		01607995		fulltext	Previously part of:Social Science & Medicine (1967) Merged:Social Science & Medicine		serial										0160-7995					
Social Science & Medicine. Part D: Medical Geography	0160-8002		1978-03-01	12	1	1981-12-31	15		http://www.sciencedirect.com/science/journal/01608002		01608002		fulltext	Previously part of:Social Science & Medicine (1967) Merged:Social Science & Medicine		serial										0160-8002					
Endeavour	0160-9327		1977-01-01	1	1				http://www.sciencedirect.com/science/journal/01609327		01609327		fulltext			serial										0160-9327					
Prostaglandins and Medicine	0161-4630		1978-07-01	1	1	1981-12-01	7	6	http://www.sciencedirect.com/science/journal/01614630		01614630		fulltext	Now:Prostaglandins, Leukotrienes and Medicine		serial										0161-4630					
Journal of Manipulative and Physiological Therapeutics	0161-4754		1999-01-01	22	1				http://www.sciencedirect.com/science/journal/01614754		01614754		fulltext			serial										0161-4754					
Molecular Immunology	0161-5890		1979-01-01	16	1				http://www.sciencedirect.com/science/journal/01615890		01615890		fulltext	Previously:Immunochemistry		serial										0161-5890					
Ophthalmology	0161-6420		1997-11-01	104	11				http://www.sciencedirect.com/science/journal/01616420		01616420		fulltext			serial										0161-6420					
Ultrasonic Imaging	0161-7346	1096-0910	1979-01-01	1	1	1996-10-01	18	4	http://www.sciencedirect.com/science/journal/01617346		01617346		fulltext	Transfer out:Dynamedia Inc. 1996		serial										0161-7346	1096-0910				
Neurotoxicology	0161-813X		2001-02-01	22	1				http://www.sciencedirect.com/science/journal/0161813X		0161813X		fulltext			serial										0161-813X					
Journal of Policy Modeling	0161-8938		1979-01-01	1	1				http://www.sciencedirect.com/science/journal/01618938		01618938		fulltext			serial										0161-8938					
Treatise on Materials Science and Technology	0161-9160		1972-01-01	1					http://www.sciencedirect.com/science/bookseries/01619160		01619160		fulltext			serial										0161-9160					
Journal of Inorganic Biochemistry	0162-0134		1979-01-01	10	1				http://www.sciencedirect.com/science/journal/01620134		01620134		fulltext	Previously:Bioinorganic Chemistry		serial										0162-0134					
Ethology and Sociobiology	0162-3095		1979-10-01	1	1	1996-12-31	17	2	http://www.sciencedirect.com/science/journal/01623095		01623095		fulltext	Now:Evolution and Human Behavior		serial										0162-3095					
Immunopharmacology	0162-3109		1978-12-01	1	1	2000-09-01	49	3	http://www.sciencedirect.com/science/journal/01623109		01623109		fulltext	Merged:International Immunopharmacology		serial										0162-3109					
Behavioral and Neural Biology	0163-1047		1979-01-01	25	1	1994-11-01	62	3	http://www.sciencedirect.com/science/journal/01631047		01631047		fulltext	Previously:Behavioral Biology Now:Neurobiology of Learning and Memory		serial										0163-1047					
Developments in Statistics	0163-3384		1978-01-01	1					http://www.sciencedirect.com/science/bookseries/01633384		01633384		fulltext			serial										0163-3384					
Journal of Infection	0163-4453		1979-03-01	1	1				http://www.sciencedirect.com/science/journal/01634453		01634453		fulltext			serial										0163-4453					
Infant Behavior and Development	0163-6383		1978-01-01	1					http://www.sciencedirect.com/science/journal/01636383		01636383		fulltext			serial										0163-6383					
Developments in Marine Biology	0163-6995		1995-01-01	4					http://www.sciencedirect.com/science/bookseries/01636995		01636995		fulltext			serial										0163-6995					
Pharmacology & Therapeutics	0163-7258		1979-01-01	4	1				http://www.sciencedirect.com/science/journal/01637258		01637258		fulltext	Incorporating:Pharmacology & Therapeutics. Part C:Clinical Pharmacology and Therapeutics		serial										0163-7258					
Progress in Lipid Research	0163-7827		1978-01-01	17	1				http://www.sciencedirect.com/science/journal/01637827		01637827		fulltext	Previously:Progress in the Chemistry of Fats and other Lipids		serial										0163-7827					
General Hospital Psychiatry	0163-8343		1979-04-01	1	1				http://www.sciencedirect.com/science/journal/01638343		01638343		fulltext			serial										0163-8343					
Journal of Macroeconomics	0164-0704		1979-03-01	1	2				http://www.sciencedirect.com/science/journal/01640704		01640704		fulltext			serial										0164-0704					
Journal of Systems and Software	0164-1212		1979-01-01	1					http://www.sciencedirect.com/science/journal/01641212		01641212		fulltext			serial										0164-1212					
Fuzzy Sets and Systems	0165-0114		1978-01-01	1	1				http://www.sciencedirect.com/science/journal/01650114		01650114		fulltext			serial										0165-0114					
Brain Research Reviews	0165-0173		1979-07-01	1	1	2011-06-24	67	1	http://www.sciencedirect.com/science/journal/01650173		01650173		fulltext	Ceased:2012		serial										0165-0173					
Journal of Biochemical and Biophysical Methods	0165-022X		1979-03-01	1	1	2008-04-24	70	6	http://www.sciencedirect.com/science/journal/0165022X		0165022X		fulltext	Now:Journal of Proteomics		serial										0165-022X					
Journal of Neuroscience Methods	0165-0270		1979-03-01	1	1				http://www.sciencedirect.com/science/journal/01650270		01650270		fulltext			serial										0165-0270					
Journal of Affective Disorders	0165-0327		1979-03-01	1	1				http://www.sciencedirect.com/science/journal/01650327		01650327		fulltext			serial										0165-0327					
Journal of Reproductive Immunology	0165-0378		1979-01-01	1	1				http://www.sciencedirect.com/science/journal/01650378		01650378		fulltext			serial										0165-0378					
Resources and Energy	0165-0572		1978-09-01	1	1	1992-12-01	14	4	http://www.sciencedirect.com/science/journal/01650572		01650572		fulltext	Now:Resource and Energy Economics		serial										0165-0572					
Mutation Research/Reviews in Genetic Toxicology	0165-1110		1975-01-01	32	1	1996-12-27	366	3	http://www.sciencedirect.com/science/journal/01651110		01651110		fulltext	Now:Mutation Research/Reviews in Mutation Research		serial										0165-1110					
Mutation Research/Environmental Mutagenesis and Related Subjects	0165-1161		1973-04-01	21	2	1996-12-12	361	2	http://www.sciencedirect.com/science/journal/01651161		01651161		fulltext	Merged:Mutation Research/Genetic Toxicology and Environmental Mutagenesis		serial										0165-1161					
Mutation Research/Genetic Toxicology	0165-1218		1976-01-01	40	1	1996-12-20	371	3	http://www.sciencedirect.com/science/journal/01651218		01651218		fulltext	Merged:Mutation Research/Genetic Toxicology and Environmental Mutagenesis		serial										0165-1218					
Developments in Geotechnical Engineering	0165-1250		1972-01-01	1					http://www.sciencedirect.com/science/bookseries/01651250		01651250		fulltext			serial										0165-1250					
Solar Energy Materials	0165-1633		1979-02-01	1	1	1991-12-02	24	1	http://www.sciencedirect.com/science/journal/01651633		01651633		fulltext	Merged:Solar Energy Materials and Solar Cells		serial										0165-1633					
Signal Processing	0165-1684		1979-01-01	1	1				http://www.sciencedirect.com/science/journal/01651684		01651684		fulltext			serial										0165-1684					
Economics Letters	0165-1765		1978-01-01	1	1				http://www.sciencedirect.com/science/journal/01651765		01651765		fulltext			serial										0165-1765					
Psychiatry Research	0165-1781		1979-07-01	1	1				http://www.sciencedirect.com/science/journal/01651781		01651781		fulltext			serial										0165-1781					
Journal of the Autonomic Nervous System	0165-1838		1979-10-01	1	1	2000-07-03	81	1	http://www.sciencedirect.com/science/journal/01651838		01651838		fulltext	Now:Autonomic Neuroscience		serial										0165-1838					
Journal of Economic Dynamics and Control	0165-1889		1979-02-01	1	1				http://www.sciencedirect.com/science/journal/01651889		01651889		fulltext			serial										0165-1889					
Wave Motion	0165-2125		1979-01-01	1	1				http://www.sciencedirect.com/science/journal/01652125		01652125		fulltext			serial										0165-2125					
Health Policy and Education	0165-2281		1980-01-01	1	1	1983-04-01	3	4	http://www.sciencedirect.com/science/journal/01652281		01652281		fulltext	Now:Health Policy		serial										0165-2281					
Cold Regions Science and Technology	0165-232X		1979-06-01	1	1				http://www.sciencedirect.com/science/journal/0165232X		0165232X		fulltext			serial										0165-232X					
Journal of Analytical and Applied Pyrolysis	0165-2370		1979-06-01	1	1				http://www.sciencedirect.com/science/journal/01652370		01652370		fulltext			serial										0165-2370					
Veterinary Immunology and Immunopathology	0165-2427		1979-11-01	1	1				http://www.sciencedirect.com/science/journal/01652427		01652427		fulltext			serial										0165-2427					
Immunology Letters	0165-2478		1979-07-01	1	1				http://www.sciencedirect.com/science/journal/01652478		01652478		fulltext			serial										0165-2478					
Studies in Organic Chemistry	0165-3253		1982-01-01	9					http://www.sciencedirect.com/science/bookseries/01653253		01653253		fulltext			serial										0165-3253					
Developmental Brain Research	0165-3806		1981-01-01	1	1	2005-12-07	160	2	http://www.sciencedirect.com/science/journal/01653806		01653806		fulltext	Merged:Brain Research		serial										0165-3806					
Journal of Accounting and Economics	0165-4101		1979-03-01	1	1				http://www.sciencedirect.com/science/journal/01654101		01654101		fulltext			serial										0165-4101					
Cancer Genetics and Cytogenetics	0165-4608		1979-07-01	1	1	2010-12-01	203	2	http://www.sciencedirect.com/science/journal/01654608		01654608		fulltext	Now:Cancer Genetics		serial										0165-4608					
Mathematical Social Sciences	0165-4896		1980-09-01	1	1				http://www.sciencedirect.com/science/journal/01654896		01654896		fulltext			serial										0165-4896					
Journal of Neuroimmunology	0165-5728		1981-03-01	1	1				http://www.sciencedirect.com/science/journal/01655728		01655728		fulltext	Incorporating:Advances in Neuroimmunology		serial										0165-5728					
Philips Journal of Research	0165-5817		1995-01-01	49	1	1998-12-31	51	4	http://www.sciencedirect.com/science/journal/01655817		01655817		fulltext	Ceased:1999		serial										0165-5817					
International Journal of Pediatric Otorhinolaryngology	0165-5876		1979-07-01	1	1				http://www.sciencedirect.com/science/journal/01655876		01655876		fulltext			serial										0165-5876					
Microprocessing and Microprogramming	0165-6074		1979-11-01	5	6	1996-06-01	41	10	http://www.sciencedirect.com/science/journal/01656074		01656074		fulltext	Previously:Euromicro Newsletter Now:Journal of Systems Architecture		serial										0165-6074					
Trends in Pharmacological Sciences	0165-6147		1979-01-01	1	1				http://www.sciencedirect.com/science/journal/01656147		01656147		fulltext			serial										0165-6147					
Pharmacochemistry Library	0165-7208		1992-01-01	18					http://www.sciencedirect.com/science/bookseries/01657208		01657208		fulltext			serial										0165-7208					
Fisheries Research	0165-7836		1981-01-01	1					http://www.sciencedirect.com/science/journal/01657836		01657836		fulltext			serial										0165-7836					
Mutation Research Letters	0165-7992		1973-02-01	21	1	1995-12-01	348	4	http://www.sciencedirect.com/science/journal/01657992		01657992		fulltext	Merged:Mutation Research/Genetic Toxicology and Environmental Mutagenesis		serial										0165-7992					
TrAC Trends in Analytical Chemistry	0165-9936		1981-10-01	1	2				http://www.sciencedirect.com/science/journal/01659936		01659936		fulltext			serial										0165-9936					
Regional Science and Urban Economics	0166-0462		1975-02-01	5	1				http://www.sciencedirect.com/science/journal/01660462		01660462		fulltext	Previously:Regional and Urban Economics		serial										0166-0462					
Studies in Mycology	0166-0616		2005-01-01	53					http://www.sciencedirect.com/science/journal/01660616		01660616		fulltext			serial										0166-0616					
Journal of Virological Methods	0166-0934		1980-03-01	1	1				http://www.sciencedirect.com/science/journal/01660934		01660934		fulltext			serial										0166-0934					
Studies in Environmental Science	0166-1116		1978-01-01	1					http://www.sciencedirect.com/science/bookseries/01661116		01661116		fulltext			serial										0166-1116					
Journal of Molecular Structure: THEOCHEM	0166-1280		1981-01-01	76	1	2010-12-30	962	1	http://www.sciencedirect.com/science/journal/01661280		01661280		fulltext	Now:Computational and Theoretical Chemistry		serial										0166-1280					
Discrete Applied Mathematics	0166-218X		1979-09-01	1	1				http://www.sciencedirect.com/science/journal/0166218X		0166218X		fulltext			serial										0166-218X					
Trends in Neurosciences	0166-2236		1978-07-01	1	1				http://www.sciencedirect.com/science/journal/01662236		01662236		fulltext			serial										0166-2236					
Developments in Agricultural and Managed Forest Ecology	0166-2287		1975-01-01	1					http://www.sciencedirect.com/science/bookseries/01662287		01662287		fulltext			serial										0166-2287					
Developments in Soil Science	0166-2481		1972-01-01	1					http://www.sciencedirect.com/science/bookseries/01662481		01662481		fulltext			serial										0166-2481					
Developments in Precambrian Geology	0166-2635		1978-01-01	1					http://www.sciencedirect.com/science/bookseries/01662635		01662635		fulltext			serial										0166-2635					
Resources and Conservation	0166-3097		1981-06-01	6	1	1987-11-01	15	4	http://www.sciencedirect.com/science/journal/01663097		01663097		fulltext	Previously:Resource Recovery and Conservation Merged:Resources, Conservation and Recycling		serial										0166-3097					
Antiviral Research	0166-3542		1981-03-01	1	1				http://www.sciencedirect.com/science/journal/01663542		01663542		fulltext			serial										0166-3542					
Computers in Industry	0166-3615		1979-07-01	1	1				http://www.sciencedirect.com/science/journal/01663615		01663615		fulltext			serial										0166-3615					
Advances in Psychology	0166-4115		1979-01-01	2					http://www.sciencedirect.com/science/bookseries/01664115		01664115		fulltext			serial										0166-4115					
Behavioural Brain Research	0166-4328		1980-02-01	1	1				http://www.sciencedirect.com/science/journal/01664328		01664328		fulltext			serial										0166-4328					
