title_url	title_id	publisher_name	pkb-piddomain	publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	first_author	embargo_info	coverage_depth	coverage_notes	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
http://aapg.geoscienceworld.org	aapg.geoscienceworld.org	American Association of Petroleum Geologists (AAPG)	aapg.geoscienceworld.org	American Association of Petroleum Geologists																					
http://aapgbull.geoscienceworld.org	aapgbull.geoscienceworld.org	American Association of Petroleum Geologists (AAPG)	aapgbull.geoscienceworld.org	AAPG Bulletin																					
http://aapnews.aappublications.org	aapnews.aappublications.org	American Academy of Pediatrics	aapnews.aappublications.org	AAP News																					
http://advan.physiology.org	advan.physiology.org	American Physiological Society	advan.physiology.org	Advances in Physiology Education																					
http://aim.bmj.com	aim.bmj.com	BMJ Publishing Group Ltd	aim.bmj.com	Acupuncture in Medicine																					
http://ajpcell.physiology.org	ajpcell.physiology.org	American Physiological Society	ajpcell.physiology.org	American Journal of Physiology - Cell Physiology																					
http://ajpendo.physiology.org	ajpendo.physiology.org	American Physiological Society	ajpendo.physiology.org	American Journal of Physiology - Endocrinology and Metabolism																					
http://ajpgi.physiology.org	ajpgi.physiology.org	American Physiological Society	ajpgi.physiology.org	American Journal of Physiology - Gastrointestinal and Liver Physiology																					
http://ajpheart.physiology.org	ajpheart.physiology.org	American Physiological Society	ajpheart.physiology.org	American Journal of Physiology - Heart and Circulatory Physiology																					
http://ajplegacy.physiology.org	ajplegacy.physiology.org	American Physiological Society	ajplegacy.physiology.org	American Journal of Physiology -- Legacy Content																					
http://ajplung.physiology.org	ajplung.physiology.org	American Physiological Society	ajplung.physiology.org	American Journal of Physiology - Lung Cellular and Molecular Physiology																					
http://ajpregu.physiology.org	ajpregu.physiology.org	American Physiological Society	ajpregu.physiology.org	American Journal of Physiology - Regulatory, Integrative and Comparative Physiology																					
http://ajprenal.physiology.org	ajprenal.physiology.org	American Physiological Society	ajprenal.physiology.org	American Journal of Physiology - Renal Physiology																					
http://als.dukejournals.org	als.dukejournals.org	Duke University Press	als.dukejournals.org	American Literary Scholarship																					
http://amd.aom.org	amd.aom.org	Academy of Management	amd.aom.org	Academy of Management Discoveries																					
http://americanliterature.dukejournals.org	americanliterature.dukejournals.org	Duke University Press	americanliterature.dukejournals.org	American Literature																					
http://americanspeech.dukejournals.org	americanspeech.dukejournals.org	Duke University Press	americanspeech.dukejournals.org	American Speech																					
http://amj.aom.org	amj.aom.org	Academy of Management	amj.aom.org	Academy of Management Journal																					
http://amle.aom.org	amle.aom.org	Academy of Management	amle.aom.org	Academy of Management Learning & Education																					
http://ammin.geoscienceworld.org	ammin.geoscienceworld.org	Mineralogical Society of America	ammin.geoscienceworld.org	American Mineralogist																					
http://amp.aom.org	amp.aom.org	Academy of Management	amp.aom.org	Academy of Management Perspectives																					
http://amr.aom.org	amr.aom.org	Academy of Management	amr.aom.org	Academy of Management Review																					
http://annals.aom.org	annals.aom.org	Academy of Management	annals.aom.org	Academy of Management Annals																					
http://aoj.uwpress.org	aoj.uwpress.org	University of Wisconsin Press	aoj.uwpress.org	American Orthoptic Journal																					
http://apt.rcpsych.org	apt.rcpsych.org	Royal College of Psychiatrists	apt.rcpsych.org	BJPsych Advances																					
http://aqua.iwaponline.com	aqua.iwaponline.com	IWA Publishing	aqua.iwaponline.com	Journal of Water Supply: Research and Technology - Aqua																					
http://ash-sap.hematologylibrary.org	ash-sap.hematologylibrary.org	American Society of Hematology	ash-sap.hematologylibrary.org	American Society of Hematology Self-Assessment Program																					
http://atvb.ahajournals.org	atvb.ahajournals.org	American Heart Association	atvb.ahajournals.org	Arteriosclerosis, Thrombosis, and Vascular Biology																					
http://bcpg.geoscienceworld.org	bcpg.geoscienceworld.org	Canadian Society of Petroleum Geologists	bcpg.geoscienceworld.org	Bulletin of Canadian Petroleum Geology																					
http://bjp.rcpsych.org	bjp.rcpsych.org	Royal College of Psychiatrists	bjp.rcpsych.org	The British Journal of Psychiatry																					
http://boundary2.dukejournals.org	boundary2.dukejournals.org	Duke University Press	boundary2.dukejournals.org	boundary 2																					
http://bsgf.geoscienceworld.org	bsgf.geoscienceworld.org	Societe Geologique de France	bsgf.geoscienceworld.org	Bulletin de la Société Géologique de France																					
http://bssa.geoscienceworld.org	bssa.geoscienceworld.org	Seismological Society of America	bssa.geoscienceworld.org	Bulletin of the Seismological Society of America																					
http://bulletin.geoscienceworld.org	bulletin.geoscienceworld.org	Geological Society of America	bulletin.geoscienceworld.org	GSA Bulletin																					
http://cameraobscura.dukejournals.org	cameraobscura.dukejournals.org	Duke University Press	cameraobscura.dukejournals.org	Camera Obscura: Feminism, Culture, and Media Studies																					
http://canmin.geoscienceworld.org	canmin.geoscienceworld.org	Mineralogical Association of Canada	canmin.geoscienceworld.org	The Canadian Mineralogist																					
http://carlyleletters.dukejournals.org	carlyleletters.dukejournals.org	Duke University Press	carlyleletters.dukejournals.org	The Carlyle Letters Online																					
http://caseconnector.jbjs.org	caseconnector.jbjs.org	Journal of Bone and Joint Surgery	caseconnector.jbjs.org	JBJS Case Connector																					
http://ccm.geoscienceworld.org	ccm.geoscienceworld.org	Clay Minerals Society	ccm.geoscienceworld.org	Clays and Clay Minerals																					
http://circ.ahajournals.org	circ.ahajournals.org	American Heart Association	circ.ahajournals.org	Circulation																					
http://circep.ahajournals.org	circep.ahajournals.org	American Heart Association	circep.ahajournals.org	Circulation: Arrhythmia and Electrophysiology																					
