publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	publisher_name	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Etudes balkaniques			2008	n° 15	1	2010	n° 17	1	http://www.cairn.info/revue-etudes-balkaniques.htm	Association Pierre Belon		BALKA												
Cahiers de PréAut	1767-3151	2273-2225	2004	N° 1	1	2013	N° 9	1	http://www.cairn.info/revue-cahiers-de-preaut.htm	ERES		CAPRE												
Clio	1252-7017	1777-5299	2011	n° 33	1	2014	n° 39	2	http://www.cairn.info/revue-clio.htm	Presses univ. du Mirail		CLIO												
Corps	1954-1228	1969-6957	2006	n° 1	1	2013	N° 9	2	http://www.cairn.info/revue-corps-dilecta.htm	Dilecta		CORP1												
Documentaliste-Sciences de l'Information	0012-4508	1777-5868	2001	Vol. 38	1	2014	Vol. 51	6	http://www.cairn.info/revue-documentaliste-sciences-de-l-information.htm	A.D.B.S.		DOCSI												
L'Espace géographique	0046-2497	1776-2936	2001	tome 33	1	2014	Vol. 39	4	http://www.cairn.info/revue-espace-geographique.htm	Belin		EGE												
Annales. Histoire, Sciences Sociales (English)	2268-3763		2012	67th Year	1	2013	68th Year	4	http://www.cairn.info/revue-annales-english.htm	Éditions de l'EHESS		ANNAE												
L'Espace géographique (English Edition)			2012	Volume 41	1	2012	Volume 41	4	http://www.cairn.info/revue-espace-geographique-english.htm	Belin		E_EG												
Annales des Mines - Gérer et comprendre	0295-4397	2271-7943	2008	N° 100	1	2014	N° 99	4	http://www.cairn.info/revue-gerer-et-comprendre.htm	ESKA		GECO												
Gérontologie et société	0151-0193	2101-0218	2001	HS n° 1	1	2013	n°136	5	http://www.cairn.info/revue-gerontologie-et-societe.htm	Fond. Nationale de Gérontologie		GS												
Italies	1275-7519	2108-6540							http://www.cairn.info/revue-italies.htm			ITAL												
Littératures classiques	2260-8478		2004	N° 54	1	2014	N°73	3	http://www.cairn.info/revue-litteratures-classiques.htm	Armand Colin		LICLA												
Market Management	1779-3572	2111-4374							http://www.cairn.info/revue-market-management.htm			MAMA												
Monde(s)	2261-6268	2260-7927	2012	N° 1	1	2014	N° 4	2	http://www.cairn.info/revue-mondes.htm	Armand Colin		MOND												
Outre-Terre	1636-3671	1951-624X	2003	n° 10	1	2014	N° 38	4	http://www.cairn.info/revue-outre-terre.htm	Outre-terre		OUTE												
Parlement[s], Revue d'histoire politique	1768-6520	1760-6233	2004	n° 1	1	2013	n° HS 9	3	http://www.cairn.info/revue-parlements.htm	L'Harmattan		PARL												
Population	0032-4663	1957-7966	2001	Vol. 56	1	2014	Vol. 69	6	http://www.cairn.info/revue-population.htm	I.N.E.D		POPE												
Annales des Mines - Responsabilité et environnement	1268-4783	2271-8052	2008	N° 49	1	2014	N°57	4	http://www.cairn.info/revue-responsabilite-et-environnement.htm	ESKA		RE												
La lettre de l'enfance et de l'adolescence	1146-061X	1951-6304	2001	n° 43	1	2013	n° 88	4	http://www.cairn.info/revue-lettre-de-l-enfance-et-de-l-adolescence.htm	ERES		LETT												
Revue Française d'Histoire des Idées Politiques	1266-7862	2119-3851	2001	N° 13	1	2014	n°27	2	http://www.cairn.info/revue-francaise-d-histoire-des-idees-politiques.htm	Editions Picard		RFHIP												
Revue française de sociologie	0035-2969	1958-5691	2003	Vol. 44	0	2014	Vol. 55	5	http://www.cairn.info/revue-francaise-de-sociologie.htm	Presses de Sciences Po		RFSEN												
Revue française de science politique	0035-2950	1950-6686	2001	Vol. 51	1	2014	Vol.63	6	http://www.cairn.info/revue-francaise-de-science-politique.htm	Presses de Sciences Po		RFSPE												
Annales des Mines - Réalités industrielles	1148-7941	2271-7978	2008	Août 2008	1	2014	Novembre 2013	4	http://www.cairn.info/revue-realites-industrielles.htm	ESKA		RINDU												
Revue internationale de psychosociologie	1260-1705	2105-2662	2001	Vol. IX	16	2012	Vol. XVIII	44	http://www.cairn.info/revue-internationale-de-psychosociologie.htm	ESKA		RIPS												
Terrain	0760-5668	1777-5450							http://www.cairn.info/revue-terrain.htm	Terrain		TERR												
Vertigo			2006	n° 28	1	2013	n° 46	3	http://www.cairn.info/revue-vertigo.htm	Editions Lignes		VER												
