publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
L'annonce du handicap autour de la naissance en douze questions									http://www.cairn.info/l-annonce-du-handicap-autour-de-la-naissance--9782749205854.htm		ERES_BENSO_2006_01				
Anorexie et boulimie									http://www.cairn.info/anorexie-et-boulimie--9782804152253.htm		DBU_PASSEL_2006_01				
L'anthropologie de Lévi-Strauss et la psychanalyse									http://www.cairn.info/l-anthropologie-de-levi-strauss-et-la-psychanalyse--9782707151988.htm		DEC_DRACH_2008_01				
Apprendre à philosopher par la discussion									http://www.cairn.info/apprendre-a-philosopher-par-la-discussion--9782804155230.htm		DBU_TOZZI_2007_01				
Apprentissage d'une langue étrangère/seconde Vol. 1									http://www.cairn.info/apprentissage-d-une-langue-etrangere-1--9782804126186.htm		DBU_VRIEN_2000_01				
Apprentissage d'une langue étrangère/seconde Vol. 2									http://www.cairn.info/apprentissage-d-une-langue-etrangere-seconde-2--9782804134921.htm		DBU_RENAR_2002_01				
Apprentissage d'une langue étrangère/seconde Vol. 3									http://www.cairn.info/apprentissage-d-une-langue-etrangere-seconde-3--9782804142773.htm		DBU_RIVEN_2003_01				
Apprentissage d'une langue étrangère/seconde. Vol. 4									http://www.cairn.info/apprentissage-d-une-langue-etrangere-4--9782804143794.htm		DBU_BARBE_2005_01				
Approches didactiques de l'interdisciplinarité									http://www.cairn.info/approches-didactiques-de-l-interdisciplinarite--9782804138394.htm		DBU_FOURE_2002_01				
Après Mélanie Klein									http://www.cairn.info/apres-melanie-klein--2825706604.htm		GREU_ARNOU_2000_01				
L'arbre de vie									http://www.cairn.info/l-arbre-de-vie--9782749210605.htm		ERES_LEBOV_2009_01				
L'archéologie préventive dans le monde									http://www.cairn.info/l-archeologie-preventive-dans-le-monde--9782707152121.htm		DEC_DEMOU_2007_01				
Archives et histoire dans les sociétés postcommunistes									http://www.cairn.info/archives-et-histoire-dans-les-societes-postcommuni--9782707157317.htm		DEC_COMBE_2009_01				
L'argent									http://www.cairn.info/l-argent--9782707143129.htm		DEC_DRACH_2004_01				
L'argent de l'influence									http://www.cairn.info/l-argent-de-l-influence--9782746714410.htm		AUTRE_TOURN_2010_02				
L'art d'inventer l'existence dans les pratiques médico-sociales									http://www.cairn.info/l-art-d'inventer-l-existence-dans-les-pratiques-me--9782749211763.htm		ERES_PAWLO_2010_01				
Art et philosophie, ville et architecture									http://www.cairn.info/art-et-philosophie--9782707141484.htm		DEC_PAQUO_2003_01				
Association, démocratie et société civile									http://www.cairn.info/association-democratie-et-societe-civile--9782707146910.htm		DEC_LAVIL_2001_02				
L'atelier du politiste									http://www.cairn.info/l-atelier-du-politiste--9782707151933.htm		DEC_FAVRE_2007_01				
Atlas électoral 2007									http://www.cairn.info/l-atlas-electoral-2007--9782724610116.htm		SCPO_PERRI_2007_01				
L'attachement, de la théorie à la clinique									http://www.cairn.info/l-attachement-de-la-theorie-a-la-clinique--9782749205069.htm		ERES_HUMB_2007_01				
Au commencement était la voix									http://www.cairn.info/au-commencement-etait-la-voix--9782749205311.htm		ERES_KONOP_2005_01				
Au-delà du stress au travail									http://www.cairn.info/au-dela-du-stress-au-travail--9782749208497.htm		ERES_WELLE_2008_01				
Au fil de la parole, des groupes pour dire									http://www.cairn.info/au-fil-de-la-parole-des-groupes-pour-dire--9782749205021.htm		ERES_DECAE_2005_01				
