publication_title	print_identifier	online_identifier	first_author	title_url	date_monograph_published_online	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Les théories de la république	9782707139092	9782707162946	Serge Audier	http://www.cairn.info/les-theories-de-la-republique--9782707139092.htm	2010-11-26							DEC_AUDIE_2004_01												
Les taux d'intérêt	9782707141279	9782707168092	Agnès Bénassy-Quéré	http://www.cairn.info/les-taux-d-interet--9782707141279.htm	2010-11-30							DEC_BENAS_2003_01												
Droit d'auteur et copyright	9782707157263	9782707160485	Françoise Benhamou	http://www.cairn.info/droit-d-auteur-et-copyright--9782707157263.htm	2010-10-18							DEC_BENHA_2009_01												
L'ONU	9782707149664	9782707163219	Maurice Bertrand	http://www.cairn.info/l-onu--9782707149664.htm	2010-11-25							DEC_BERTR_2009_01												
La politique agricole commune	9782707150172	9782707161543	Jean-Christophe Bureau	http://www.cairn.info/la--politique--agricole--commune--9782707150172.htm	2011-05-01							DEC_BUREA_2007_01												
La responsabilité sociale d'entreprise	9782707165008	9782707165367	Michel Capron	http://www.cairn.info/la-responsabilite-sociale-d-entreprise--9782707165008.htm	2010-11-25							DEC_CAPRO_2010_01												
L'aide publique au développement	9782707146571	9782707161871	Olivier Charnoz	http://www.cairn.info/l-aide-publique-au-developpement--9782707146571.htm	2010-10-22							DEC_CHARN_2007_01												
La sociologie de Max Weber	9782707147318	9782707161727	Catherine Colliot-Thélène	http://www.cairn.info/la-sociologie-de-max-weber--9782707147318.htm	2010-11-26							DEC_COLLI_2008_01												
Sociologie des prénoms	9782707169303		Baptiste Coulmont	http://www.cairn.info/sociologie-des-prenoms--9782707169303.htm	2011-09-25							DEC_COULM_2011_01												
Les programmes audiovisuels	9782707145246	9782707162878	Benoît Danard	http://www.cairn.info/les-programmes-audiovisuels--9782707145246.htm	2010-11-23							DEC_DANAR_2005_01												
Sociologie du logement	9782707165855		Yankel Fijalkow	http://www.cairn.info/sociologie-du-logement--9782707165855.htm	2012-04-24							DEC_FIJAL_2011_01												
Les stratégies des ressources humaines	9782707164605	9782707164759	Bernard Gazier	http://www.cairn.info/les-strategies-des-ressources-humaines--9782707164605.htm	2010-11-15							DEC_GAZIE_2010_01												
La culture d'entreprise	9782707133564	9782707161246	Éric Godelier	http://www.cairn.info/la-culture-d-entreprise--9782707133564.htm	2010-11-24							DEC_GODEL_2006_01												
Les conditions de travail	9782707143914	9782707162564	Michel Gollac	http://www.cairn.info/les-conditions-de-travail--9782707143914.htm	2010-11-05							DEC_GOLLA_2007_01												
Sociologie de la lecture	9782707153166	9782707163691	Chantal Horellou-Lafarge	http://www.cairn.info/sociologie-de-la-lecture--9782707153166.htm	2010-11-19							DEC_HOREL_2007_01												
La guerre froide	9782707135087	9782707161420	Stanislas Jeannesson	http://www.cairn.info/la-guerre-froide--9782707135087.htm	2010-12-10							DEC_JEANN_2002_01												
L'éthique dans les entreprises	9782707142245	9782707163028	Samuel Mercier	http://www.cairn.info/l-ethique-dans-les-entreprises--9782707142245.htm	2010-11-29							DEC_MERCI_2004_01												
La sociologie des réseaux sociaux	9782707167361	9782707167361	Pierre Mercklé	http://www.cairn.info/la-sociologie-des-reseaux-sociaux--9782707167361.htm	2011-05-10							DEC_MERCK_2011_01												
Sociologie des mouvements sociaux	9782707169358		Érik Neveu	http://www.cairn.info/sociologie-des-mouvements-sociaux--9782707169358.htm	2011-09-25							DEC_NEVEU_2011_01												
La sociologie de Erving Goffman	9782707142023	9782707167460	Jean Nizet	http://www.cairn.info/la-sociologie-de-erving-goffman--9782707142023.htm	2010-11-22							DEC_NIZET_2005_01												
L'espace public	9782707154897	9782707166005	Thierry Paquot	http://www.cairn.info/l-espace-public--9782707154897.htm	2010-11-23							DEC_PAQUO_2009_02												
