publication_title	print_identifier	online_identifier	first_author	title_url	date_monograph_published_online	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Le budget de l’État	9782707174376	9782707175205	Maurice Baslé	http://www.cairn.info/le-budget-de-l-etat--9782707174376.htm	2012-11-06							DEC_BASLE_2012_01												
Les bibliothèques	9782707169877	9782707170927	Anne-Marie Bertrand	http://www.cairn.info/les-bibliotheques--9782707170927.htm	2012-06-12							DEC_BERTR_2011_01												
L’économie de l’Inde	9782707159038	9782707162373	Jean-Joseph Boillot	http://www.cairn.info/l-economie-de-l-inde--9782707159038.htm	2011-01-01							DEC_BOILL_2009_01												
La question nationale au XIX<SUP>e</SUP> siècle	9782707126863	9782707168757	Patrick Cabanel	http://www.cairn.info/la-question-nationale-au-xixe-siecle--9782707126863.htm	2011-01-01							DEC_CABAN_1997_01												
Les services à la personne	9782707156013	9782707159663	François-Xavier Devetter	http://www.cairn.info/les-services-a-la-personne--9782707156013.htm	2011-01-01							DEC_DEVET_2010_01												
La formation professionnelle continue	9782707142924	9782707167521	Claude Dubar	http://www.cairn.info/la-formation-professionnelle-continue--9782707142924.htm	2011-04-01							DEC_DUBAR_2004_01												
Le chômage	9782707157287	9782707162007	Jérôme Gautié	http://www.cairn.info/le-chomage--9782707157287.htm	2011-01-01							DEC_GAUTI_2009_01												
Histoire du féminisme	9782707154729	9782707160980		http://www.cairn.info/histoire-du-feminisme--9782707154729.htm	2011-01-01							DEC_SARCE_2008_01												
Lacan	9782130576044	9782130602972	Paul-Laurent Assoun	http://www.cairn.info/lacan--9782130576044.htm	2010-03-10							PUF_ASSOU_2009_01												
Sociologie des organisations	9782130574361	9782130602477	Catherine Ballé	http://www.cairn.info/sociologie-des-organisations--9782130574361.htm	2010-03-15							PUF_BALLE_2009_02												
L’analyse transactionnelle	9782130582779	9782130604426	Gerard Chandezon	http://www.cairn.info/l-analyse-transactionnelle--9782130582779.htm	2010-09-28							PUF_CHAND_2010_01												
Les 100 mythes de la culture générale	9782130580843	9782130603894	Éric Cobast	http://www.cairn.info/les-100-mythes-de-la-culture-generale--9782130580843.htm	2011-08-10							PUF_COBAS_2011_01												
Histoire de Paris	9782130608523	9782130623007	Yvan Combeau	http://www.cairn.info/histoire-de-paris--9782130608523.htm	2013-03-18							PUF_COMBE_2013_01												
Le narcissisme	9782130588184	9782130621850	Paul Denis	http://www.cairn.info/le-narcissisme--9782130588184.htm	2012-04-18							PUF_DENIS_2012_01												
L'État	9782130608349	9782130622963	Renaud Denoix de Saint Marc	http://www.cairn.info/l-etat--9782130608349.htm	2012-10-25							PUF_DENOI_2012_01												
Le travail	9782130578994	9782130603580	Dominique Méda	http://www.cairn.info/le-travail--9782130578994.htm	2010-03-29							PUF_MEDA_2010_01												
Le handicap	9782130592136	9782130622031	Pierre Rabischong	http://www.cairn.info/le-handicap--9782130592136.htm	2012-04-19							PUF_RABIS_2012_01												
La littérature japonaise	9782130562535	9782130600459	Daniel Struve	http://www.cairn.info/la-litterature-japonaise--9782130562535.htm	2010-03-03							PUF_STRUV_2008_01												
