publication_title	print_identifier	online_identifier	first_author	title_url	date_monograph_published_online	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Histoire de l’identification des personnes	9782707159007	9782707165596	Ilsen About	http://www.cairn.info/histoire-de-l-identification-des-personnes--9782707159007.htm	2011-01-01							DEC_ABOUT_2010_01												
Femmes en politique	9782707147417	9782707160768	Catherine Achin	http://www.cairn.info/femmes-en-politique--9782707147417.htm	2011-01-01							DEC_ACHIN_2006_01												
La mondialisation de l’économie	9782707148186	9782707161475	Jacques Adda	http://www.cairn.info/la-mondialisation-de-l-economie--9782707148186.htm	2011-01-01							DEC_ADDA_2007_01												
Macroéconomie financière	9782707154279	9782707163288	Michel Aglietta	http://www.cairn.info/macroeconomie-financiere--9782707154279.htm	2011-01-01							DEC_AGLIE_2008_01												
Le dollar et le système monétaire international	9782707169075	9782707185570	Michel Aglietta	http://www.cairn.info/le-dollar-et-le-systeme-monetaire-international--9782707169075.htm	2014-11-26							DEC_AGLIE_2014_01												
Économie de la distribution	9782707137357	9782707168085		http://www.cairn.info/Economie-de-la-distribution--9782707137357.htm	2011-01-01							DEC_ALLAI_2003_01												
Les multinationales globales	9782707139535	9782707162762	Wladimir Andreff	http://www.cairn.info/les-multinationales-globales--9782707139535.htm	2011-01-01							DEC_ANDRE_2003_01												
Histoire de la société chinoise	9782707156761	9782707165466	Tania Angeloff	http://www.cairn.info/histoire-de-la-societe-chinoise-1949-2009--9782707156761.htm	2011-01-01							DEC_ANGEL_2010_01												
Éthique économique et sociale	9782707139443	9782707160720	Christian Arnsperger	http://www.cairn.info/ethique-economique-et-sociale--9782707139443.htm	2011-01-01							DEC_ARNSP_2003_01												
Le partage de la valeur ajoutée	9782707174451	9782707175243	Philippe Askenazy	http://www.cairn.info/le-partage-de-la-valeur-ajoutee--9782707174451.htm	2012-11-07							DEC_ASKEN_2012_01												
Les théories économiques du développement	9782707136480	9782707164209	Elsa Assidon	http://www.cairn.info/les-theories-economiques-du-developpement--9782707136480.htm	2011-01-01							DEC_ASSID_2002_02												
Le socialisme libéral	9782707178190	9782707162304	Serge Audier	http://www.cairn.info/le-socialisme-liberal--9782707178190.htm	2014-01-20							DEC_AUDIE_2014_01												
Les théories de la république	9782707178503	9782707182814	Serge Audier	http://www.cairn.info/les-theories-de-la-republique--9782707178503.htm	2015-10-02							DEC_AUDIE_2015_01												
Sociologie de Lyon	9782707156020	9782707164698	Jean-Yves Authier	http://www.cairn.info/sociologie-de-lyon--9782707156020.htm	2011-01-01							DEC_AUTHI_2010_01												
Le judaïsme	9782707164629	9782707164735	Régine Azria	http://www.cairn.info/le-judaisme--9782707164629.htm	2011-01-01							DEC_AZRIA_2010_01												
La philosophie de Marx	9782707133892	9782707167934	Étienne Balibar	http://www.cairn.info/la-philosophie-de-marx--9782707133892.htm	2011-01-01							DEC_BALIB_2001_01												
Le système français de protection sociale	9782707157379	9782707162243	Jean-Claude Barbier	http://www.cairn.info/le-systeme-francais-de-protection-sociale--9782707157379.htm	2011-01-01							DEC_BARBI_2009_01												
Le budget de l'état	9782707187901	9782707189097	Maurice Baslé	http://www.cairn.info/le-budget-de-l-etat--9782707187901.htm	2015-12-02							DEC_BASLE_2015_01												
Le capitalisme financier	9782707138811	9782707168207	Laurent Batsch	http://www.cairn.info/le-capitalisme-financier--9782707138811.htm	2011-01-01							DEC_BATSC_2002_01												
Histoire du travail des femmes	9782707166258	9782707156587	Françoise Battagliola	http://www.cairn.info/histoire-du-travail-des-femmes--9782707166258.htm	2011-01-01							DEC_BATTA_2008_01												
L’économie des États-Unis	9782707133311	9782707162403	Hélène Baudchon	http://www.cairn.info/l-economie-des-etats-unis--9782707133311.htm	2011-01-01							DEC_BAUDC_2002_01												
Économie de la firme	9782707137418	9782707160539	Bernard Baudry	http://www.cairn.info/Economie-de-la-firme--9782707137418.htm	2011-01-01							DEC_BAUDR_2003_01												
L’économie des relations interentreprises	9782707145383	9782707160645	Bernard Baudry	http://www.cairn.info/l-economie-des-relations-interentreprises--9782707145383.htm	2011-01-01							DEC_BAUDR_2005_01												
Les théories économiques de l'entreprise	9782707176790	9782707182821	Bernard Baudry	http://www.cairn.info/les-theories-economiques-de-l-entreprise--9782707176790.htm	2014-04-22							DEC_BAUDR_2014_01												
Les restructurations d’entreprises	9782707158246	9782707173942	Rachel Beaujolin-Bellet	http://www.cairn.info/les-restructurations-d-entreprises--9782707158246.htm	2012-06-14							DEC_BEAUJ_2012_01												
Lire l’économétrie	9782707173119	9782707174055	Luc Behaghel	http://www.cairn.info/lire-l-econometrie--9782707173119.htm	2012-06-13							DEC_BEHAG_2012_01												
Économie de la défense	9782707158895	9782707182234	Renaud Bellais	http://www.cairn.info/economie-de-la-defense--9782707158895.htm	2014-01-20							DEC_BELLA_2014_01												
L’économie de la Russie	9782707145666	9782707162366	François Benaroya	http://www.cairn.info/l-economie-de-la-russie--9782707145661.htm	2011-01-01							DEC_BENAR_2006_01												
Les enjeux de la mondialisation	9782707175779	9782707177377	Agnès Bénassy-Quéré	http://www.cairn.info/les-enjeux-de-la-mondialisation-les-grandes-questi--9782707175779.htm	2013-05-27							DEC_BENAS_2013_01												
Économie de l’euro	9782707182463	9782707182852	Agnès Bénassy-Quéré	http://www.cairn.info/economie-de-l-euro--9782707182463.htm	2014-06-18							DEC_BENAS_2014_01												
Les taux d'intérêt	9782707185860	9782707187888	Agnès Bénassy-Quéré	http://www.cairn.info/les-taux-d-interet--9782707185860.htm	2015-10-02							DEC_BENAS_2015_01												
L’économie de la culture	9782707167774	9782707167958	Françoise Benhamou	http://www.cairn.info/l-economie-de-la-culture--9782707167774.htm	2011-05-09							DEC_BENHA_2011_01												
Économie du patrimoine culturel	9782707171566	9782707174826	Françoise Benhamou	http://www.cairn.info/economie-du-patrimoine-culturel--9782707171566.htm	2012-07-05							DEC_BENHA_2012_01												
Droit d’auteur et copyright	9782707182784	9782707183620	Françoise Benhamou	http://www.cairn.info/droit-d-auteur-et-copyright--9782707182784.htm	2014-09-28							DEC_BENHA_2014_01												
Sociologie de la drogue	9782707138699	9782707165916	Henri Bergeron	http://www.cairn.info/sociologie-de-la-drogue--9782707138699.htm	2011-01-01							DEC_BERGE_2009_01												
Le contrôle budgétaire	9782707135674	9782707162045	Nicolas Berland	http://www.cairn.info/le-controle-budgetaire--9782707135674.htm	2011-01-01							DEC_BERLA_2002_01												
L'ONU	9782707182876	9782707186508	Maurice Bertrand	http://www.cairn.info/l-onu--9782707182876.htm	2015-05-13							DEC_BERTR_2015_01												
Les bibliothèques	9782707187963	9782707189127	Anne-Marie Bertrand	http://www.cairn.info/les-bibliotheques--9782707187963.htm	2015-11-30							DEC_BERTR_2015_02												
Introduction à Michel Foucault	9782707155856	9782707167248	Jean-François Bert	http://www.cairn.info/introduction-a-michel-foucault--9782707155856.htm	2011-03-22							DEC_BERT_2011_01												
Inflation et désinflation	9782707168955	9782707169266	Pierre Bezbakh	http://www.cairn.info/inflation-et-desinflation--9782707169266.htm	2012-01-05							DEC_BEZBA_2011_01												
Le système des inégalités	9782707152206	9782707166210	Alain Bihr	http://www.cairn.info/le-systeme-des-inegalites--9782707152206.htm	2011-01-01							DEC_BIHR_2008_01												
La fonction publique territoriale	9782707165718	9782707171597	Émilie Biland	http://www.cairn.info/la-fonction-publique-territoriale--9782707171597.htm	2012-04-02							DEC_BILAN_2012_01												
Histoire de l’immigration	9782707135858	9782707160935	Marie-Claude Blanc-Chaléard	http://www.cairn.info/histoire-de-l-immigration--9782707135858.htm	2011-01-01							DEC_BLANC_2001_01												
Sociologie de l'école	9782707185709	9782707190864	Marianne Blanchard	http://www.cairn.info/sociologie-de-l-ecole--9782707185709.htm	2016-04-29							DEC_BLANC_2016_01												
L'économie de l'Inde	9782707188830	9782707189172	Jean-Joseph Boillot	http://www.cairn.info/l-economie-de-l-inde--9782707188830.htm	2016-03-02							DEC_BOILL_2016_01												
La theorie des parties prenantes	9782707146533	9782707178022	Maria Bonnafous-Boucher	http://www.cairn.info/la-theorie-des-parties-prenantes--9782707146533.htm	2014-04-21							DEC_BONNA_2014_01												
Le droit du travail	9782707154859	9782707166272	Michèle Bonnechère	http://www.cairn.info/le-droit-du-travail--9782707154859.htm	2011-01-01							DEC_BONNE_2008_01												
Sciences, techniques et société	9782707150974	9782707177889	Christophe Bonneuil	http://www.cairn.info/sciences-techniques-et-societe--9782707150974.htm	2014-01-12							DEC_BONNE_2013_01												
L’économie de l’environnement	9782707177513	9782707178015	Philippe Bontems	http://www.cairn.info/l-economie-de-l-environnement--9782707177513.htm	2014-01-15							DEC_BONTE_2013_01												
La politique monétaire	9782707149527	9782707161581	Christian Bordes	http://www.cairn.info/la-politique-monetaire--9782707149527.htm	2011-01-01							DEC_BORDE_2008_01												
Sociologie des cadres	9782707131799	9782707168443	Paul Bouffartigue	http://www.cairn.info/sociologie-des-cadres--9782707131799.htm	2011-01-03							DEC_BOUFF_2000_01												
Introduction aux sciences de la communication	9782707137760	9782707161079	Daniel Bougnoux	http://www.cairn.info/introduction-aux-sciences-de-la-communication--9782707137760.htm	2011-01-01							DEC_BOUGN_2001_01												
Les réseaux de franchise	9782707159502	9782707165312	Jacques Boulay	http://www.cairn.info/les-reseaux-de-franchise--9782707159502.htm	2011-01-01							DEC_BOULA_2010_01												
Économie du sport	9782707171436	9782707173607	Jean-François Bourg	http://www.cairn.info/economie-du-sport--9782707171436.htm	2012-06-14							DEC_BOURG_2012_01												
L’empreinte écologique	9782707156853	9782707165992	Aurélien Boutaud	http://www.cairn.info/l-empreinte-ecologique--9782707156853.htm	2011-01-01							DEC_BOUTA_2009_01												
Le développement économique de l’Asie orientale	9782707134684	9782707168344	Jacques Bouteiller	http://www.cairn.info/le-developpement-economique-de-l-asie-orientale--9782707134684.htm	2011-01-01							DEC_BOUTE_2001_01												
Les modèles productifs	9782707133175	9782707168412	Robert Boyer	http://www.cairn.info/les-modeles-productifs--9782707133175.htm	2011-01-01							DEC_BOYER_2000_01												
Théorie de la régulation	9782707132161	9782707164001	Robert Boyer	http://www.cairn.info/theorie-de-la-regulation-1-les-fondamentaux--9782707132161.htm	2011-01-01							DEC_BOYER_2004_01												
Le crowdfunding	9782707188106	9782707190871	Karine Boyer	http://www.cairn.info/le-crowdfunding--9782707188106.htm	2016-04-28							DEC_BOYER_2016_01												
Histoire de la Turquie contemporaine	9782707188861	9782707192011	Hamit Bozarslan	http://www.cairn.info/histoire-de-la-turquie-contemporaine--9782707188861.htm	2016-05-04							DEC_BOZAR_2016_01												
Economie des politiques publiques	9782707164179	9782707164667	Antoine Bozio	http://www.cairn.info/economie-des-politiques-publiques--9782707164179.htm	2011-01-01							DEC_BOZIO_2010_01												
La France face aux marchés financiers	9782707142733	9782707167569	Anton Brender	http://www.cairn.info/la-france-face-aux-marches-financiers--9782707142733.htm	2011-01-01							DEC_BREND_2004_01												
La France face à la mondialisation	9782707142726	9782707161338	Anton Brender	http://www.cairn.info/la-france-face-a-la-mondialisation--9782707142726.htm	2011-03-23							DEC_BREND_2004_02												
Les déséquilibres financiers internationaux	9782707152497	9782707162571	Anton Brender	http://www.cairn.info/les-desequilibres-financiers-internationaux--9782707152497.htm	2011-01-01							DEC_BREND_2007_01												
La crise de la finance globalisée	9782707157362	9782707165930	Anton Brender	http://www.cairn.info/la-crise-de-la-finance-globalisee--9782707157362.htm	2011-01-01							DEC_BREND_2009_01												
Monnaie, finance et économie réelle	9782707185822	9782707186546	Anton Brender	http://www.cairn.info/monnaie-finance-et-economie-reelle--9782707185822.htm	2015-05-18							DEC_BREND_2015_01												
