publication_title	print_identifier	online_identifier	first_author	title_url	publisher_name	date_monograph_published_online	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_id	embargo_info	coverage_depth	coverage_notes	publication_type	date_monograph_published_print	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Reconversion énergétique, la Bretagne en pointe	9791031200446	9791031200453	Pierre-Henri Allain	http://www.cairn.info/reconversion-energetique-la-bretagne-en-pointe--9791031200446.htm	Ateliers Henry Dougier	2015-10-02							AHD_ALLAI_2015_01											
Réinventer l’industrie, les aventures de Joseph Puzo	9791093594873	9791093594880	Élisabeth Bourguinat	http://www.cairn.info/reinventer-l-industrie-les-aventures-de-joseph-puz--9791093594873.htm	Ateliers Henry Dougier	2015-10-02							AHD_BOURG_2015_01											
Réenchanteur de ville, Jean Blaise	9791093594842	9791093594859	Philippe Dossal	http://www.cairn.info/reenchanteur-de-ville-jean-blaise--9791093594842.htm	Ateliers Henry Dougier	2015-10-02							AHD_DOSS_2015_01											
Résilience écologique : Loos-en-Gohelle, ville « durable »	9791031200231	9791031200248	Philippe Gagnebet	http://www.cairn.info/resilience-ecologique-loos-en-gohelle-ville-durabl--9791031200231.htm	Ateliers Henry Dougier	2015-10-02							AHD_GAGNE_2015_01											
Regards décalés sur des patrimoines silencieux	9791031200323	9791031200330	Hélène Hatzfeld	http://www.cairn.info/regards-decales-sur-des-patrimoines-silencieux--97910310200323.htm	Ateliers Henry Dougier	2015-10-02							AHD_HATZF_2015_01											
Rêver les cinémas, demain	9791093594743	9791093594767	Agnès Salson	http://www.cairn.info/rever-les-cinemas-demain--9791093594743.htm	Ateliers Henry Dougier	2015-10-02							AHD_SALS_2015_01											
Résurrection de <i>L’Hermione</i>, la folle équipée !	9791093594903	9791093594910	Béatrice Vallaeys	http://www.cairn.info/resurrection-de-l-hermione-la-folle-equipee--9791093594903.htm	Ateliers Henry Dougier	2015-10-03							AHD_VALLA_2015_01											
L'anorexique, le médecin et le psychanalyste	9782951671119		Houchang Guilyardi	http://www.cairn.info/l-anorexique-le-medecin-et-le-psychanalyste--9782951671119.htm	Association Psychanalyse et Médecine	2013-10-01							APM_GUILY_2010_01											
L'acte entre transfert et savoir	9782951671126	9782951671126	Houchang Guilyardi	http://www.cairn.info/l-acte-entre-transfert-et-savoir--9782951671133.htm	Association Psychanalyse et Médecine	2013-10-01							APM_GUILY_2011_01											
La livre de chair	9782951671133		Houchang Guilyardi	http://www.cairn.info/la-livre-de-chair--9782951671133.htm	Association Psychanalyse et Médecine	2013-10-01							APM_GUILY_2012_01											
