publication_title	print_identifier	online_identifier	first_author	title_url	date_monograph_published_online	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Les nouveaux indicateurs de richesse	9782707174758	9782707175298	Jean Gadrey	http://www.cairn.info/les-nouveaux-indicateurs-de-richesse--9782707174758.htm	2013-02-26							DEC_GADRE_2012_01												
Une histoire de l’humanitaire	9782707153982	9782707166142	Philippe Ryfman	http://www.cairn.info/une-histoire-de-l-humanitaire--9782707153982.htm	2011-01-01							DEC_RYFMA_2008_01												
Histoire du Maroc depuis l’indépendance	9782707164995	9782707165343	Pierre Vermeren	http://www.cairn.info/histoire-du-maroc-depuis-l-independance--9782707164995.htm	2011-01-01							DEC_VERME_2010_01												
La didactique des sciences	9782130523475	9782130599821	Jean-Pierre Astolfi	http://www.cairn.info/la-didactique-des-sciences--9782130523475.htm	2010-02-08							PUF_ASTOL_2002_01												
Histoire constitutionnelle de la France	9782130619727	9782130623274	Pierre Bodineau	http://www.cairn.info/histoire-constitutionnelle-de-la-france--9782130619727.htm	2013-03-19							PUF_BODIN_2013_01												
La mondialisation	9782130606529	9782130622703	Philippe Moreau Defarges	http://www.cairn.info/la-mondialisation--9782130606529.htm	2012-09-06							PUF_DEFAR_2012_01												
L’adolescence	9782130575085	9782130602606	Michèle Emmanuelli	http://www.cairn.info/l-adolescence--9782130575085.htm	2010-03-26							PUF_EMMAN_2009_01												
La presse	9782130577270	9782130603252	Patrick Eveno	http://www.cairn.info/la-presse--9782130577270.htm	2010-10-25							PUF_EVENO_2010_01												
L’art italien	9782130565345	9782130601050	Michel Feuillet	http://www.cairn.info/l-art-italien--9782130565345.htm	2010-03-11							PUF_FEUIL_2009_02												
Max Weber	9782130573975	9782130602347	Laurent Fleury	http://www.cairn.info/max-weber--9782130573975.htm	2010-03-09							PUF_FLEUR_2009_01												
La crise de 1929	9782130591788	9782130606116	Bernard Gazier	http://www.cairn.info/la-crise-de-1929--9782130591788.htm	2011-12-05							PUF_GAZIE_2011_01												
Géopolitique des islamismes	9782130632122	9782130652564	Anne-Clémentine Larroque	http://www.cairn.info/geopolitique des islamismes--9782130632122.htm	2014-11-03							PUF_LARRO_2014_01												
Santé et économie en Europe	9782130624509	9782130629955	Béatrice Majnoni d'Intignano	http://www.cairn.info/sante-et-economie-en-europe--9782130624509.htm	2013-09-26							PUF_MAJNO_2013_01												
L'affaire Dreyfus	9782130532262	9782130598510	Pierre Miquel	http://www.cairn.info/l-affaire-dreyfus--9782130532262.htm	2010-03-02							PUF_MIQUE_2003_01												
L’ingénierie culturelle et l’évaluation des politiques culturelles en France	9782130594406	9782130622291	Claude Mollard	http://www.cairn.info/l-ingenierie-culturelle-et-l-evaluation-des-politi--9782130594406.htm	2012-02-06							PUF_MOLLA_2012_01												
Les motivations	9782130652106		Alex Mucchielli	http://www.cairn.info/les-motivations--9782130652106.htm	0000-00-00							PUF_MUCCH_2015_01												
L’École de Palo Alto	9782130606628	9782130622727	Dominique Picard	http://www.cairn.info/l-ecole-de-palo-alto--9782130606628.htm	2013-04-21							PUF_PICAR_2013_01												
La philosophie de l’éducation	9782130580874	9782130603917	Olivier Reboul	http://www.cairn.info/la-philosophie-de-l-education--9782130580874.htm	2010-03-31							PUF_REBOU_2010_01												
Le service public hospitalier	9782130594994	9782130622482	Didier Stingre	http://www.cairn.info/le-service-public-hospitalier--9782130594994.htm	2012-07-05							PUF_STING_2012_01												
La philosophie du droit	9782130585350	9782130605065	Michel Troper	http://www.cairn.info/la-philosophie-du-droit--9782130585350.htm	2011-03-20							PUF_TROPE_2011_01												
Le sacré	9782130574071	9782130602422	Jean-Jacques Wunenburger	http://www.cairn.info/le-sacre--9782130574071.htm	2010-03-09							PUF_WUNEN_2009_01												
