publication_title	print_identifier	online_identifier	first_author	title_url	publisher_name	date_monograph_published_online	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_id	embargo_info	coverage_depth	coverage_notes	publication_type	date_monograph_published_print	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Éduquer : à quoi bon ?	9782130473220	9782130711261		http://www.cairn.info/eduquer-a-quoi-bon--9782130473220.htm	Presses Universitaires de France	2016-08-31							ADH_131											
Journalistes précaires, journalistes au quotidien	9782748900644	9782748911183		http://www.cairn.info/journalistes-precaires-journalistes-au-quotidien--9782748900644.htm	Agone	2016-04-01							AGON_ACCAR_2007_01											
Le petit-bourgeois gentilhomme	9782748901023	9782748911138		http://www.cairn.info/le-petit-bourgeois-gentilhomme--9782748901023.htm	Agone	2016-04-01							AGON_ACCAR_2009_01											
Le culte de la charogne	2748900227	9782748911282		http://www.cairn.info/le-culte-de-la-charogne--2748900227.htm	Agone	2016-04-01							AGON_ALBER_2006_01											
L’ordre moins le pouvoir	9782748900972	9782748911091		http://www.cairn.info/ordre-moins-le-pouvoir--9782748900972.htm	Agone	2016-04-01							AGON_BAIL_2008_01											
Des femmes respectables	9782748902174	9782748911121		http://www.cairn.info/des-femmes-respectables--9782748902174.htm	Agone	2016-06-05							AGON_BERVE_2015_01											
Essais I	9782910846282	9782748911046		http://www.cairn.info/essais-i-wittgenstein-la-modernite-le-progres--9782910846282.htm	Agone	2016-02-01							AGON_BOUV_2000_01											
Essais II	9782910846466	9782748911053		http://www.cairn.info/l-epoque-la-mode-la-morale-la-satire--9782910846466.htm	Agone	2016-02-01							AGON_BOUV_2001_01											
Essais III	9782910846756	9782748911060		http://www.cairn.info/essais-iii-wittgenstein-et-les-sortileges--9782910846756.htm	Agone	2016-02-01							AGON_BOUV_2003_01											
Essais IV	9782748900309	9782748911077		http://www.cairn.info/essais-iv-pourquoi-pas-des-philosophes--9782748900309.htm	Agone	2016-02-01							AGON_BOUV_2004_01											
Essais V	9782748900316	9782748911084		http://www.cairn.info/essais-v-descartes-leibniz-kant--9782748900316.htm	Agone	2016-02-01							AGON_BOUV_2006_01											
Responsabilités des intellectuels	2910846083	9782748911305		http://www.cairn.info/responsabilites-des-intellectuels--2910846083.htm	Agone	2016-04-01							AGON_CHOMS_1998_01											
Déposséder les possédants	9782748900941	9782748911244		http://www.cairn.info/deposseder-les-possedants--9782748900941.htm	Agone	2016-04-01							AGON_CHUE_2008_01											
D’une abolition l’autre	2910846113	9782748911237		http://www.cairn.info/d-une-abolition-l-autre--2910846113.htm	Agone	2016-04-01							AGON_COTTI_1999_01											
Le chemin vers le bas	9782748900460	9782748911206		http://www.cairn.info/le-chemin-vers-le-bas--9782748900460.htm	Agone	2016-04-01							AGON_FRANZ_2007_01											
Les affaires sous la guerre	2910846903	9782748911190		http://www.cairn.info/les-affaires-sous-la-guerre--2910846903.htm	Agone	2016-04-01							AGON_GLOBA_2003_01											
Naissance de la sociologie	2748900340	9782748911169		http://www.cairn.info/naissance-de-la-sociologie--2748900340.htm	Agone	2016-06-03							AGON_HEIL_2006_01											
La nouvelle école des élites	9782748902402	9782748911114		http://www.cairn.info/la-nouvelle-ecole-des-elites--9782748902402.htm	Agone	2016-06-05							AGON_KAHN_2015_01											
Théorie du langage	9782748900866	9782748911145		http://www.cairn.info/theorie-du-langage--9782748900866.htm	Agone	2016-04-01							AGON_KARL_2009_01											
Conversations avec Wittgenstein (1949-1951)	2910846636	9782748911220		http://www.cairn.info/conversations-avec-wittgenstein--2910846636.htm	Agone	2016-04-01							AGON_KOLK_2001_01											
Les courtiers du capitalisme	9782748902396	9782748911107		http://www.cairn.info/les-courtiers-du-capitalisme--9782748902396.htm	Agone	2016-06-05							AGON_LAURE_2015_01											
Les frontières de la République	9782748901276	9782748911015		http://www.cairn.info/les-frontieres-de-la-republique--9782748901276.htm	Agone	2016-02-04							AGON_LEWIS_2010_01											
Forme et contenu	2748900154	9782748911275		http://www.cairn.info/forme-et-contenu--2748900154.htm	Agone	2016-04-01							AGON_MORIT_2003_01											
Retour à l'Ouest	9782748901252	9782748911268		http://www.cairn.info/retour-a-l-ouest--9782748901252.htm	Agone	2016-04-01							AGON_SERGE_2010_01											
Cauchemar en URSS	2910846350	9782748911312		http://www.cairn.info/cauchemar-en-urss--2910846350.htm	Agone	2016-04-01							AGON_SOUVA_2001_01											
Le marché de droit divin	2910846776	9782748911152		http://www.cairn.info/le-marche-de-droit-divin--2910846776.htm	Agone	2016-04-01							AGON_THOM_2003_01											
La chevauchée anonyme	2748900553	9782748911213		http://www.cairn.info/la-chevauchee-anonyme--2748900553.htm	Agone	2016-04-01							AGON_VEGA_2006_01											
L’envers de la dette	2910846830	9782748911251		http://www.cairn.info/l-envers-de-la-dette--2910846830.htm	Agone	2016-04-01							AGON_VERS_2002_01											
Les pillards de la forêt	9782748900101	9782748911299		http://www.cairn.info/les-pillards-de-la-foret--9782748900101.htm	Agone	2016-04-01							AGON_VERS_2003_01											
Le Mal-Être juif	2748900170	9782748911176		http://www.cairn.info/le-mal-etre-juif--2748900170.htm	Agone	2016-04-01							AGON_VIDAL_2003_01											
Le mal-être arabe	2748900456	9782748911022		http://www.cairn.info/le-mal-etre-arabe--2748900456.htm	Agone	2016-02-01							AGON_VIDAL_2005_01											
Propagande impériale & guerre financière contre le terrorisme	9782748900743	9782748911039		http://www.cairn.info/propagande-imperiale-et-guerre-financiere--9782748900743.htm	Agone	2016-02-05							AGON_WARD_2007_01											
Une histoire populaire des États-Unis	9782910846794	9782748902440		http://www.cairn.info/une-histoire-populaire-des-etats-unis--9782910846794.htm	Agone	2016-01-05							AGON_ZINN_2002_01											
Reconversion énergétique, la Bretagne en pointe	9791031200446	9791031200453		http://www.cairn.info/reconversion-energetique-la-bretagne-en-pointe--9791031200446.htm	Ateliers Henry Dougier	2015-10-02							AHD_ALLAI_2015_01											
Réinventer l’industrie, les aventures de Joseph Puzo	9791093594873	9791093594880		http://www.cairn.info/reinventer-l-industrie-les-aventures-de-joseph-puz--9791093594873.htm	Ateliers Henry Dougier	2015-10-02							AHD_BOURG_2015_01											
Raconter l’entrepreneuriat social, de l’enseignement à la pratique	9791031201337	9791031201344		http://www.cairn.info/raconter-l-entrepreneuriat-social-de-l-enseignemen--9791031201337.htm	Ateliers Henry Dougier	2016-07-05							AHD_DHOQU_2016_01											
Réenchanteur de ville, Jean Blaise	9791093594842	9791093594859		http://www.cairn.info/reenchanteur-de-ville-jean-blaise--9791093594842.htm	Ateliers Henry Dougier	2015-10-02							AHD_DOSS_2015_01											
Résilience écologique : Loos-en-Gohelle, ville « durable »	9791031200231	9791031200248		http://www.cairn.info/resilience-ecologique-loos-en-gohelle-ville-durabl--9791031200231.htm	Ateliers Henry Dougier	2015-10-02							AHD_GAGNE_2015_01											
