publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	publisher_name	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Bulletin de l'Institut Pierre Renouvin	1276-8944	1775-4305	2007	N 25	01	2014	N° 40	02	http://www.cairn.info/revue-bulletin-de-l-institut-pierre-renouvin.htm	IRICE		BIPR												
Ecologie et politique	1166-3030	2118-3147	2002	N° 42	01	2015	N°50	03	http://www.cairn.info/revue-ecologie-et-politique.htm	Presses de Sciences Po (P.F.N.S.P.)		ECOPO												
L'Espace géographique (English Edition)			2012	Volume 41	01	2012	Volume 41	04	http://www.cairn.info/revue-espace-geographique-english.htm	Belin		E_AG												
Géomorphologie	1266-5304	1957-777X	2012	n° 1	01	2014	n° 4	04	http://www.cairn.info/revue-geomorphologie.htm	Groupe français de géomorphologie		GEOM												
Les cahiers Irice	1967-2713	2118-0067	2008	n° 10	01	2014	n°8	02	http://www.cairn.info/revue-les-cahiers-irice.htm	IRICE		LCI												
Parlement[s], Revue d'histoire politique	1768-6520	1760-6233	2004	n° 1	01	2014	n° HS 9	03	http://www.cairn.info/revue-parlements1.htm	L'Harmattan		PARL1												
Recherches en psychanalyse	1767-5448	1965-0213	2004	n° 1	01	2014	n° 9	02	http://www.cairn.info/revue-recherches-en-psychanalyse.htm	Association Recherches en psychanalyse		REP												
Movement et Sport Sciences	2118-5735	2118-5743	2002	n° 45	01	2014	n° 86	04	http://www.cairn.info/revue-science-et-motricite.htm	EDP Sciences		SM												
