publication_title	print_identifier	publisher_name	date_first_issue_online	num_first_vol_online	date_last_issue_online	num_last_vol_online	title_url	title_id
藝術論文集刊	1811-8534	國立臺灣藝術大學	200704	8	201704	28	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000037	37
科學教育	1021-3708	國立臺灣師範大學科學教育中心	200005	230	202107	440	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000038	38
醫護教育學刊	1812-7290	國立臺北護理健康大學	200306	1	200412	3	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000039	39
界面科學會誌		中華民國界面科學學會	200302	25:1-4	201007	32:1-4	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000040	40
諮商與輔導	1684-6478	天馬文化事業有限公司	200701	253	202111	431	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000041	41
東亞論壇	1817-3675	敏實科技大學	200509	449	202109	513	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000042	42
海洋文化學刊	1994-8123	國立臺灣海洋大學	200512	1	202106	30	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000043	43
通俗文學與雅正文學		國立中興大學中國文學系	200102	1	200312	4	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000046	46
本土心理學研究	1029-8282	國立臺灣大學心理學系本土心理學研究室	199306	1	202012	54	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000047	47
品質月刊	1017-3692	中華民國品質學會	200701	43:1	202110	57:10	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000048	48
臺大歷史學報	1012-8514	國立臺灣大學歷史學系	199606	19	202106	67	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000049	49
中山人文社會科學期刊	1025-5249	國立政治大學中山人文社會科學研究所	200406	12:1=26	200712	15:2=33	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000051	51
公共行政學報(政大)	1561-8080	國立政治大學公共行政學系	200412	13	202103	60	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000052	52
政大中文學報	1684-4246	政治大學	200406	1	202106	35	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000053	53
政大勞動學報	1560-6678	政治大學	200407	16	202107	32	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000054	54
Taiwan Journal of Linguistics	1729-4649、1994-2559	政治大學語言所	200306	1:1	202107	19:2	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000055	55
智慧財產評論	1811-8518	政治大學	200504	3:1	201905	15:2	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000056	56
國立政治大學社會學報	1028-8694	政治大學	200412	37	200801	39	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000057	57
台灣土地研究	1606-4682	國立政治大學地政學系	200211	5:1	202105	24:1	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000058	58
外國語文研究	1813-0755	政治大學外國語文學院	200406	1	202106	33	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000059	59
東亞研究	1013-2546	政治大學	200501	36:1	202006	51:1	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000060	60
俄語學報	1029-4996	政治大學	200506	9	202006	30	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000061	61
國立政治大學哲學學報	1027-6076	國立政治大學哲學系	200507	14	202107	46	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000064	64
國際關係學報	1023-8786	政治大學	200601	21	202012	50	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000065	65
新聞學研究	1016-1007	政治大學	196705	1	202110	149	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000067	67
會計評論	1018-1687	政治大學商學院會計系/財團法人李先庚會計文教基金會	200601	42	202107	73	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000068	68
圖書與資訊學刊	1023-2125	國立政治大學	200411	51	201411	85	http://www.hyread.com.tw/hyreadnew/search_detail_journal.jsp?dtd_id=1&sysid=00000069	69
