publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	notes	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status	field34
Bulletin de l'Association Pharmaceutique Française pour l'Hydrologie	0335-959X		1970-01-01	1		1973-12-31	12		http://www.water-quality-journal.org/		24804		fulltext			serial									now: European Journal of Water Quality 2004- ; previously: Journal Européen d'Hydrologie 1994-2003; Journal Français d'Hydrologie 1974-1993; Bulletin de l'Association Pharmaceutique Française pour l'Hydrologie 1970-1973		0335-959X						Current	
Bulletin de la Société Française de Physique	0037-9360	2259-5295	1993-05-01		89	2006-08-31		155	http://www.refletsdelaphysique.fr/		24803		fulltext			serial									now: Reflets de la Physique 2006-		0037-9360	2259-5295					Current	
Bulletin de l’Union Nationale pour l’Intérêt de l’Orthopédie Dento-Faciale	1768-9775		2006-01-01	31		2011-12-31	44		http://www.uniodf-journal.org/		24802		fulltext			serial									free access 2006-2011; ceased 2011		1768-9775						Current	
Cahiers de l'Association Scientifique Européenne pour l'Eau et la Santé	1027-4820	2105-1143	1996-01-01	1	1				http://www.water-quality-journal.org/		24807		fulltext			serial											1027-4820	2105-1143					Current	
Ciência e Técnica Vitivinícola	0254-0223		2014-01-01	29	1				http://www.ctv-jve-journal.org/		24808		fulltext			serial								F	Open Access		0254-0223						Current	
Dairy Science & Technology	1958-5586	1958-5594	2008-01-01	88	1	2010-12-31	90	6	http://www.dairy-journal.org/		5696		fulltext			serial									transfer out: Springer 2011; free access 2008-2010; previously: Le Fait 1921-2007		1958-5586	1958-5594					Current	
Droit et Médecine Bucco-Dentaire	2116-1321	2116-133X	2011-01-01	1	1				http://www.rdmbd.org/		24809		fulltext			serial											2116-1321	2116-133X					Current	
E3S Web of Conferences		2267-1242	2013-01-01	1					http://www.e3s-conferences.org/		24810		fulltext			serial								F	Open Access			2267-1242					Current	
EPJ Applied Metamaterials		2272-2394	2014-01-01	1	1				http://epjam.edp-open.org/		24813		fulltext			serial								F	Open Access			2272-2394					Current	
EPJ Photovoltaics		2105-0716	2010-01-01	1					http://www.epj-pv.org/		24814		fulltext			serial								F	Open Access			2105-0716					Current	
EPJ Web of Conferences		2100-014X	2009-01-01	1					http://www.epj-conferences.org/		24815		fulltext			serial								F	Open Access			2100-014X					Current	
EPL (Europhysics Letters)	0295-5075	1286-4854	1996-01-01	33	1				http://epljournal.edpsciences.org/		4833		fulltext			serial											0295-5075	1286-4854					Current	
ESAIM: Control, Optimisation and Calculus of Variations	1292-8119	1262-3377	1996-01-01	1					http://www.esaim-cocv.org/		4993		fulltext			serial									transfer in (2015): Cambridge University Press		1292-8119	1262-3377			2015-01-01		Current	
ESAIM: Mathematical Modelling and Numerical Analysis	0764-583X	1290-3841	1999-01-01	33	1				http://www.esaim-m2an.org/		4994		fulltext			serial									transfer in (2015): Cambridge University Press		0764-583X	1290-3841			2015-01-01		Current	
ESAIM: Probability and Statistics	1292-8100	1262-3318	1997-01-01	1	1				http://www.esaim-ps.org/		4995		fulltext			serial									transfer in (2015): Cambridge University Press		1292-8100	1262-3318			2015-01-01		Current	
ESAIM: Proceedings and Surveys		2267-3059	1996-01-01	1					http://www.esaim-proc.org/		24816		fulltext			serial								F	Open Access			2267-3059					Current	
Emergent Scientist		2556-8779	2017-10-01	1	1				https://emergent-scientist.edp-open.org/		54345		fulltext			serial								F	Open Access			2556-8779					Current	
Environmental Biosafety Research	1635-7922	1635-7930	2002-10-01	1	1	2011-10-31	10	4	http://www.ebr-journal.org/		5004		fulltext			serial									ceased: 2011		1635-7922	1635-7930					Current	
European Astronomical Society Publications Series	1633-4760	1638-1963							http://www.eas-journal.org/		6238		fulltext			serial									transfer in (2015): Cambridge University Press		1633-4760	1638-1963			2015-01-01		Current	
European Journal of Economic and Social Systems	1292-8895	1292-8909	1999-01-01	13	1	2001-12-31	15	3	http://ejess.edpsciences.org/		24817		fulltext			serial									free access to archive 1999-2001		1292-8895	1292-8909					Current	
European Journal of Water Quality	1818-8710	2100-0646	2004-01-01	35	1				http://www.water-quality-journal.org/		24818		fulltext			serial									ceased 2014; previously: Journal Européen d'Hydrologie 1994-2003; Journal Français d'Hydrologie 1974-1993; Bulletin de l'Association Pharmaceutique Française pour l'Hydrologie 1970-1973		1818-8710	2100-0646					Current	
Europhysics News	0531-7479	1432-1092	2000-02-01	31	1				http://www.europhysicsnews.org/		19925		fulltext			serial								F	Open Access		0531-7479	1432-1092					Current	
Fruits	0248-1294	1625-967X	2001-01-01	56	1				http://www.fruits-journal.org/		4996		fulltext			serial									transfer in (2015): Cambridge University Press		0248-1294	1625-967X			2015-01-01		Current	
Genetics Selection Evolution	0999-193X	1297-9686	1989-01-01	21	1	2008-12-31	40	6	http://www.gse-journal.org/		9437		fulltext			serial									transfer out: BioMed Central 2009; free access to archive; previously: Génétique Sélection Evolution 1983-1988; Annales de Génétique et de Sélection Animale 1969-1987		0999-193X	1297-9686					Current	
