publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
Mètis. Anthropologie des mondes grecs anciens									http://www.persee.fr/web/revues/home/prescript/revue/metis		metis				
Publications de la Maison de l'Orient et de la Méditerranée									http://www.persee.fr/web/revues/home/prescript/revue/mom		mom				
Géomorphologie : relief, processus, environnement		1957-777X							http://www.persee.fr/web/revues/home/prescript/revue/morfo		morfo				
Mots. Les langages du politique		1960-6001							http://www.persee.fr/web/revues/home/prescript/revue/mots		mots				
Archaeonautica		2117-6973							http://www.persee.fr/web/revues/home/prescript/revue/nauti		nauti				
Norois		1760-8546							http://www.persee.fr/web/revues/home/prescript/revue/noroi		noroi				
Revue Numismatique		1963-1693							http://www.persee.fr/web/revues/home/prescript/revue/numi		numi				
Revue de l'OFCE		1777-5647							http://www.persee.fr/web/revues/home/prescript/revue/ofce		ofce				
Extrême-Orient, Extrême-Occident		2108-7105							http://www.persee.fr/web/revues/home/prescript/revue/oroc		oroc				
Santé, Société et Solidarité		1775-3945							http://www.persee.fr/web/revues/home/prescript/revue/oss		oss				
Paléo, Revue d'Archéologie Préhistorique		2101-0420							http://www.persee.fr/web/revues/home/prescript/revue/pal		pal				
Paléorient		1957-701X							http://www.persee.fr/web/revues/home/prescript/revue/paleo		paleo				
Perspectives Chinoises		1996-4609							http://www.persee.fr/web/revues/home/prescript/revue/perch		perch				
Revue d'Histoire de la Pharmacie		1775-3864							http://www.persee.fr/web/revues/home/prescript/revue/pharm		pharm				
Revue Philosophique de Louvain		1783-1768							http://www.persee.fr/web/revues/home/prescript/revue/phlou		phlou				
Revue archéologique de Picardie		2104-3914							http://www.persee.fr/web/revues/home/prescript/revue/pica		pica				
Monuments et mémoires de la Fondation Eugène Piot									http://www.persee.fr/web/revues/home/prescript/revue/piot		piot				
Pôle Sud		1960-6656							http://www.persee.fr/web/revues/home/prescript/revue/pole		pole				
Politique étrangère		1958-8992							http://www.persee.fr/web/revues/home/prescript/revue/polit		polit				
Politix. Revue des sciences sociales du politique		1953-8286							http://www.persee.fr/web/revues/home/prescript/revue/polix		polix				
Politiques et Management Public		2119-4831							http://www.persee.fr/web/revues/home/prescript/revue/pomap		pomap				
Population		1957-7966							http://www.persee.fr/web/revues/home/prescript/revue/pop		pop				
L'Année psychologique		1955-2580							http://www.persee.fr/web/revues/home/prescript/revue/psy		psy				
Culture & Musées		2111-4528							http://www.persee.fr/web/revues/home/prescript/revue/pumus		pumus				
Quaderni		2105-2956							http://www.persee.fr/web/revues/home/prescript/revue/quad		quad				
Quaternaire		1965-0795							http://www.persee.fr/web/revues/home/prescript/revue/quate		quate				
Revue archéologique du Centre de la France		1951-6207							http://www.persee.fr/web/revues/home/prescript/revue/racf		racf				
Revue archéologique de Narbonnaise		2117-5683							http://www.persee.fr/web/revues/home/prescript/revue/ran		ran				
Revue Archéologique de l'Ouest		1775-3732							http://www.persee.fr/web/revues/home/prescript/revue/rao		rao				
Recherches en anthropologie au Portugal		1960-6664							http://www.persee.fr/web/revues/home/prescript/revue/rap		rap				
Revue belge de Philologie et d'Histoire									http://www.persee.fr/web/revues/home/prescript/revue/rbph		rbph				
Recherches sur Diderot et sur l'Encyclopédie		1955-2416							http://www.persee.fr/web/revues/home/prescript/revue/rde		rde				
Revue des études byzantines		2261-060X							http://www.persee.fr/web/revues/home/prescript/revue/rebyz		rebyz				
Revue d'études comparatives Est-Ouest									http://www.persee.fr/web/revues/home/prescript/revue/receo		receo				
Revue économique		1950-6694							http://www.persee.fr/web/revues/home/prescript/revue/reco		reco				
Revue des Études Grecques									http://www.persee.fr/web/revues/home/prescript/revue/reg		reg				
Revue d'économie industrielle		1773-0198							http://www.persee.fr/web/revues/home/prescript/revue/rei		rei				
Revue Européenne des Migrations Internationales		1777-5418							http://www.persee.fr/web/revues/home/prescript/revue/remi		remi				
Revue des mondes musulmans et de la Méditerranée		2105-2271							http://www.persee.fr/web/revues/home/prescript/revue/remmm		remmm				
Réseaux. Communication - Technologie - Société		1777-5809							http://www.persee.fr/web/revues/home/prescript/revue/reso		reso				
Revue française d'économie		1760-7388							http://www.persee.fr/web/revues/home/prescript/revue/rfeco		rfeco				
Revue française de pédagogie		2105-2913							http://www.persee.fr/web/revues/home/prescript/revue/rfp		rfp				
Revue française de sociologie		1958-5691							http://www.persee.fr/web/revues/home/prescript/revue/rfsoc		rfsoc				
Revue française de science politique		1950-6686							http://www.persee.fr/web/revues/home/prescript/revue/rfsp		rfsp				
Revue de Géographie Alpine		1760-7426							http://www.persee.fr/web/revues/home/prescript/revue/rga		rga				
Revue d'histoire de l'Église de France		2109-9502							http://www.persee.fr/web/revues/home/prescript/revue/rhef		rhef				
Revue de l'histoire des religions		2105-2573							http://www.persee.fr/web/revues/home/prescript/revue/rhr		rhr				
Réforme, Humanisme, Renaissance		1969-654X							http://www.persee.fr/web/revues/home/prescript/revue/rhren		rhren				
Revue d'histoire des sciences		1969-6582							http://www.persee.fr/web/revues/home/prescript/revue/rhs		rhs				
Revue internationale de droit comparé		1953-8111							http://www.persee.fr/web/revues/home/prescript/revue/ridc		ridc				
Romantisme		1957-7958							http://www.persee.fr/web/revues/home/prescript/revue/roman		roman				
Revue de l'Art		1953-812X							http://www.persee.fr/web/revues/home/prescript/revue/rvart		rvart				
Les Collections numériques de la Sorbonne									http://www.persee.fr/web/revues/home/prescript/revue/shf		shf				
Actes des congrès de la Société des historiens médiévistes de l'enseignement supérieur public		2117-6809							http://www.persee.fr/web/revues/home/prescript/revue/shmes		shmes				
Revue des Études Slaves		2117-718X							http://www.persee.fr/web/revues/home/prescript/revue/slave		slave				
Sociétés Contemporaines		1950-6899							http://www.persee.fr/web/revues/home/prescript/revue/socco		socco				
Sciences Sociales et Santé		1777-5914							http://www.persee.fr/web/revues/home/prescript/revue/sosan		sosan				
L'Espace géographique		1776-2936							http://www.persee.fr/web/revues/home/prescript/revue/spgeo		spgeo				
Syria. Archéologie, Art et histoire									http://www.persee.fr/web/revues/home/prescript/revue/syria		syria				
Revue Tiers Monde		1963-1359							http://www.persee.fr/web/revues/home/prescript/revue/tiers		tiers				
Vita Latina									http://www.persee.fr/web/revues/home/prescript/revue/vita		vita				
Seizième Siècle		1775-3856							http://www.persee.fr/web/revues/home/prescript/revue/xvi		xvi				
XVII-XVIII. Revue de la Société d'études anglo-américaines des XVIIe et XVIIIe siècles		2117-590X							http://www.persee.fr/web/revues/home/prescript/revue/xvii		xvii				
Vingtième Siècle. Revue d'histoire		1950-6678							http://www.persee.fr/web/revues/home/prescript/revue/xxs		xxs				
