publication_title	online_identifier	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Osula - 10 Winning Strategies for Leaders in the Classroom: A Transformational Approach	9781446270288	http://knowledge.sagepub.com/view/10-winning-strategies-for-leaders-in-the-classroom/SAGE.xml	Osula	10-winning-strategies-for-leaders-in-the-classroom				SAGE India	Monograph	15/11/2010	18/01/2013						F
Urofsky - 100 Americans Making Constitutional History: A Biographical History	9781452235400	http://knowledge.sagepub.com/view/100-americans-making-constitutional-history/SAGE.xml		100-americans-making-constitutional-history				CQ Press	Monograph	27/04/2004	19/06/2012			Urofsky			F
"Posamentier - 100 Commonly Asked Questions in Math Class: Answers That Promote Mathematical Understanding, Grades 6-12"	9781483387871	http://knowledge.sagepub.com/view/100-commonly-asked-questions-in-math-class/SAGE.xml	Posamentier	100-commonly-asked-questions-in-math-class				Corwin	Monograph	24/09/2013	24/12/2014						F
Kanji - 100 Methods for Total Quality Management	9781446280164	http://knowledge.sagepub.com/view/100-methods-for-total-quality-management/SAGE.xml	Kanji	100-methods-for-total-quality-management				SAGE Publications Ltd	Monograph	5/03/1996	20/12/2013						F
"Lumby - 14-19 Education: Policy, Leadership and Learning"	9781446211588	http://knowledge.sagepub.com/view/14-19-education/SAGE.xml	Lumby	14-19-education				SAGE Publications Ltd	Monograph	19/04/2005	19/06/2012						F
Wenham - 200 Science Investigations for Young Students: Practical Activities for Science 5 - 11	9781446219119	http://knowledge.sagepub.com/view/200-science-investigations-for-young-students/SAGE.xml	Wenham	200-science-investigations-for-young-students				SAGE Publications Ltd	Monograph	13/12/2000	19/06/2012						F
Birx - 21st Century Anthropology: A Reference Handbook	9781412979283	http://knowledge.sagepub.com/view/21stcenturyanthro/SAGE.xml		21stcenturyanthro				"SAGE Publications, Inc"	Monograph	10/06/2010	30/06/2010			Birx			F
Eadie - 21st Century Communication: A Reference Handbook	9781412964005	http://knowledge.sagepub.com/view/communication/SAGE.xml		communication				"SAGE Publications, Inc"	Monograph	15/05/2009	3/09/2009			Eadie			F
Miller - 21st Century Criminology: A Reference Handbook	9781412971997	http://knowledge.sagepub.com/view/criminology/SAGE.xml		criminology				"SAGE Publications, Inc"	Monograph	6/08/2009	17/09/2009			Miller			F
Free - 21st Century Economics: A Reference Handbook	9781412979290	http://knowledge.sagepub.com/view/21stcenturyecon/SAGE.xml		21stcenturyecon				"SAGE Publications, Inc"	Monograph	14/05/2010	25/05/2010			Free			F
Good - 21st Century Education: A Reference Handbook	9781412964012	http://knowledge.sagepub.com/view/education/SAGE.xml		education				"SAGE Publications, Inc"	Monograph	1/10/2008	7/11/2008			Good			F
Stoltman - 21st Century Geography: A Reference Handbook	9781412995986	http://knowledge.sagepub.com/view/hdbk_geography/SAGE.xml		hdbk_geography				"SAGE Publications, Inc"	Monograph	20/10/2011	17/11/2011			Stoltman			F
Wankel - 21st Century Management: A Reference Handbook	9781412954006	http://knowledge.sagepub.com/view/management/SAGE.xml		management				"SAGE Publications, Inc"	Monograph	17/12/2007	21/04/2008			Wankel			F
Ishiyama - 21st Century Political Science: A Reference Handbook	9781412979351	http://knowledge.sagepub.com/view/21stcenturypolisci/SAGE.xml		21stcenturypolisci				"SAGE Publications, Inc"	Monograph	22/10/2010	23/11/2010			Ishiyama			F
Davis - 21st Century Psychology: A Reference Handbook	9781412956321	http://knowledge.sagepub.com/view/psychology/SAGE.xml		psychology				"SAGE Publications, Inc"	Monograph	17/12/2007	19/02/2008			Davis			F
Bryant - 21st Century Sociology: A Reference Handbook	9781412939645	http://knowledge.sagepub.com/view/sociology/SAGE.xml		sociology				"SAGE Publications, Inc"	Monograph	17/11/2006	15/03/2008			Bryant			F
"McEwan-Adkins - 40 Ways to Support Struggling Readers in Content Classrooms, Grades 6-12"	9781483329703	http://knowledge.sagepub.com/view/40-ways-to-support-struggling-readers-in-content-classrooms-grades-6-12/SAGE.xml	McEwan-Adkins	40-ways-to-support-struggling-readers-in-content-classrooms-grades-6-12				Corwin	Monograph	4/04/2007	20/12/2013						F
Johns - 401 Practical Adaptations for Every Classroom	9781483387390	http://knowledge.sagepub.com/view/401-practical-adaptations-for-every-classroom/SAGE.xml	Johns	401-practical-adaptations-for-every-classroom				Corwin	Monograph	18/10/2010	19/12/2014						F
Pilcher - 50 Key Concepts in Gender Studies	9781446278901	http://knowledge.sagepub.com/view/50-key-concepts-in-gender-studies/SAGE.xml	Pilcher	50-key-concepts-in-gender-studies				SAGE Publications Ltd	Monograph	18/03/2004	20/12/2013						F
"Schmidt - 50 Literacy Strategies for Culturally Responsive Teaching, K-8"	9781483350288	http://knowledge.sagepub.com/view/50-literacy-strategies-for-culturally-responsive-teaching-k-8/SAGE.xml	Schmidt	50-literacy-strategies-for-culturally-responsive-teaching-k-8				Corwin	Monograph	12/04/2006	20/12/2013						F
Downey - 50 Ways to Close the Achievement Gap (Third Edition)	9781452218915	http://knowledge.sagepub.com/view/50-ways-to-close-the-achievement-gap-3e/SAGE.xml	Downey	50-ways-to-close-the-achievement-gap-3e				Corwin	Monograph	23/09/2008	19/06/2012		Third Edition				F
Best - A Beginner's Guide to Social Theory	9781446219621	http://knowledge.sagepub.com/view/a-beginners-guide-to-social-theory/SAGE.xml	Best	a-beginners-guide-to-social-theory				SAGE Publications Ltd	Monograph	14/11/2002	19/06/2012						F
Bor - A Beginner's Guide to Training in Counselling & Psychotherapy	9781446219331	http://knowledge.sagepub.com/view/a-beginners-guide-to-training-in-counselling-psychotherapy/SAGE.xml		a-beginners-guide-to-training-in-counselling-psychotherapy				SAGE Publications Ltd	Monograph	25/09/2001	19/06/2012			Bor			F
Kottler - A Brief Primer of Helping Skills	9781483329840	http://knowledge.sagepub.com/view/a-brief-primer-of-helping-skills/SAGE.xml	Kottler	a-brief-primer-of-helping-skills				"SAGE Publications, Inc"	Monograph	2/11/2007	20/12/2013						F
Shores - A Comprehensive RTI Model: Integrating Behavioral and Academic Interventions	9781452219141	http://knowledge.sagepub.com/view/a-comprehensive-rti-model/SAGE.xml		a-comprehensive-rti-model				Corwin	Monograph	2/03/2009	19/06/2012			Shores			F
Adams - A Concise Introduction to Existential Counselling	9781473915039	http://knowledge.sagepub.com/view/a-concise-introduction-to-existential-counselling/SAGE.xml	Adams	a-concise-introduction-to-existential-counselling				SAGE Publications Ltd	Monograph	15/01/2013	23/12/2014						F
Lindsey - A Culturally Proficient Response to LGBT Communities: A Guide for Educators	9781483304281	http://knowledge.sagepub.com/view/a-culturally-proficient-response-to-lgbt-communities/SAGE.xml	Lindsey	a-culturally-proficient-response-to-lgbt-communities				Corwin	Monograph	20/06/2013	23/12/2014						F
Daniels - A Developmental Approach to Educating Young Children	9781452275338	http://knowledge.sagepub.com/view/a-developmental-approach-to-educating-young-children/SAGE.xml		a-developmental-approach-to-educating-young-children				Corwin	Monograph	16/08/2010	18/01/2013			Daniels			F
Swatos - A Future for Religion?: New Paradigms for Social Analysis	9781483345314	http://knowledge.sagepub.com/view/a-future-for-religion-new-paradigms-for-social-analysis/SAGE.xml		a-future-for-religion-new-paradigms-for-social-analysis				"SAGE Publications, Inc"	Monograph	22/10/1992	20/12/2013	151		Swatos			F
"Hunt - A General Theory of Competition: Resources, Competences, Productivity, Economic Growth"	9781452220321	http://knowledge.sagepub.com/view/a-general-theory-of-competition/SAGE.xml	Hunt	a-general-theory-of-competition				"SAGE Publications, Inc"	Monograph	30/11/1999	19/06/2012						F
Hull - A Guide to Mathematics Coaching: Processes for Increasing Student Achievement	9781452219479	http://knowledge.sagepub.com/view/a-guide-to-mathematics-coaching/SAGE.xml		a-guide-to-mathematics-coaching				Corwin	Monograph	1/07/2009	19/06/2012			Hull			F
Balka - A Guide to Mathematics Leadership: Sequencing Instructional Change	9781452219509	http://knowledge.sagepub.com/view/a-guide-to-mathematics-leadership/SAGE.xml		a-guide-to-mathematics-leadership				Corwin	Monograph	18/11/2009	19/06/2012			Balka			F
Bailey - A Guide to Qualitative Field Research (Second Edition)	9781412983204	http://knowledge.sagepub.com/view/a-guide-to-qualitative-field-research/SAGE.xml	Bailey	a-guide-to-qualitative-field-research				"SAGE Publications, Inc"	Monograph	14/09/2006	20/12/2013		Second Edition			4903	F
Ruggiero - A Guide to Sociological Thinking	9781483327464	http://knowledge.sagepub.com/view/a-guide-to-sociological-thinking/SAGE.xml	Ruggiero	a-guide-to-sociological-thinking				"SAGE Publications, Inc"	Monograph	4/12/1995	20/12/2013						F
Perecman - A Handbook for Social Science Field Research: Essays & Bibliographic Sources on Research Design and Methods	9781412983211	http://knowledge.sagepub.com/view/a-handbook-for-social-science-field-research/SAGE.xml	Perecman	a-handbook-for-social-science-field-research				"SAGE Publications, Inc"	Monograph	24/01/2006	30/01/2014						F
Wagner - A History and Theory of the Social Sciences: Not All That Is Solid Melts into Air	9781446219720	http://knowledge.sagepub.com/view/a-history-and-theory-of-the-social-sciences/SAGE.xml	Wagner	a-history-and-theory-of-the-social-sciences				SAGE Publications Ltd	Monograph	17/07/2001	19/06/2012						F
Spillane - A History of Modern American Criminal Justice	9781452244198	http://knowledge.sagepub.com/view/a-history-of-modern-american-criminal-justice/SAGE.xml	Spillane	a-history-of-modern-american-criminal-justice				"SAGE Publications, Inc"	Monograph	14/11/2012	26/12/2013						F
Joseph - A Passage to Infinity: Medieval Indian Mathematics from Kerala and Its Impact	9788132108085	http://knowledge.sagepub.com/view/a-passage-to-infinity/SAGE.xml	Joseph	a-passage-to-infinity				SAGE India	Monograph	11/11/2009	19/06/2012						F
Dass-Brailsford - A Practical Approach to Trauma: Empowering Interventions	9781452204123	http://knowledge.sagepub.com/view/a-practical-approach-to-trauma/SAGE.xml	Dass-Brailsford	a-practical-approach-to-trauma				"SAGE Publications, Inc"	Monograph	14/02/2007	19/06/2012						F
Daresh - A Practical Guide for New School Leaders	9781446215388	http://knowledge.sagepub.com/view/a-practical-guide-for-new-school-leaders/SAGE.xml	Daresh	a-practical-guide-for-new-school-leaders				SAGE Publications Ltd	Monograph	3/07/2003	19/06/2012						F
Dukes - A Practical Guide to Pre-school Inclusion	9781446214190	http://knowledge.sagepub.com/view/a-practical-guide-to-pre-school-inclusion/SAGE.xml	Dukes	a-practical-guide-to-pre-school-inclusion				SAGE Publications Ltd	Monograph	30/10/2006	19/06/2012						F
Browne - A Practical Guide to Teaching Reading in the Early Years	9781446219317	http://knowledge.sagepub.com/view/a-practical-guide-to-teaching-reading-in-the-early-years/SAGE.xml	Browne	a-practical-guide-to-teaching-reading-in-the-early-years				SAGE Publications Ltd	Monograph	23/10/1998	19/06/2012						F
Mander - A Psychodynamic Approach to Brief Therapy	9781446218464	http://knowledge.sagepub.com/view/a-psychodynamic-approach-to-brief-therapy/SAGE.xml	Mander	a-psychodynamic-approach-to-brief-therapy				SAGE Publications Ltd	Monograph	26/01/2000	19/06/2012						F
Bullock - A Quick Guide to Behaviour Management in the Early Years	9781446250723	http://knowledge.sagepub.com/view/a-quick-guide-to-behaviour-management-in-the-early-years/SAGE.xml	Bullock	a-quick-guide-to-behaviour-management-in-the-early-years				SAGE Publications Ltd	Monograph	15/09/2011	14/11/2012						F
Kohli - A Resilient Asia Amidst Global Financial Crisis: From Crisis Management to Global Leadership	9788132112358	http://knowledge.sagepub.com/view/a-resilient-asia-amidst-global-financial-crisis/SAGE.xml		a-resilient-asia-amidst-global-financial-crisis				SAGE India	Monograph	27/04/2010	20/12/2013			Kohli			F
Hartley - A Short History of Cultural Studies	9781446216934	http://knowledge.sagepub.com/view/a-short-history-of-cultural-studies/SAGE.xml	Hartley	a-short-history-of-cultural-studies				SAGE Publications Ltd	Monograph	4/12/2002	19/06/2012						F
Cheshire - A Short Introduction to Clinical Psychology	9781446216453	http://knowledge.sagepub.com/view/a-short-introduction-to-clinical-psychology/SAGE.xml	Cheshire	a-short-introduction-to-clinical-psychology				SAGE Publications Ltd	Monograph	15/04/2004	19/06/2012						F
Orlans - A Short Introduction to Counselling Psychology	9781446216118	http://knowledge.sagepub.com/view/a-short-introduction-to-counselling-psychology/SAGE.xml	Orlans	a-short-introduction-to-counselling-psychology				SAGE Publications Ltd	Monograph	19/12/2008	19/06/2012						F
Gask - A Short Introduction to Psychiatry	9781446220856	http://knowledge.sagepub.com/view/a-short-introduction-to-psychiatry/SAGE.xml	Gask	a-short-introduction-to-psychiatry				SAGE Publications Ltd	Monograph	22/06/2004	19/06/2012						F
Milton - A Short Introduction to Psychoanalysis (Second Edition)	9781446288801	http://knowledge.sagepub.com/view/a-short-introduction-to-psychoanalysis-2e/SAGE.xml	Milton	a-short-introduction-to-psychoanalysis-2e				SAGE Publications Ltd	Monograph	10/03/2011	26/12/2013		Second Edition			211487	F
Lister-Ford - A Short Introduction to Psychotherapy	9781446221181	http://knowledge.sagepub.com/view/a-short-introduction-to-psychotherapy/SAGE.xml		a-short-introduction-to-psychotherapy				SAGE Publications Ltd	Monograph	18/06/2007	19/06/2012			Lister-Ford			F
Wainwright - A Sociology of Health	9781446213575	http://knowledge.sagepub.com/view/a-sociology-of-health/SAGE.xml		a-sociology-of-health				SAGE Publications Ltd	Monograph	18/01/2008	19/06/2012			Wainwright			F
Derrington - A Team Approach to Behaviour Management: A Training Guide for SENCOs working with Teaching Assistants	9781446211403	http://knowledge.sagepub.com/view/a-team-approach-to-behaviour-management/SAGE.xml	Derrington	a-team-approach-to-behaviour-management				SAGE Publications Ltd	Monograph	17/02/2004	19/06/2012						F
"Garvey - A Very Short, Fairly Interesting and Reasonably Cheap Book About Coaching and Mentoring"	9781446288443	http://knowledge.sagepub.com/view/a-very-short-fairly-interesting-and-reasonably-cheap-book-about-coaching-and-mentoring/SAGE.xml	Garvey	a-very-short-fairly-interesting-and-reasonably-cheap-book-about-coaching-and-mentoring				SAGE Publications Ltd	Monograph	4/11/2011	26/12/2013						F
"Cairns - A Very Short, Fairly Interesting and Reasonably Cheap Book about International Business"	9781446278864	http://knowledge.sagepub.com/view/a-very-short-fairly-interesting-and-reasonably-cheap-book-about-international-business/SAGE.xml	Cairns	a-very-short-fairly-interesting-and-reasonably-cheap-book-about-international-business				SAGE Publications Ltd	Monograph	17/09/2008	20/12/2013						F
"Cunliffe - A Very Short, Fairly Interesting and Reasonably Cheap Book about Management"	9781446280317	http://knowledge.sagepub.com/view/a-very-short-fairly-interesting-and-reasonably-cheap-book-about-management/SAGE.xml	Cunliffe	a-very-short-fairly-interesting-and-reasonably-cheap-book-about-management				SAGE Publications Ltd	Monograph	10/06/2009	20/12/2013						F
"Lippens - A Very Short, Fairly Interesting and Reasonably Cheap Book About Studying Criminology"	9781446269046	http://knowledge.sagepub.com/view/a-very-short-fairly-interesting-and-reasonably-cheap-book-about-studying-criminology/SAGE.xml	Lippens	a-very-short-fairly-interesting-and-reasonably-cheap-book-about-studying-criminology				SAGE Publications Ltd	Monograph	19/01/2009	18/01/2013						F
"Blythe - A Very Short, Fairly Interesting and Reasonably Cheap Book about Studying Marketing"	9781446280324	http://knowledge.sagepub.com/view/a-very-short-fairly-interesting-and-reasonably-cheap-book-about-studying-marketing/SAGE.xml	Blythe	a-very-short-fairly-interesting-and-reasonably-cheap-book-about-studying-marketing				SAGE Publications Ltd	Monograph	18/10/2006	20/12/2013						F
Ireson - Ability Grouping in Education	9781446221020	http://knowledge.sagepub.com/view/ability-grouping-in-education/SAGE.xml	Ireson	ability-grouping-in-education				SAGE Publications Ltd	Monograph	11/09/2001	19/06/2012						F
Downing - Academic Instruction for Students With Moderate and Severe Intellectual Disabilities in Inclusive Classrooms	9781483350400	http://knowledge.sagepub.com/view/academic-instruction-for-students-with-moderate-and-severe-intellectual-disabilities-in-inclusive-classrooms/SAGE.xml	Downing	academic-instruction-for-students-with-moderate-and-severe-intellectual-disabilities-in-inclusive-classrooms				Corwin	Monograph	9/03/2010	26/12/2013						F
Tierney - Academic Outlaws: Queer Theory and Cultural Studies in the Academy	9781483327877	http://knowledge.sagepub.com/view/academic-outlaws/SAGE.xml	Tierney	academic-outlaws				"SAGE Publications, Inc"	Monograph	16/01/1997	20/12/2013						F
Monippally - Academic Writing: A Guide for Management Students and Researchers	9788132107897	http://knowledge.sagepub.com/view/academic-writing/SAGE.xml	Monippally	academic-writing				SAGE India	Monograph	5/04/2010	19/06/2012						F
Psencik - Accelerating Student and Staff Learning: Purposeful Curriculum Collaboration	9781483350523	http://knowledge.sagepub.com/view/accelerating-student-and-staff-learning/SAGE.xml		accelerating-student-and-staff-learning				Corwin	Monograph	27/02/2009	26/12/2013			Psencik			F
Nolet - Accessing the General Curriculum: Including Students With Disabilities in Standards-Based Reform (Second Edition)	9781483329253	http://knowledge.sagepub.com/view/accessing-the-general-curriculum/SAGE.xml		accessing-the-general-curriculum				Corwin	Monograph	1/06/2005	20/12/2013		Second Edition	Nolet		10870	F
Gray - Accounting for the Environment: Second Edition (Second Edition)	9781446220849	http://knowledge.sagepub.com/view/accounting-for-the-environment-2e/SAGE.xml	Gray	accounting-for-the-environment-2e				SAGE Publications Ltd	Monograph	25/07/2001	19/06/2012		Second Edition			229582	F
Banerjee-Guha - Accumulation by Dispossession: Transformative Cities in the New Global Order	9788132112303	http://knowledge.sagepub.com/view/accumulation-by-dispossession/SAGE.xml		accumulation-by-dispossession				SAGE India	Monograph	25/06/2010	20/12/2013			Banerjee-Guha			F
Glazzard - Achieving Outstanding on your Teaching Placement: Early Years and Primary School-based Training	9781446288474	http://knowledge.sagepub.com/view/achieving-outstanding-on-your-teaching-placement/SAGE.xml	Glazzard	achieving-outstanding-on-your-teaching-placement				SAGE Publications Ltd	Monograph	15/09/2011	26/12/2013						F
Cameron - Achieving Positive Outcomes for Children in Care	9781446288207	http://knowledge.sagepub.com/view/achieving-positive-outcomes-for-children-in-care/SAGE.xml	Cameron	achieving-positive-outcomes-for-children-in-care				SAGE Publications Ltd	Monograph	24/08/2009	26/12/2013						F
Callan - Achieving Success for New and Aspiring Superintendents: A Practical Guide	9781452219691	http://knowledge.sagepub.com/view/achieving-success/SAGE.xml	Callan	achieving-success				Corwin	Monograph	10/11/2010	19/06/2012						F
Middlewood - Achieving Success with your Leadership Project	9781446288788	http://knowledge.sagepub.com/view/achieving-success-with-your-leadership-project/SAGE.xml	Middlewood	achieving-success-with-your-leadership-project				SAGE Publications Ltd	Monograph	4/11/2011	26/12/2013						F
Brandtstadter - Action and Self-Development: Theory and Research Through the LifeSpan	9781452204802	http://knowledge.sagepub.com/view/action-and-self-development/SAGE.xml		action-and-self-development				"SAGE Publications, Inc"	Monograph	24/08/1999	19/06/2012			Brandtstadter			F
"James - Action Research for Business, Nonprofit, and Public Administration: A Tool for Complex Times"	9781483387468	http://knowledge.sagepub.com/view/action-research-for-business-nonprofit-and-public-administration/SAGE.xml	James	action-research-for-business-nonprofit-and-public-administration				"SAGE Publications, Inc"	Monograph	11/10/2011	19/12/2014						F
Koshy - Action Research in Healthcare	9781446288696	http://knowledge.sagepub.com/view/action-research-in-healthcare/SAGE.xml	Koshy	action-research-in-healthcare				SAGE Publications Ltd	Monograph	17/11/2010	26/12/2013						F
Williamson - Action Research in Nursing and Healthcare	9781446289112	http://knowledge.sagepub.com/view/action-research-in-nursing-and-healthcare/SAGE.xml	Williamson	action-research-in-nursing-and-healthcare				SAGE Publications Ltd	Monograph	10/11/2011	26/12/2013						F
Gittell - Activist Scholar: Selected Works of Marilyn Gittell	9781452243993	http://knowledge.sagepub.com/view/activist-scholar/SAGE.xml		activist-scholar				"SAGE Publications, Inc"	Monograph	18/03/2011	19/06/2012			Gittell			F
Mulryan - Acute Illness Management	9781446288825	http://knowledge.sagepub.com/view/acute-illness-management/SAGE.xml	Mulryan	acute-illness-management				SAGE Publications Ltd	Monograph	11/03/2011	26/12/2013						F
Harrison - Acute Mental Health Nursing: From Acute Concerns to the Capable Practitioner	9781446221211	http://knowledge.sagepub.com/view/acute-mental-health-nursing/SAGE.xml		acute-mental-health-nursing				SAGE Publications Ltd	Monograph	18/05/2004	19/06/2012			Harrison			F
Tag - Ad Critique: How to Deconstruct Ads in Order to Build Better Advertising	9781483387352	http://knowledge.sagepub.com/view/ad-critique/SAGE.xml	Tag	ad-critique				"SAGE Publications, Inc"	Monograph	14/12/2011	22/12/2014						F
Coombs - Addiction Recovery Tools: A Practical Handbook	9781452231778	http://knowledge.sagepub.com/view/addiction-recovery-tools/SAGE.xml	Coombs	addiction-recovery-tools				"SAGE Publications, Inc"	Monograph	12/09/2001	19/06/2012						F
Rasmussen - Addiction Treatment: Theory and Practice	9781452231877	http://knowledge.sagepub.com/view/addiction-treatment/SAGE.xml	Rasmussen	addiction-treatment				"SAGE Publications, Inc"	Monograph	21/06/2000	19/06/2012						F
Carter - Addressing Cultural Issues in Organizations: Beyond the Corporate Context	9781452231297	http://knowledge.sagepub.com/view/addressing-cultural-issues-in-organizations/SAGE.xml		addressing-cultural-issues-in-organizations				"SAGE Publications, Inc"	Monograph	15/12/1999	19/06/2012	1		Carter			F
Cann - Administrative Law (Fourth Edition)	9781483329147	http://knowledge.sagepub.com/view/administrative-law/SAGE.xml	Cann	administrative-law				"SAGE Publications, Inc"	Monograph	11/08/2005	20/12/2013		Fourth Edition			19197	F
"Montemayor - Adolescent Diversity in Ethnic, Economic, and Cultural Contexts"	9781452225647	http://knowledge.sagepub.com/view/adolescent-diversity-in-ethnic-economic-and-cultural-contexts/SAGE.xml		adolescent-diversity-in-ethnic-economic-and-cultural-contexts				"SAGE Publications, Inc"	Monograph	24/01/2000	19/06/2012	10		Montemayor			F
"Rew - Adolescent Health: A Multidisciplinary Approach to Theory, Research, and Intervention"	9781452233550	http://knowledge.sagepub.com/view/adolescent-health/SAGE.xml	Rew	adolescent-health				"SAGE Publications, Inc"	Monograph	3/08/2004	19/06/2012						F
"O'Neill - Adorno, Culture and Feminism"	9781446217122	http://knowledge.sagepub.com/view/adorno-culture-and-feminism/SAGE.xml		adorno-culture-and-feminism				SAGE Publications Ltd	Monograph	19/03/1999	19/06/2012			O'Neill			F
Feeney - Adult Attachment	9781452243276	http://knowledge.sagepub.com/view/adult-attachment/SAGE.xml	Feeney	adult-attachment				"SAGE Publications, Inc"	Monograph	24/06/1996	19/06/2012	14					F
Blieszner - Adult Friendship	9781483325675	http://knowledge.sagepub.com/view/adult-friendship/SAGE.xml	Blieszner	adult-friendship				"SAGE Publications, Inc"	Monograph	10/06/1992	20/12/2013	3					F
Wrightsman - Adult Personality Development: Volume 1: Theories and Concepts	9781452233796	http://knowledge.sagepub.com/view/adult-personality-development-vol1/SAGE.xml	Wrightsman	adult-personality-development-vol1				"SAGE Publications, Inc"	Monograph	15/03/1994	31/12/2012						F
Wrightsman - Adult Personality Development: Volume 2: Applications	9781452243191	http://knowledge.sagepub.com/view/adult-personality-development-vol2/SAGE.xml	Wrightsman	adult-personality-development-vol2				"SAGE Publications, Inc"	Monograph	15/03/1994	19/06/2012						F
Hunter - Adult Survivors of Sexual Abuse: Treatment Innovations	9781483345352	http://knowledge.sagepub.com/view/adult-survivors-of-sexual-abuse-treatment-innovations/SAGE.xml	Hunter	adult-survivors-of-sexual-abuse-treatment-innovations				"SAGE Publications, Inc"	Monograph	3/04/1995	20/12/2013						F
Brink - Advanced Design in Nursing Research	9781452204840	http://knowledge.sagepub.com/view/advanced-design-in-nursing-research-2e/SAGE.xml	Brink	advanced-design-in-nursing-research-2e				"SAGE Publications, Inc"	Monograph	2/12/1997	19/06/2012						F
Derezotes - Advanced Generalist Social Work Practice	9781452231907	http://knowledge.sagepub.com/view/advanced-generalist-social-work-practice/SAGE.xml	Derezotes	advanced-generalist-social-work-practice				"SAGE Publications, Inc"	Monograph	10/11/1999	19/06/2012						F
Helvie - Advanced Practice Nursing in the Community	9781483327990	http://knowledge.sagepub.com/view/advanced-practice-nursing-in-the-community/SAGE.xml	Helvie	advanced-practice-nursing-in-the-community				"SAGE Publications, Inc"	Monograph	9/10/1997	20/12/2013						F
"Srinivasan - Advances in Cognitive Science, Volume 2"	9788132107910	http://knowledge.sagepub.com/view/advances-in-cognitive-science/SAGE.xml		advances-in-cognitive-science				SAGE India	Monograph	28/04/2010	19/06/2012	2		Srinivasan			F
Wasserman - Advances in Social Network Analysis: Research in the Social and Behavioral Sciences	9781452243528	http://knowledge.sagepub.com/view/advances-in-social-network-analysis/SAGE.xml		advances-in-social-network-analysis				"SAGE Publications, Inc"	Monograph	27/07/1994	19/06/2012	171		Wasserman			F
White - Advancing Family Theories	9781452229744	http://knowledge.sagepub.com/view/advancing-family-theories/SAGE.xml	White	advancing-family-theories				"SAGE Publications, Inc"	Monograph	7/09/2004	19/06/2012						F
Downey - Advancing the Three-Minute Walk-Through: Mastering Reflective Practice	9781452219172	http://knowledge.sagepub.com/view/advancing-the-three-minute-walk-through/SAGE.xml		advancing-the-three-minute-walk-through				Corwin	Monograph	28/10/2009	19/06/2012			Downey			F
Logio - Adventures in Criminal Justice Research: Data Analysis Using SPSS 15.0 and 16.0 for Windows (Fourth Edition)	9781412990318	http://knowledge.sagepub.com/view/adventures-in-criminal-justice-research-4e/SAGE.xml	Logio	adventures-in-criminal-justice-research-4e				"SAGE Publications, Inc"	Monograph	22/02/2008	19/06/2012		Fourth Edition			225706	F
Hackley - Advertising and Promotion: Communicating Brands	9781446278789	http://knowledge.sagepub.com/view/advertising-and-promotion/SAGE.xml	Hackley	advertising-and-promotion				SAGE Publications Ltd	Monograph	26/01/2005	20/12/2013						F
"Nixon - Advertising Cultures: Gender, Commerce, Creativity"	9781446218839	http://knowledge.sagepub.com/view/advertising-cultures/SAGE.xml	Nixon	advertising-cultures				SAGE Publications Ltd	Monograph	25/02/2003	19/06/2012						F
Odih - Advertising in Modern and Postmodern Times	9781446215289	http://knowledge.sagepub.com/view/advertising-in-modern-and-postmodern-times/SAGE.xml	Odih	advertising-in-modern-and-postmodern-times				SAGE Publications Ltd	Monograph	30/04/2007	19/06/2012						F
Jones - Advertising Organizations and Publications: A Resource Guide	9781452220444	http://knowledge.sagepub.com/view/advertising-organizations-and-publications/SAGE.xml	Jones	advertising-organizations-and-publications				"SAGE Publications, Inc"	Monograph	25/02/2000	19/06/2012						F
Macklin - Advertising to Children: Concepts and Controversies	9781452225500	http://knowledge.sagepub.com/view/advertising-to-children/SAGE.xml		advertising-to-children				"SAGE Publications, Inc"	Monograph	16/07/1999	19/06/2012			Macklin			F
McFall - Advertising: A Cultural Economy	9781446215418	http://knowledge.sagepub.com/view/advertising/SAGE.xml	McFall	advertising				SAGE Publications Ltd	Monograph	18/02/2004	19/06/2012						F
Wetherell - Affect and Emotion: A New Social Science Understanding	9781446250945	http://knowledge.sagepub.com/view/affect-and-emotion/SAGE.xml	Wetherell	affect-and-emotion				SAGE Publications Ltd	Monograph	13/02/2012	14/11/2012						F
Chernin - Affirmative Psychotherapy and Counseling for Lesbians and Gay Men	9781452229157	http://knowledge.sagepub.com/view/affirmative-psychotherapy-and-counseling-for-lesbians-and-gay-men/SAGE.xml	Chernin	affirmative-psychotherapy-and-counseling-for-lesbians-and-gay-men				"SAGE Publications, Inc"	Monograph	22/10/2002	19/06/2012						F
Hill - African American Children: Socialization and Development in Families	9781452220666	http://knowledge.sagepub.com/view/african-american-children/SAGE.xml	Hill	african-american-children				"SAGE Publications, Inc"	Monograph	10/06/1999	19/06/2012	14					F
Hattery - African American Families	9781452225906	http://knowledge.sagepub.com/view/african-american-families/SAGE.xml	Hattery	african-american-families				"SAGE Publications, Inc"	Monograph	19/04/2007	1/08/2012						F
Hamlet - Afrocentric Visions: Studies in Culture and Communication	9781483328386	http://knowledge.sagepub.com/view/afrocentric-visions/SAGE.xml		afrocentric-visions				"SAGE Publications, Inc"	Monograph	14/09/1998	20/12/2013			Hamlet			F
