publication_title	online_identifier	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Wagner - Theorizing Modernity: Inescapability and Attainability in Social Theory	9781446217061	http://knowledge.sagepub.com/view/theorizing-modernity/SAGE.xml	Wagner	theorizing-modernity				SAGE Publications Ltd	Monograph	22/01/2001	19/06/2012						F
Strati - Theory and Method in Organization Studies: Paradigms and Choices	9781446219263	http://knowledge.sagepub.com/view/theory-and-method-in-organization-studies/SAGE.xml	Strati	theory-and-method-in-organization-studies				SAGE Publications Ltd	Monograph	25/05/2000	19/06/2012						F
Grimley - Theory and Practice of NLP Coaching: A Psychological Approach	9781473915251	http://knowledge.sagepub.com/view/theory-and-practice-of-nlp-coaching/SAGE.xml	Grimley	theory-and-practice-of-nlp-coaching				SAGE Publications Ltd	Monograph	18/12/2012	23/12/2014						F
Pawar - Theory Building for Hypothesis Specification in Organizational Studies	9788132108092	http://knowledge.sagepub.com/view/theory-building-for-hypothesis-specification-in-organizational-studies/SAGE.xml	Pawar	theory-building-for-hypothesis-specification-in-organizational-studies				SAGE India	Monograph	21/10/2009	19/06/2012						F
McGee - Theory in Social and Cultural Anthropology: An Encyclopedia	9781452276311	http://knowledge.sagepub.com/view/theory-in-social-and-cultural-anthropology/SAGE.xml		theory-in-social-and-cultural-anthropology				"SAGE Publications, Inc"	Monograph	28/08/2013	5/11/2013			McGee			F
Potter - Theory of Media Literacy: A Cognitive Approach	9781483328881	http://knowledge.sagepub.com/view/theory-of-media-literacy/SAGE.xml	Potter	theory-of-media-literacy				"SAGE Publications, Inc"	Monograph	29/04/2004	20/12/2013						F
Irving - Therapeutic Family Mediation: Helping Families Resolve Conflict	9781452231747	http://knowledge.sagepub.com/view/therapeutic-family-mediation/SAGE.xml	Irving	therapeutic-family-mediation				"SAGE Publications, Inc"	Monograph	12/06/2002	19/06/2012						F
Freshwater - Therapeutic Nursing: Improving Patient Care through Self-Awareness and Reflection	9781446220719	http://knowledge.sagepub.com/view/therapeutic-nursing/SAGE.xml		therapeutic-nursing				SAGE Publications Ltd	Monograph	10/09/2002	19/06/2012			Freshwater			F
Wickham - Therapeutic Work with Sexually Abused Children	9781446220474	http://knowledge.sagepub.com/view/therapeutic-work-with-sexually-abused-children/SAGE.xml	Wickham	therapeutic-work-with-sexually-abused-children				SAGE Publications Ltd	Monograph	8/03/2002	19/06/2012						F
Eldridge - Therapist Guide for Maintaining Change: Relapse Prevention for Adult Male Perpetrators of Child Sexual Abuse	9781483326948	http://knowledge.sagepub.com/view/therapist-guide-for-maintaining-change/SAGE.xml	Eldridge	therapist-guide-for-maintaining-change				"SAGE Publications, Inc"	Monograph	23/09/1997	20/12/2013						F
Bond - Therapists in Court: Providing Evidence and Supporting Witnesses	9781446279816	http://knowledge.sagepub.com/view/therapists-in-court/SAGE.xml	Bond	therapists-in-court				SAGE Publications Ltd	Monograph	6/10/2005	20/12/2013						F
