publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	notes	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status	field34
International Studies Review	1521-9488	1468-2486	1997-01-01	1	1	2020-12-31	21	1	https://brill.com/view/journals/aisr/aisr-overview.xml		aisr		fulltext			serial									now: Asian International Studies Review (ISSN: 2667-0836; 2021- )	10.1111/(ISSN)1468-2486	1521-9488	1468-2486					Current	
Southeast Asian Journal of Social Science	0303-8246	1568-5314	1973-01-01	1	1	2000-12-31	28	2	https://brill.com/view/journals/ajss/ajss-overview.xml		ajss		fulltext			serial									now: Asian Journal of Social Science (ISSN: 1568-4849, 2001- )		0303-8246	1568-5314					Current	
Asian Medicine	1573-420X	1573-4218	2005-01-01	1	1				https://brill.com/view/journals/asme/asme-overview.xml		asme		fulltext			serial											1573-420X	1573-4218					Current	
Asian Review of World Histories	2287-965X	2287-9811	2013-01-01	1	1				https://brill.com/view/journals/arwh/arwh-overview.xml		arwh		fulltext			serial									transfer in (2018): Institute of Academic Initiatives		2287-965X	2287-9811					Current	
Asiascape: Digital Asia	2214-2304	2214-2312	2014-01-01	1					https://brill.com/view/journals/dias/dias-overview.xml		dias		fulltext			serial											2214-2304	2214-2312					Current	
Austrian Review of International and European Law Online	1385-1306	1573-6512	1996-01-01	1	1				https://brill.com/view/journals/ario/ario-overview.xml		ario		fulltext			serial											1385-1306	1573-6512					Current	
Baltic Yearbook of International Law Online		2211-5897	2001-01-01	1	1				https://brill.com/view/journals/byio/byio-overview.xml		byio		fulltext			serial												2211-5897					Current	
Bamboo and Silk	2468-9238	2468-9246	2018-01-01	1	1				https://brill.com/view/journals/bsms/bsms-overview.xml		bsms		fulltext			serial											2468-9238	2468-9246					Current	
Bandung: Journal of the Global South	2590-0013	2198-3534	2015-01-01	2	1				https://brill.com/view/journals/bjgs/bjgs-overview.xml		bjgs		fulltext			serial									transfer in (2019): Springer		2590-0013	2198-3534					Current	
Behaviour	0005-7959	1568-539X	1948-01-01	1	1				https://brill.com/view/journals/beh/beh-overview.xml		beh		fulltext			serial											0005-7959	1568-539X					Current	
Beijing International Review of Education	2590-2547	2590-2539	2019-01-01	1	1				https://brill.com/view/journals/bire/bire-overview.xml		bire		fulltext			serial									new title 2019		2590-2547	2590-2539			2020-01-01		Current	
Berytus	0067-6195								https://brill.com/view/journals/bery/bery-overview.xml		bery		fulltext			serial									transfer in (2019); content not yet available		0067-6195				2020-01-01		Current	
Biblical Interpretation	0927-2569	1568-5152	1993-01-01	1	1				https://brill.com/view/journals/bi/bi-overview.xml		bi		fulltext			serial											0927-2569	1568-5152					Current	
Biblische Zeitschrift	0006-2014	2589-0468	2000-01-01	44	1				https://brill.com/view/journals/bz/bz-overview.xml		bz		fulltext			serial									transfer in (2018): Ferdinand Schöningh		0006-2014	2589-0468			2018-07-01		Current	
Biogenic Amines	0168-8561	1569-3910	2002-03-01	17	1	2005-12-31	19	4	https://brill.com/view/journals/bki/bki-overview.xml		bki		fulltext			serial									transferred to Society of Integrated Sciences: 2006		0168-8561	1569-3910					Current	
Bridging Humanities		2542-5099	2017-01-01	1	1				https://brill.com/view/journals/brhu/brhu-overview.xml		brhu		fulltext			serial									New:2017			2542-5099			2020-01-01		Current	
Brill Open Humanities		2352-7064	2014-10-01	1	1				https://brill.com/view/journals/boh/boh-overview.xml		boh		fulltext			serial									Open access			2352-7064					Current	
Brill Open Social Sciences - An International Journal		2352-7080	2015-01-01	1	1				https://brill.com/view/journals/bol/bol-overview.xml		bol		fulltext			serial									new: 2015: open access			2352-7080					Current	
Brill Research Perspectives in Ancient History	2542-5366	2542-5374	2018-01-01	1	1				https://brill.com/view/journals/rpah/rpah-overview.xml		rpah		fulltext			serial									new for 2018		2542-5366	2542-5374			2018-01-01		Current	
Brill Research Perspectives in Art and Law	2468-4295	2468-4309	2017-01-01	1					https://brill.com/view/journals/rpal/rpal-overview.xml		rpal		fulltext			serial									New for 2017		2468-4295	2468-4309			2017-08-01		Current	
Brill Research Perspectives in Biblical Interpretation	2405-7649	2405-7657	2016-01-01	1	1				https://brill.com/view/journals/rpbi/rpbi-overview.xml		rpbi		fulltext			serial									New for 2016		2405-7649	2405-7657			2016-09-01		Current	
Brill Research Perspectives in Classical Poetry	2589-2630	2589-2649							https://brill.com/view/journals/rpcp/rpcp-overview.xml		rpcp		fulltext			serial									new (2019); content not yet available		2589-2630	2589-2649			2020-01-01		Current	
Brill Research Perspectives in Comparative Discrimination Law	2452-2023	2452-2031	2017-01-01	1	1				https://brill.com/view/journals/rpcd/rpcd-overview.xml		rpcd		fulltext			serial									new for 2017; content starts with v. 1, no. 2		2452-2023	2452-2031			2018-07-01		Current	
Brill Research Perspectives in Critical Theory	2451-9510	2451-9529	2017-01-01	1					https://brill.com/view/journals/rpct/rpct-overview.xml		rpct		fulltext			serial									New for 2017		2451-9510	2451-9529			2017-08-01		Current	
Brill Research Perspectives in Environmental Law and Governance	2468-1830	2468-1849							https://brill.com/view/journals/rpdf/rpdf-overview.xml		rpdf		fulltext			serial									New for 2017 - content not yet available		2468-1830	2468-1849			2017-12-01		Current	
Brill Research Perspectives in Family Law in a Global Society	2405-8378	2405-8386	2016-01-01	1	1				https://brill.com/view/journals/rpfl/rpfl-overview.xml		rpfl		fulltext			serial									New for 2016		2405-8378	2405-8386			2016-09-01		Current	
Brill Research Perspectives in Global Youth	2590-3152	2590-3160	2020-01-01	1	1				https://brill.com/view/journals/rpgy/rpgy-overview.xml		rpgy		fulltext			serial									New (2020)		2590-3152	2590-3160			2020-01-01		Current	
Brill Research Perspectives in Governance and Public Policy in China	2451-9219	2451-9227	2016-01-01	1	1				https://brill.com/view/journals/rpgp/rpgp-overview.xml		rpgp		fulltext			serial									New for 2016		2451-9219	2451-9227			2016-06-01		Current	
Brill Research Perspectives in Greek History (14th-20th C.)	2542-7857	2542-7865							https://brill.com/view/journals/rpgh/rpgh-overview.xml		rpgh		fulltext			serial									New for 2018 - content not yet available		2542-7857	2542-7865			2019-12-01		Current	
Brill Research Perspectives in International Banking and Securities Law	2405-6928	2405-6936	2016-01-01	1	1				https://brill.com/view/journals/rpbs/rpbs-overview.xml		rpbs		fulltext			serial									New for 2016		2405-6928	2405-6936			2016-09-01		Current	
Brill Research Perspectives in International Investment Law and Arbitration	2405-576X	2405-5778	2017-01-01	1	1				https://brill.com/view/journals/rpia/rpia-overview.xml		rpia		fulltext			serial									New for 2016		2405-576X	2405-5778			2018-01-01		Current	
Brill Research Perspectives in International Legal Theory and Practice	2452-204X	2452-2058	2018-01-01	1	1				https://brill.com/view/journals/rplt/rplt-overview.xml		rplt		fulltext			serial									new for 2018		2452-204X	2452-2058			2018-01-01		Current	
