publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	notes	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status	field34
Fichte-Studien	0925-0166	1879-5811	2007-01-01	31	1				https://brill.com/view/journals/fis/fis-overview.xml		fis		fulltext			serial											0925-0166	1879-5811					Current	
Flavius Josephus Online			2015-01-01						http://referenceworks.brillonline.com/browse/flavius-josephus-online		54734		fulltext												Online Reference work								Current	
Frankokratia: A Journal for the Study of Greek Lands Under Latin Rule	2589-5923	2589-5931	2020-02-01	1	1				https://brill.com/view/journals/fra/fra-overview.xml		fra		fulltext			serial									New (2020)		2589-5923	2589-5931			2020-01-01		Current	
Frontiers of Business Research in China	1673-7326	1673-7431	2007-01-01	1	1	2014-12-31	8	4	https://brill.com/view/journals/fbrc/fbrc-overview.xml		fbrc		fulltext			serial									Transfer out (2015): Higher Education Press		1673-7326	1673-7431					Current	
Frontiers of Economics in China	1673-3444	1673-3568	2006-01-01	1	1	2014-12-31	9	4	https://brill.com/view/journals/fecc/fecc-overview.xml		fecc		fulltext			serial									transfer out (2015); transfer in (2017)		1673-3444	1673-3568					Current	
Frontiers of Education in China	1673-341X	1673-3533	2006-01-01	1	1	2016-12-31	11	2	https://brill.com/view/journals/fedc/fedc-overview.xml		fedc		fulltext			serial									transfer out (2017)		1673-341X	1673-3533					Current	
Frontiers of History in China	1673-3401	1673-3525	2006-01-01	1	1				https://brill.com/view/journals/fhic/fhic-overview.xml		fhic		fulltext			serial											1673-3401	1673-3525					Current	
Frontiers of Law in China	1673-3428	1673-3541	2011-01-01	6	3				https://brill.com/view/journals/flc/flc-overview.xml		flc		fulltext			serial									transfer in (2013):Springer		1673-3428	1673-3541					Current	
Frontiers of Literary Studies in China	1673-7318	1673-7423	2007-01-01	1	1				https://brill.com/view/journals/flsc/flsc-overview.xml		flsc		fulltext			serial											1673-7318	1673-7423					Current	
Frontiers of Medical and Biological Engineering	0921-3775	1568-5578	2000-03-01	10	1	2001-12-31	11	4	https://brill.com/view/journals/fmbe/fmbe-overview.xml		fmbe		fulltext			serial									ceased: 2002	ceased: 2002	0921-3775	1568-5578					Current	
Frontiers of Philosophy in China	1673-3436	1673-355X	2006-01-01	1	1				https://brill.com/view/journals/fphc/fphc-overview.xml		fphc		fulltext			serial											1673-3436	1673-355X					Current	
Gene Therapy and Regulation	1388-9532	1568-5586	2000-03-01	1	1	2003-12-31	2	4	https://brill.com/view/journals/gtr/gtr-overview.xml		gtr		fulltext			serial									transferred to World Scientific		1388-9532	1568-5586					Current	
Gesnerus	0016-9161	2297-7953	1943-01-01	1	1	2020-12-31	77		https://brill.com/view/journals/ges/ges-overview.xml		ges		fulltext			serial									now: European Journal for the History of Medicine and Health (ISSN: 2666-7703; 2021- )		0016-9161	2297-7953					Current	
Global Governance	1075-2846	1942-6720	1995-01-01	1	1				https://brill.com/view/journals/gg/gg-overview.xml		gg		fulltext			serial									transfer in (2018): Lynne Rienner Publishers		1075-2846	1942-6720			2019-01-01		Current	
Global Journal of Comparative Law	2211-9051	2211-906X	2012-01-01	1	1				https://brill.com/view/journals/gjcl/gjcl-overview.xml		gjcl		fulltext			serial											2211-9051	2211-906X					Current	
Global Responsibility to Protect	1875-9858	1875-984X	2009-02-01	1	1				https://brill.com/view/journals/gr2p/gr2p-overview.xml		6970		fulltext			serial											1875-9858	1875-984X					Current	
Gnosis: Journal of Gnostic Studies	2451-8581	2451-859X	2016-01-01	1	1-2				https://brill.com/view/journals/gnos/gnos-overview.xml		gnos		fulltext			serial									New for 2016		2451-8581	2451-859X			2016-09-01		Current	
Grazer Philosophische Studien	0165-9227	1875-6735	1975-01-01	1	1				https://brill.com/view/journals/gps/gps-overview.xml		gps		fulltext			serial									New for 2016		0165-9227	1875-6735			2016-05-01		Current	
Greek and Roman Musical Studies	2212-974X	2212-9758	2013-01-01	1	1				https://brill.com/view/journals/grms/grms-overview.xml		grms		fulltext			serial											2212-974X	2212-9758					Current	
Grotiana	0167-3831	1876-0759	1980-01-01	1	1				https://brill.com/view/journals/grot/grot-overview.xml		grot		fulltext			serial											0167-3831	1876-0759					Current	
Haematologia	0017-6559	1568-5594	2000-03-01	30	1	2002-09-30	32	3	https://brill.com/view/journals/haem/haem-overview.xml		haem		fulltext			serial									ceased: 2002		0017-6559	1568-5594					Current	
Hawwa	1569-2078	1569-2086	2003-03-01	1	1				https://brill.com/view/journals/haww/haww-overview.xml		haww		fulltext			serial											1569-2078	1569-2086					Current	
Helsinki Monitor	0925-0972	1571-814X	1990-01-01	1	1	2007-11-30	18	4	https://brill.com/view/journals/hels/hels-overview.xml		hels		fulltext			serial									now: Security and Human Rights 2008		0925-0972	1571-814X					Current	
Historical Materialism	1465-4466	1569-206X	1997-01-01	1	1				https://brill.com/view/journals/hima/hima-overview.xml		hima		fulltext			serial											1465-4466	1569-206X					Current	
Historiography East and West		1570-1867	2003-03-01	1	1	2004-11-30	2	2	https://brill.com/view/journals/hew/hew-overview.xml		hew		fulltext			serial									ceased: 2004			1570-1867					Current	
Philosophiegeschichte und Logische Analyse	1617-3473		1998-01-01	1	1	2019-12-31	22	1	https://brill.com/view/journals/hpla/hpla-overview.xml		hpla		fulltext			serial									now: History of Philosophy & Logical Analysis (ISSN: 2666-4283; 2020- )		1617-3473						Current	
Hobbes Studies	0921-5891	1875-0257	1988-01-01	1	1				https://brill.com/view/journals/hobs/hobs-overview.xml		hobs		fulltext			serial											0921-5891	1875-0257					Current	
Horizons in Biblical Theology	0195-9085	1871-2207	1979-01-01	1	1				https://brill.com/view/journals/hbth/hbth-overview.xml		hbth		fulltext			serial											0195-9085	1871-2207					Current	
Human Rights Case Digest	0965-934X	1571-8131	1999-01-01	10	1	2008-01-01	18	11-12	https://brill.com/view/journals/hudi/hudi-overview.xml		hudi		fulltext			serial									ceased: 2008		0965-934X	1571-8131					Current	
Human Rights Law in Africa Online	1385-3716	2211-6060	2004-01-01	1	1	2004-01-31	5	1	https://brill.com/view/journals/hrao/hrao-overview.xml		hrao		fulltext			serial									ceased: 2004		1385-3716	2211-6060					Current	
Human Rights in Development	1569-528X		1999-01-01	1	1	2003-01-31	9	1	https://brill.com/view/journals/hron/hron-overview.xml		hron		fulltext			serial									previously: Human Rights in Developing Countries		1569-528X						Current	
IAWA Journal	0928-1541	2294-1932	2000-01-01	21	1				https://brill.com/view/journals/iawa/iawa-overview.xml		iawa		fulltext			serial											0928-1541	2294-1932					Current	
Images	1871-7993	1871-8000	2007-10-01	1	1				https://brill.com/view/journals/ima/ima-overview.xml		ima		fulltext			serial											1871-7993	1871-8000					Current	
Implementation and Replication Studies in Mathematics Education	2667-0135	2667-0127	2021-01-01	1	1				https://brill.com/view/journals/irme/irme-overview.xml		irme		fulltext			serial									content not yet available		2667-0135	2667-0127			2025-01-01		Expected	
Index to the Study of Religions		1876-6641							https://bibliographies.brillonline.com/browse/index-to-the-study-of-religions		54735		fulltext												Bibliographies - Database			1876-6641					Current	
Indo-European Linguistics	2212-5884	2212-5892	2013-01-01	1					https://brill.com/view/journals/ieul/ieul-overview.xml		ieul		fulltext			serial									Open Access		2212-5884	2212-5892					Current	
Indo-Iranian Journal	0019-7246	1572-8536	1957-03-01	1	1				https://brill.com/view/journals/iij/iij-overview.xml		iij		fulltext			serial											0019-7246	1572-8536					Current	
Inflammopharmacology	0925-4692	1568-5608	2000-03-01	8	1	2005-10-31	13	5	https://brill.com/view/journals/iph/iph-overview.xml		iph		fulltext			serial									transferred to Springer		0925-4692	1568-5608					Current	
Inner Asia	1464-8172	2210-5018	1999-01-01	1	1				https://brill.com/view/journals/inas/inas-overview.xml		inas		fulltext			serial											1464-8172	2210-5018					Current	
Insect Systematics & Evolution	1399-560X	1876-312X	1970-01-01	1	1				https://brill.com/view/journals/ise/ise-overview.xml		ise		fulltext			serial											1399-560X	1876-312X					Current	
Intellectual History of the Islamicate World	2212-9421	2212-943X	2013-01-01	1	1				https://brill.com/view/journals/ihiw/ihiw-overview.xml		ihiw		fulltext			serial											2212-9421	2212-943X					Current	
Interdisciplinary Journal for Religion and Transformation in Contemporary Society	2365-3140	2364-2807							https://brill.com/view/journals/jrat/jrat-overview.xml		jrat		fulltext			serial									Open Access; transfer in (2019); content not yet available		2365-3140	2364-2807			2021-01-01		Current	
International Bibliography of Military History	0250-4308	2211-5757	1974-01-01	1	1	2015-12-31	35	2	https://brill.com/view/journals/ibmh/ibmh-overview.xml		ibmh		fulltext			serial									Now: International Journal of Military History and Historiography		0250-4308	2211-5757					Current	
International Community Law Review	1871-9740	1871-9732	2006-04-01	8	1				https://brill.com/view/journals/iclr/iclr-overview.xml		iclr		fulltext			serial											1871-9740	1871-9732					Current	
International Criminal Law Review	1567-536X	1571-8123	2001-01-01	1	1				https://brill.com/view/journals/icla/icla-overview.xml		icla		fulltext			serial											1567-536X	1571-8123					Current	
International Human Rights Law Review	2213-1027	2213-1035	2012-01-01	1	1				https://brill.com/view/journals/hrlr/hrlr-overview.xml		hrlr		fulltext			serial											2213-1027	2213-1035					Current	
International Journal for History, Culture and Modernity	2666-6529	2213-0624	2013-01-01	1	1				https://brill.com/view/journals/hcm/hcm-overview.xml		hcm		fulltext			serial											2666-6529	2213-0624					Current	
International Journal for the Study of Skepticism	2210-5697	2210-5700	2011-04-01	1	1				https://brill.com/view/journals/skep/skep-overview.xml		skep		fulltext			serial											2210-5697	2210-5700					Current	
International Journal of Asian Christianity	2542-4238	2542-4246	2018-01-01	1	1				https://brill.com/view/journals/ijac/ijac-overview.xml		ijac		fulltext			serial									New for 2018		2542-4238	2542-4246					Current	
International Journal of Chinese Education	2212-585X	2212-5868	2012-01-01	1	1				https://brill.com/view/journals/ijce/ijce-overview.xml		ijce		fulltext			serial											2212-585X	2212-5868					Current	
International Journal of Comparative Sociology	0020-7152	1745-2554	1960-01-01	1	1	2001-12-31	42	5	https://brill.com/view/journals/ijcs/ijcs-overview.xml		ijcs		fulltext			serial									now: Comparative Sociology		0020-7152	1745-2554					Current	
International Journal of Divination and Prognostication	2589-9198	2589-9201	2019-01-01	1	1				https://brill.com/view/journals/ijdp/ijdp-overview.xml		ijdp		fulltext			serial									New ( 2019)		2589-9198	2589-9201			2020-01-01		Current	
International Journal of Education and Religion	1389-9791	1570-0623	2002-06-01	3	1	2003-12-31	4	2	https://brill.com/view/journals/ijer/ijer-overview.xml		ijer		fulltext			serial									now: Journal of Empirical Theology		1389-9791	1570-0623					Current	
International Journal of Estuarine and Coastal Law	0268-0106	1875-2993	1986-01-01	1	1	1992-01-31	7	4	https://brill.com/view/journals/ijec/ijec-overview.xml		ijec		fulltext			serial									now: International Journal of Marine and Coastal Law		0268-0106	1875-2993					Current	
International Journal of Eurasian Linguistics	2589-8825	2589-8833	2019-01-01	1	1				https://brill.com/view/journals/jeal/jeal-overview.xml		jeal		fulltext			serial									new (2019)		2589-8825	2589-8833			2019-07-01		Current	
International Journal of Islam in Asia	2589-9988	2589-9996	2020-01-01	1	1				https://brill.com/view/journals/ijia/ijia-overview.xml		ijia		fulltext			serial									New(2020)		2589-9988	2589-9996			2020-01-01		Current	
International Journal of Jungian Studies	1940-9052	1940-9060	2009-01-01	1	1				https://brill.com/view/journals/ijjs/ijjs-overview.xml		ijjs		fulltext			serial									transfer in (2019): Taylor & Francis		1940-9052	1940-9060			2019-01-21		Current	
International Journal of Military History and Historiography	2468-3299	2468-3302	2016-01-01	36	1				https://brill.com/view/journals/ijmh/ijmh-overview.xml		ijmh		fulltext			serial									Previously: International Bibliography of Military History (1974-2015)		2468-3299	2468-3302					Current	
International Journal of Myriapodology	1875-2535	1875-2543	2008-06-01	1	1	2010-04-30	3	2	https://brill.com/view/journals/ijm/ijm-overview.xml		ijm		fulltext			serial									ceased: 2010. Open Access		1875-2535	1875-2543					Current	
International Journal of Parliamentary Studies	2666-8904	2666-8912	2021-01-01	1	1				https://brill.com/view/journals/parl/parl-overview.xml		parl		fulltext			serial									content not yet available		2666-8904	2666-8912			2025-01-01		Expected	
International Journal of Public Theology	1872-5171	1569-7320	2007-04-01	1	1				https://brill.com/view/journals/ijpt/ijpt-overview.xml		ijpt		fulltext			serial											1872-5171	1569-7320					Current	
International Journal of Taiwan Studies	2468-8797	2468-8800	2018-01-01	1	1				https://brill.com/view/journals/ijts/ijts-overview.xml		ijts		fulltext			serial									New for 2018		2468-8797	2468-8800			2018-01-01		Current	
International Journal on Minority and Group Rights	1385-4879	1571-8115	1993-01-01	1	1				https://brill.com/view/journals/ijgr/ijgr-overview.xml		ijgr		fulltext			serial											1385-4879	1571-8115					Current	
International Labor Rights Case Law	2405-688X	2405-6901	2015-01-01	1	1				https://brill.com/view/journals/ilrc/ilrc-overview.xml		ilrc		fulltext			serial											2405-688X	2405-6901					Current	
International Labour Law Reports Online	0168-6526	2211-6028	1974-01-01	1	1				https://brill.com/view/journals/illo/illo-overview.xml		illo		fulltext			serial											0168-6526	2211-6028					Current	
Non-State Actors and International Law	1567-7125	1571-8077	2001-01-01	1	1	2005-07-31	5	3	https://brill.com/view/journals/nail/nail-overview.xml		nail		fulltext			serial									now: International Community Law Review		1567-7125	1571-8077					Current	
International Negotiation	1382-340X	1571-8069	1996-01-01	1	1				https://brill.com/view/journals/iner/iner-overview.xml		iner		fulltext			serial											1382-340X	1571-8069					Current	
International Organizations Law Review	1572-3739	1572-3747	2004-01-01	1	1				https://brill.com/view/journals/iolr/iolr-overview.xml		iolr		fulltext			serial											1572-3739	1572-3747					Current	
International Review of Pragmatics	1877-3095	1877-3109	2009-01-01	1	1				https://brill.com/view/journals/irp/irp-overview.xml		irp		fulltext			serial											1877-3095	1877-3109					Current	
Iran and the Caucasus	1609-8498	1573-384X	1997-01-01	1	1				https://brill.com/view/journals/ic/ic-overview.xml		ic		fulltext			serial											1609-8498	1573-384X					Current	
Islamic Africa	2333-262X	2154-0993	2010-01-01	1	1				https://brill.com/view/journals/iafr/iafr-overview.xml		iafr		fulltext			serial											2333-262X	2154-0993					Current	
Islamic Law and Society	0928-9380	1568-5195	1994-01-01	1	1				https://brill.com/view/journals/ils/ils-overview.xml		ils		fulltext			serial											0928-9380	1568-5195					Current	
Israel Journal of Zoology	0021-2210	2304-7976	1963-04-01	12	1-4	2005-12-31	51	4	https://brill.com/view/journals/ijee/ijee-overview.xml		ijee		fulltext			serial									now: Israel Journal of Ecology & Evolution		0021-2210	2304-7976					Current	
Israel Journal of Plant Sciences	0792-9978	2223-8980	1969-01-01	18	4				https://brill.com/view/journals/ijps/ijps-overview.xml		ijps		fulltext			serial									Transfer in (2017):Taylor & Francis. content to be loaded - back volumes in process of digitization		0792-9978	2223-8980			2017-05-01		Current	
Journal for Continental Philosophy of Religion	2588-9605	2588-9613	2019-01-01	1	1				https://brill.com/view/journals/jcpr/jcpr-overview.xml		jcpr		fulltext			serial									new (2019)		2588-9605	2588-9613			2019-06-01		Current	
Journal for European Environmental & Planning Law	1613-7272	1876-0104	2004-01-01	1	1				https://brill.com/view/journals/jeep/jeep-overview.xml		jeep		fulltext			serial											1613-7272	1876-0104					Current	
Journal for the Study of Judaism in the Persian, Hellenistic, and Roman Period	0047-2212	1570-0631	1970-01-01	1	1				https://brill.com/view/journals/jsj/jsj-overview.xml		jsj		fulltext			serial											0047-2212	1570-0631					Current	
Journal for the Study of the Historical Jesus	1476-8690	1745-5197	2003-01-01	1	1				https://brill.com/view/journals/jshj/jshj-overview.xml		jshj		fulltext			serial											1476-8690	1745-5197					Current	
Journal of Abbasid Studies	2214-2363	2214-2371	2014-01-01	1	1				https://brill.com/view/journals/jas/jas-overview.xml		jas		fulltext			serial											2214-2363	2214-2371					Current	
Journal of African Archaeology	1612-1651	2191-5784	2003-01-01	1	1				https://brill.com/view/journals/jaa/jaa-overview.xml		jaa		fulltext			serial									New for 2017		1612-1651	2191-5784			2017-01-01		Current	
Journal of African Military History	2468-0958	2468-0966	2017-08-01	1	1				https://brill.com/view/journals/jamh/jamh-overview.xml		jamh		fulltext			serial									New for 2017		2468-0958	2468-0966			2017-08-01		Current	
Journal of American-East Asian Relations	1058-3947	1876-5610	1992-01-01	1	1				https://brill.com/view/journals/jaer/jaer-overview.xml		jaer		fulltext			serial											1058-3947	1876-5610					Current	
Journal of Ancient Judaism	1869-3296	2196-7954	2010-01-01	1	1				https://brill.com/view/journals/jaj/jaj-overview.xml		jaj		fulltext			serial											1869-3296	2196-7954					Current	
Journal of Ancient Near Eastern Religions	1569-2116	1569-2124	2001-01-01	1	1				https://brill.com/view/journals/jane/jane-overview.xml		jane		fulltext			serial											1569-2116	1569-2124					Current	
Journal of Applied Animal Ethics Research	2588-9559	2588-9567	2019-01-01	1	1				https://brill.com/view/journals/jaae/jaae-overview.xml		jaae		fulltext			serial									new (2019)		2588-9559	2588-9567			2019-06-01		Current	
Journal of Applied History	2589-5885	2589-5893							https://brill.com/view/journals/joah/joah-overview.xml		joah		fulltext			serial									new (2019); content not yet available		2589-5885	2589-5893			2020-01-01		Current	
Journal of Arabic Literature	0085-2376	1570-064X	1970-01-01	1	1				https://brill.com/view/journals/jal/jal-overview.xml		jal		fulltext			serial											0085-2376	1570-064X					Current	
Journal of Asian and African Studies	0021-9096	1745-2538	1966-01-01	1	1	2001-11-30	36	4	https://brill.com/view/journals/jaas/jaas-overview.xml		jaas		fulltext			serial									now: African and Asian Studies		0021-9096	1745-2538					Current	
Journal of Avant Garde Studies	2589-6369	2589-6377	2020-01-01	1	1				https://brill.com/view/journals/jags/jags-overview.xml		jags		fulltext			serial									New (2020)		2589-6369	2589-6377			2020-01-01		Current	
Journal of Bamboo and Rattan	0973-4449	1569-1594	2001-10-01	1	1	2005-12-31	4	4	https://brill.com/view/journals/jbr/jbr-overview.xml		jbr		fulltext			serial									transferred to Kerala Forestry Research Institute: 2006		0973-4449	1569-1594					Current	
Journal of Belarusian Studies	0075-4161	2052-6512	2020-01-01	10	1				https://brill.com/view/journals/bela/bela-overview.xml		bela		fulltext			serial									Transfer in (2019)		0075-4161	2052-6512			2020-01-01		Current	
Journal of Chan Buddhism	2589-7160	2589-7179							https://brill.com/view/journals/chbu/chbu-overview.xml		chbu		fulltext			serial									new (2019); content not yet available		2589-7160	2589-7179			2020-01-01		Current	
Journal of Chinese Humanities	2352-1333	2352-1341	2015-01-01	1	1				https://brill.com/view/journals/joch/joch-overview.xml		joch		fulltext			serial									Open Access; new: 2015		2352-1333	2352-1341					Current	
Journal of Chinese Military History	2212-7445	2212-7453	2012-01-01	1	1				https://brill.com/view/journals/jcmh/jcmh-overview.xml		jcmh		fulltext			serial											2212-7445	2212-7453					Current	
Journal of Chinese Overseas	1793-0391	1793-2548	2005-05-01	1	1				https://brill.com/view/journals/jco/jco-overview.xml		jco		fulltext			serial											1793-0391	1793-2548					Current	
Journal of Chinese Philosophy	0301-8121	1540-6253							https://brill.com/view/journals/jcph/jcph-overview.xml		jcph		fulltext			serial									content not yet available	10.1111/(ISSN)1540-6253	0301-8121	1540-6253			2025-01-01		Expected	
Journal of Cognition & Culture	1567-7095	1568-5373	2001-02-01	1	1				https://brill.com/view/journals/jocc/jocc-overview.xml		jocc		fulltext			serial											1567-7095	1568-5373					Current	
Journal of Critical Realism	1476-7430	1572-5138	2004-06-01	3	1	2006-09-30	5	2	https://brill.com/view/journals/jcr/jcr-overview.xml		jcr		fulltext			serial									transferred to equinox		1476-7430	1572-5138					Current	
Journal of Developing Societies	0169-796X	1745-2546	2000-01-01	16	1	2001-09-30	17	2	https://brill.com/view/journals/jds/jds-overview.xml		jds		fulltext			serial									now: Perspectives on Global Development and Technology 2002-		0169-796X	1745-2546					Current	
Journal of Disability Studies in Education	2588-879X	2588-8803							https://brill.com/view/journals/jdse/jdse-overview.xml		jdse		fulltext			serial									New for 2018 - content not yet available		2588-879X	2588-8803			2019-12-01		Current	
Journal of Early American History	1877-0223	1877-0703	2011-03-01	1	1				https://brill.com/view/journals/jeah/jeah-overview.xml		jeah		fulltext			serial											1877-0223	1877-0703					Current	
Journal of Early Modern History	1385-3783	1570-0658	1997-01-01	1	1				https://brill.com/view/journals/jemh/jemh-overview.xml		jemh		fulltext			serial											1385-3783	1570-0658					Current	
Journal of East Asian Archaeology	1387-6813	1568-5233	2000-01-01	2	1	2003-01-31	5	1	https://brill.com/view/journals/jeaa/jeaa-overview.xml		jeaa		fulltext			serial									ceased: 2003		1387-6813	1568-5233					Current	
Journal of Egyptian History	1874-1657	1874-1665	2008-03-01	1	1				https://brill.com/view/journals/jeh/jeh-overview.xml		jeh		fulltext			serial											1874-1657	1874-1665					Current	
Journal of Empirical Theology	0922-2936	1570-9256	1988-01-01	1	1				https://brill.com/view/journals/jet/jet-overview.xml		jet		fulltext			serial									absorbed: International Journal of Education and Religion		0922-2936	1570-9256					Current	
Journal of Global Slavery	2405-8351	2405-836X	2016-01-01	1	1				https://brill.com/view/journals/jgs/jgs-overview.xml		jgs		fulltext			serial									New for 2016		2405-8351	2405-836X			2016-02-01		Current	
Journal of Greek Linguistics	1566-5844	1569-9846	2000-03-01	1	1				https://brill.com/view/journals/jgl/jgl-overview.xml		jgl		fulltext			serial									Open Access		1566-5844	1569-9846					Current	
Journal of International Humanitarian Legal Studies	1878-1373	1878-1527	2010-10-01	1	1				https://brill.com/view/journals/ihls/ihls-overview.xml		ihls		fulltext			serial											1878-1373	1878-1527					Current	
Journal of International Peacekeeping	1875-4104	1875-4112	1994-01-01	1	1				https://brill.com/view/journals/joup/joup-overview.xml		joup		fulltext			serial											1875-4104	1875-4112					Current	
Journal of Islamic Ethics	2468-5534	2468-5542	2017-01-01	1	1-2				https://brill.com/view/journals/jie/jie-overview.xml		jie		fulltext			serial									New for 2017. Open Access		2468-5534	2468-5542			2017-08-01		Current	
Journal of Islamic Manuscripts	1878-4631	1878-464X	2010-01-01	1	1				https://brill.com/view/journals/jim/jim-overview.xml		jim		fulltext			serial											1878-4631	1878-464X					Current	
Journal of Japonism	2405-4984	2405-4992	2016-01-01	1	1				https://brill.com/view/journals/joj/joj-overview.xml		joj		fulltext			serial									New for 2016		2405-4984	2405-4992			2016-02-01		Current	
Journal of Jesuit Studies	2214-1324	2214-1332	2014-01-01	1	1				https://brill.com/view/journals/jjs/jjs-overview.xml		jjs		fulltext			serial									Open Access		2214-1324	2214-1332					Current	
Journal of Jewish Languages	2213-4387	2213-4638	2013-01-01	1	1				https://brill.com/view/journals/jjl/jjl-overview.xml		jjl		fulltext			serial											2213-4387	2213-4638					Current	
Journal of Language Contact	1877-4091	1955-2629	2007-06-01	1	1				https://brill.com/view/journals/jlc/jlc-overview.xml		jlc		fulltext			serial									Open Access from 2007, Vol 1 Issue 1 - 2010 Vol 3 issue 2		1877-4091	1955-2629					Current	
Journal of Law, Religion and State	2212-6465	2212-4810	2012-01-01	1	1				https://brill.com/view/journals/jlrs/jlrs-overview.xml		jlrs		fulltext			serial											2212-6465	2212-4810					Current	
Journal of Material Cultures in the Muslim World	2666-6278	2666-6286	2020-01-01	1	1				https://brill.com/view/journals/mcmw/mcmw-overview.xml		mcmw		fulltext			serial									Open Access; content not yet available		2666-6278	2666-6286			2025-01-01		Expected	
Journal of Micromechatronics	1389-2258	1568-5632	2000-09-01	1	1	2006-09-30	3	3	https://brill.com/view/journals/jmm/jmm-overview.xml		jmm		fulltext			serial									ceased: 2006		1389-2258	1568-5632					Current	
Journal of Migration History	2351-9916	2351-9924	2015-01-01	1	1				https://brill.com/view/journals/jmh/jmh-overview.xml		jmh		fulltext			serial									new: 2015		2351-9916	2351-9924					Current	
Journal of Modern Russian History and Historiography	1947-9956	2210-2388	2008-01-01	1	1				https://brill.com/view/journals/jmrh/jmrh-overview.xml		jmrh		fulltext			serial											1947-9956	2210-2388					Current	
Journal of Moral Philosophy	1740-4681	1745-5243	2004-04-01	1	1				https://brill.com/view/journals/jmp/jmp-overview.xml		jmp		fulltext			serial											1740-4681	1745-5243					Current	
Journal of Muslims in Europe	2211-792X	2211-7954	2012-01-01	1	1				https://brill.com/view/journals/jome/jome-overview.xml		jome		fulltext			serial											2211-792X	2211-7954					Current	
Journal of Pentecostal Theology	0966-7369	1745-5251	1992-10-01	1	1				https://brill.com/view/journals/pent/pent-overview.xml		pent		fulltext			serial											0966-7369	1745-5251					Current	
Journal of Persianate Studies	1874-7094	1874-7167	2008-06-01	1	1				https://brill.com/view/journals/jps/jps-overview.xml		jps		fulltext			serial											1874-7094	1874-7167					Current	
Journal of Phenomenological Psychology	0047-2662	1569-1624	1970-01-01	1	1				https://brill.com/view/journals/jpp/jpp-overview.xml		jpp		fulltext			serial											0047-2662	1569-1624					Current	
Journal of Reformed Theology	1872-5163	1569-7312	2007-03-01	1	1				https://brill.com/view/journals/jrt/jrt-overview.xml		jrt		fulltext			serial											1872-5163	1569-7312					Current	
Journal of Religion and Demography	2589-7411	2589-742X	2019-01-01	6	1				https://brill.com/view/journals/jrd/jrd-overview.xml		jrd		fulltext			serial									transfer in (2019)		2589-7411	2589-742X			2019-06-01		Current	
Journal of Religion in Africa	0022-4200	1570-0666	1967-01-01	1	1				https://brill.com/view/journals/jra/jra-overview.xml		jra		fulltext			serial											0022-4200	1570-0666					Current	
Journal of Religion in Europe	1874-8910	1874-8929	2008-03-01	1	1				https://brill.com/view/journals/jre/jre-overview.xml		jre		fulltext			serial											1874-8910	1874-8929					Current	
Journal of Religion in Japan	2211-8330	2211-8349	2012-01-01	1	1				https://brill.com/view/journals/jrj/jrj-overview.xml		jrj		fulltext			serial											2211-8330	2211-8349					Current	
Journal of Religion, Media and Digital Culture	2588-8099	2165-9214	2012-01-01	1	1				https://brill.com/view/journals/rmdc/rmdc-overview.xml		rmdc		fulltext			serial									transfer in (2018): Dr. Joseph Duggan and Dr. Tim Hutchins		2588-8099	2165-9214					Current	
Journal of Sindhi Studies		2667-0925	2021-01-01	1	1				https://brill.com/view/journals/joss/joss-overview.xml		joss		fulltext			serial									content not yet available			2667-0925			2025-01-01		Expected	
Journal of Sufi Studies	2210-5948	2210-5956	2012-01-01	1	1				https://brill.com/view/journals/jss/jss-overview.xml		jss		fulltext			serial											2210-5948	2210-5956					Current	
Journal of Urdu Studies	2665-9042	2665-9050	2020-01-01	1	1				https://brill.com/view/journals/urds/urds-overview.xml		urds		fulltext			serial									New ( 2020)		2665-9042	2665-9050			2020-01-01		Current	
Journal of World Investment and Trade	1660-7112	2211-9000	2000-01-01	1	1				https://brill.com/view/journals/jwit/jwit-overview.xml		jwit		fulltext			serial											1660-7112	2211-9000					Current	
Journal of World Literature	2405-6472	2405-6480	2016-01-01	1	1				https://brill.com/view/journals/jwl/jwl-overview.xml		jwl		fulltext			serial									New for 2016		2405-6472	2405-6480			2016-02-01		Current	
Journal of Youth and Theology	1741-0819	2405-5093	2002-01-01	1	1				https://brill.com/view/journals/jyt/jyt-overview.xml		jyt		fulltext			serial											1741-0819	2405-5093					Current	
Journal of the Economic and Social History of the Orient	0022-4995	1568-5209	1957-01-01	1	1				https://brill.com/view/journals/jesh/jesh-overview.xml		jesh		fulltext			serial											0022-4995	1568-5209					Current	
Journal of the History of International Law / Revue d'histoire du droit international	1388-199X	1571-8050	1999-01-01	1	1				https://brill.com/view/journals/jhil/jhil-overview.xml		jhil		fulltext			serial											1388-199X	1571-8050					Current	
Journal of the History of Women Philosophers and Scientists	2666-3171	2666-318X	2020-01-01	1	1				https://brill.com/view/journals/jwhp/jwhp-overview.xml		jwhp		fulltext			serial									New (2020)		2666-3171	2666-318X			2020-01-01		Current	
