publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	notes	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status	field34
A.I.O.N. Annali dell'Istituto Universitario Orientale di Napoli. Sezione filologico-letteraria	1128-7209	1724-6172	2018-01-01	40	1				https://brill.com/view/journals/aion/aion-overview.xml		57264		fulltext			serial									transfer in (2018): Fabrizio Serra Editore		1128-7209	1724-6172					Current	
Abgadiyat	1687-8280	2213-8609	2006-01-01	1	1				https://brill.com/view/journals/abga/abga-overview.xml		16451		fulltext			serial											1687-8280	2213-8609					Current	
African Diaspora	1872-5457	1872-5465	2008-11-01	1	1				https://brill.com/view/journals/afdi/afdi-overview.xml		100		fulltext			serial									Partially Open Access		1872-5457	1872-5465					Current	
African Journal of Legal Studies	2210-9730	1708-7384	2004-05-01	1	1				https://brill.com/view/journals/ajls/ajls-overview.xml		6923		fulltext			serial											2210-9730	1708-7384					Current	
African Yearbook of International Law Online	1380-7412	2211-6176	1993-01-01	1	1				https://brill.com/view/journals/afyo/afyo-overview.xml		6924		fulltext			serial											1380-7412	2211-6176					Current	
African and Asian Studies	1569-2094	1569-2108	2002-01-01	1	1				https://brill.com/view/journals/aas/aas-overview.xml		6922		fulltext			serial									previously: Journal of Asian and African Studies		1569-2094	1569-2108					Current	
Afrika Focus	0772-084X	2031-356X							https://brill.com/view/journals/afoc/afoc-overview.xml		58075		fulltext			serial									content not yet available		0772-084X	2031-356X			2025-01-01		Expected	
Al-Bayan: Journal of Qur’an and Hadith Studies	2232-1950	2232-1969	2011-01-01	9	1				https://brill.com/view/journals/jqhs/jqhs-overview.xml		27628		fulltext			serial									new: 2014		2232-1950	2232-1969					Current	
Al-abhath	0002-3973	2589-997X							https://brill.com/view/journals/alab/alab-overview.xml		55742		fulltext			serial									transfer in (2019): content not yet available		0002-3973	2589-997X			2019-12-01		Current	
Amphibia-Reptilia	0173-5373	1568-5381	1980-01-01	1	1				https://brill.com/view/journals/amre/amre-overview.xml		6925		fulltext			serial											0173-5373	1568-5381					Current	
