"publication_title"	"print_identifier"	"online_identifier"	"date_first_issue_online"	"num_first_vol_online"	"num_first_issue_online"	"date_last_issue_online"	"num_last_vol_online"	"num_last_issue_online"	"title_url"	"first_author"	"title_id"	"embargo_info"	"coverage_depth"	"notes"	"publisher_name"	"publication_type"	"date_monograph_published_print"	"date_monograph_published_online"	"monograph_volume"	"monograph_edition"	"first_editor"	"parent_publication_title_id"	"preceding_publication_title_id"	"access_type"
"Les cahiers du CEDREF"	"1146-6472"	"2107-0733"	"1995"	"4"	""	""	""	""	"http://journals.openedition.org/cedref"	""	"cedref"	""	"fulltext"	"Full access to the HTML version of the content. Access to PDF and Epub reserved to subscribing institutions."	"Université de Paris"	"serial"	""	""	""	""	""	""	""	"F"
"Les carnets du Cediscor"	"1242-8345"	"2108-6605"	"1993"	"1"	""	""	""	""	"http://journals.openedition.org/cediscor"	""	"cediscor"	""	"fulltext"	""	"Presses Sorbonne Nouvelle"	"serial"	""	""	""	""	""	""	""	"F"
"Les dossiers des sciences de l’éducation"	"1296-2104"	"2272-9968"	"2010"	"24"	""	""	""	""	"http://journals.openedition.org/dse"	""	"dse"	""	"fulltext"	"Full access to the HTML version of the content. Access to PDF and Epub reserved to subscribing institutions."	"Presses universitaires du Midi"	"serial"	""	""	""	""	""	""	""	"F"
"Les nouvelles de l'archéologie"	"0242-7702"	"2425-1941"	"2007"	"107"	""	""	""	""	"http://journals.openedition.org/nda"	""	"nda"	""	"fulltext"	"Full access to the HTML version of the content. Access to PDF and Epub reserved to subscribing institutions."	"​Editions de la maison des sciences de l'homme"	"serial"	""	""	""	""	""	""	""	"F"
"Lexis"	""	"1951-6215"	"2008"	"1"	""	""	""	""	"http://journals.openedition.org/lexis"	""	"lexis"	""	"fulltext"	"suppl. H.S. 1, 2009 – 2, 2010"	"Université Jean Moulin - Lyon 3"	"serial"	""	""	""	""	""	""	""	"F"
"Liame"	"1291-7206"	"2264-623X"	"2011"	"23"	""	""	""	""	"http://journals.openedition.org/liame"	""	"liame"	""	"fulltext"	""	"CRISES - Centre de Recherches Interdisciplinaires en Sciences Humaines et Sociales de Montpellier"	"serial"	""	""	""	""	""	""	""	"F"
"Lidil"	"1146-6480"	"1960-6052"	"2003"	"28"	""	""	""	""	"http://journals.openedition.org/lidil"	""	"lidil"	""	"fulltext"	""	"UGA Éditions/Université Grenoble Alpes"	"serial"	""	""	""	""	""	""	""	"F"
"Linx"	"0246-8743"	"2118-9692"	"1998"	"38"	""	""	""	""	"http://journals.openedition.org/linx"	""	"linx"	""	"fulltext"	"suppl. H.S. 5, 1994 ; 7, 1995 – 13, 2020"	"Presses universitaires de Paris Nanterre"	"serial"	""	""	""	""	""	""	""	"F"
"Littératures"	"0563-9751"	"2273-0311"	"2009"	"61"	""	""	""	""	"http://journals.openedition.org/litteratures"	""	"litteratures"	""	"fulltext"	"Full access to the HTML version of the content. Access to PDF and Epub reserved to subscribing institutions."	"Presses universitaires du Midi"	"serial"	""	""	""	""	""	""	""	"F"
"Livraisons d’histoire de l’architecture"	"1627-4970"	"1960-5994"	"2007"	"13"	""	"2020"	"40"	""	"http://journals.openedition.org/lha"	""	"lha"	""	"fulltext"	""	"Association Livraisons d’histoire de l’architecture - LHA"	"serial"	""	""	""	""	""	""	""	"F"
"Lusotopie"	"1257-0273"	"1768-3084"	"2005"	"12"	"1"	""	""	""	"http://journals.openedition.org/lusotopie"	""	"lusotopie"	""	"fulltext"	"suppl. 2, 1995"	"Idemec - UMR 7307"	"serial"	""	""	""	""	""	""	""	"F"
"L’Année du Maghreb"	"1952-8108"	"2109-9405"	"2004"	"1"	""	""	""	""	"http://journals.openedition.org/anneemaghreb"	""	"anneemaghreb"	""	"fulltext"	"Full access to the HTML version of the content. Access to PDF and Epub reserved to subscribing institutions."	"CNRS Éditions"	"serial"	""	""	""	""	""	""	""	"F"
"L’Atelier du Centre de recherches historiques"	""	"1760-7914"	"2008"	"1"	""	""	""	""	"http://journals.openedition.org/acrh"	""	"acrh"	""	"fulltext"	"suppl. 19 bis, 21 bis | Full access to the HTML version of the content. Access to PDF and Epub reserved to subscribing institutions."	"Centre de recherches historiques - EHESS"	"serial"	""	""	""	""	""	""	""	"F"
"L’Espace Politique"	""	"1958-5500"	"2007"	"1"	"1"	""	""	""	"http://journals.openedition.org/espacepolitique"	""	"espacepolitique"	""	"fulltext"	"Full access to the HTML version of the content. Access to PDF and Epub reserved to subscribing institutions."	"Université de Reims Champagne-Ardenne"	"serial"	""	""	""	""	""	""	""	"F"
"L’Homme"	"0439-4216"	"1953-8103"	"2000"	"153"	""	"2018"	"226"	""	"http://journals.openedition.org/lhomme"	""	"lhomme"	""	"fulltext"	""	"Éditions de l’EHESS"	"serial"	""	""	""	""	""	""	""	"F"
"L’Ordinaire des Amériques"	""	"2273-0095"	"2007"	"207"	""	""	""	""	"http://journals.openedition.org/orda"	""	"orda"	""	"fulltext"	"Première série ORLA : 207, 2007 – 214, 2010 ; Nouvelle série : 215, 2013–… | Full access to the HTML version of the content. Access to PDF and Epub reserved to subscribing institutions."	"IPEAT, Université Toulouse - Jean Jaurès"	"serial"	""	""	""	""	""	""	""	"F"
"L’Orientation scolaire et professionnelle"	"0249-6739"	"2104-3795"	"2000"	"29"	"2"	"2018"	"47"	"4"	"http://journals.openedition.org/osp"	""	"osp"	""	"fulltext"	""	"Institut national d’étude du travail et d’orientation professionnelle (INETOP)"	"serial"	""	""	""	""	""	""	""	"F"
"L’Âge d’or"	""	"2104-3353"	"2008"	"1"	""	""	""	""	"http://journals.openedition.org/agedor"	""	"agedor"	""	"fulltext"	""	"Laboratoire LISAA"	"serial"	""	""	""	""	""	""	""	"F"
"MIDAS"	""	"2182-9543"	"2013"	"1"	""	""	""	""	"http://journals.openedition.org/midas"	""	"midas"	""	"fulltext"	""	"Alice Semedo, Paulo Simões Rodrigues, Pedro Casaleiro, Raquel Henriques da Silva, Ana Carvalho"	"serial"	""	""	""	""	""	""	""	"F"
"Mandenkan"	"0752-5443"	"2104-371X"	"2013"	"49"	""	""	""	""	"http://journals.openedition.org/mandenkan"	""	"mandenkan"	""	"fulltext"	""	"Llacan  UMR 8135 CNRS/Inalco"	"serial"	""	""	""	""	""	""	""	"F"
"Mappemonde"	"0764-3470"	"1769-7298"	"2017"	"119"	""	""	""	""	"http://journals.openedition.org/mappemonde"	""	"mappemonde"	""	"fulltext"	""	"UMR ESPACE"	"serial"	""	""	""	""	""	""	""	"F"
