publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	pkb-piddomain
1895. Mille huit cent quatre-vingt-quinze	0769-0959	1960-6176	2000	31		2012	68		http://1895.revues.org		1895	P36M	fulltext		Association française de recherche sur l’histoire du cinéma (AFRHC)	serial							1895.revues.org
Anuário Antropológico	0102-4302	2357-738X	2012	1		2014	1		http://aa.revues.org		aa		fulltext		Programa de Pós-Graduação em Antropologia Social (UnB)	serial							aa.revues.org
Afrique : Archéologie et Arts	1634-3123	2431-2045	2010	6		2015	11		http://aaa.revues.org		aaa		fulltext		CNRS - UMR 7041 (Archéologie et Sciences de l'Antiquité - ArScAn)	serial							aaa.revues.org
Argumentation et analyse du discours		1565-8961	2008	1		2016	16		http://aad.revues.org		aad		fulltext		Université de Tel-Aviv	serial							aad.revues.org
ABE Journal		2275-6639	2012	1		2015	7		http://abe.revues.org		abe		fulltext		Institut national d'histoire de l'art	serial							abe.revues.org
Annales de Bretagne et des pays de l’Ouest	0399-0826	2108-6443	2001	108	2	2012	119	4	http://abpo.revues.org		abpo	P36M	fulltext		Presses universitaires de Rennes	serial							abpo.revues.org
Abstracta Iranica	0240-8910	1961-960X	1999	22		2008	31		http://abstractairanica.revues.org		abstractairanica		fulltext		Éditions de l’IFRI, CNRS (UMR 7528 Mondes iraniens et indiens)	serial							abstractairanica.revues.org
Les Carnets de l’ACoSt		2431-8574	2014	11		2015	13		http://acost.revues.org		acost		fulltext		ACoSt - Association for Coroplastic Studies	serial							acost.revues.org
L’Atelier du Centre de recherches historiques		1760-7914	2008	1		2015	15		http://acrh.revues.org		acrh		fulltext		Centre de recherches historiques - EHESS	serial							acrh.revues.org
Activités		1765-2723	2004	1	1	2016	13	1	http://activites.revues.org		activites		fulltext		ARPACT - Association Recherches et Pratiques sur les ACTivités	serial							activites.revues.org
ADLFI. Archéologie de la France - Informations		2114-0502	2001			2015			http://adlfi.revues.org		adlfi		fulltext	Autres n° : 1997. Manquent : 2003, 2011, 2012, 2013	Ministère de la culture	serial							adlfi.revues.org
Arts et Savoirs		2258-093X	2012	1		2015	5		http://aes.revues.org		aes		fulltext		Laboratoire LISAA	serial							aes.revues.org
Bulletin de l’AFAS	1246-7529	2109-9537	1998	10		2015	41		http://afas.revues.org		afas		fulltext		Association française des détenteurs de documents sonores et audiovisuels	serial							afas.revues.org
