publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	pkb-piddomain
Journal des africanistes	0399-0346	1957-7850	2004	74	1	2010	80	2	http://africanistes.revues.org		africanistes		fulltext		Société des africanistes	serial							africanistes.revues.org
Afriques		2108-6796	2010	1		2015	6		http://afriques.revues.org		afriques		fulltext		Institut des mondes africains (IMAF)	serial							afriques.revues.org
Annales historiques de la Révolution française	0003-4436	1952-403X	1999	317		2012	370		http://ahrf.revues.org		ahrf	P36M	fulltext		Armand Colin, Société des études robespierristes	serial							ahrf.revues.org
Acquisition et interaction en langue étrangère	1243-969X	1778-7432	1992	1		2009	27		http://aile.revues.org		aile	P36M	fulltext	vol.1, 1992 - vol.28, 2008; nouvelle numérotation vol.1, 2009 - vol.2, 2009	Association Encrages	serial							aile.revues.org
Aitia. Regards sur la culture hellénistique au XXIe siècle		1775-4275	2011	1		2015	5		http://aitia.revues.org		aitia		fulltext		ENS Éditions	serial							aitia.revues.org
Aldébaran		2258-2738	2007			2014			http://aldebaran.revues.org		aldebaran		fulltext		CNRS - USR 3125	serial							aldebaran.revues.org
Amérique latine histoire et mémoire	1628-6731	1777-5175	2000	1		2015	30		http://alhim.revues.org		alhim		fulltext		Université Paris VIII	serial							alhim.revues.org
Revue d’Alsace	0181-0448	2260-2941	2006	132		2012	138		http://alsace.revues.org		alsace	P36M	fulltext		Fédération des Sociétés d'Histoire et d'Archéologie d'Alsace	serial							alsace.revues.org
Alsic		1286-4986	1998	1	1	2015	18	2	http://alsic.revues.org		alsic		fulltext		Adalsic	serial							alsic.revues.org
Anthropology + Materialism		2364-0480	2013	1		2014	2		http://am.revues.org		am		fulltext		CETCOPRA - Centre d'Études des Techniques   des Connaissances et des Pratiques, CRASSH - Center for Research in the Arts  Social Sciences and Humanities, Fakultät Gestaltung - Universität der Künste Berlin	serial							am.revues.org
Bulletin Amades	1257-0222	2102-5975	2001	45		2013	87		http://amades.revues.org		amades	P12M	fulltext		Association Amades	serial							amades.revues.org
Ambiances		2266-839X	2013			2015			http://ambiances.revues.org		ambiances		fulltext		UMR 1563 - Ambiances Architecturales et Urbaines, Direction Générale des Patrimoines - DAPA - MCC	serial							ambiances.revues.org
América	0982-9237	2427-9048	2011	40		2015	47		http://america.revues.org		america		fulltext		Presses Sorbonne Nouvelle	serial							america.revues.org
Amerika		2107-0806	2010	1		2015	13		http://amerika.revues.org		amerika		fulltext		LIRA-Université de Rennes 2	serial							amerika.revues.org
Amnis		1764-7193	2001	1		2015	14		http://amnis.revues.org		amnis		fulltext	H.S. n°1, 2004 ; n°2, 2011. Journées d'études : 2013. N° spécial : 2015	TELEMME - UMR 6570	serial							amnis.revues.org
Anabases	1774-4296	2256-9421	2005	1		2012	16		http://anabases.revues.org		anabases	P36M	fulltext		E.R.A.S.M.E.	serial							anabases.revues.org
Anglophonia	1278-3331	2427-0466	2010	14		2015	20		http://anglophonia.revues.org		anglophonia		fulltext		Presses universitaires du Midi	serial							anglophonia.revues.org
L’Année du Maghreb	1952-8108	2109-9405	2004	1		2015	13		http://anneemaghreb.revues.org		anneemaghreb		fulltext		CNRS Éditions	serial							anneemaghreb.revues.org
Annuaire du Collège de France	0069-5580	2109-9227	2008	108		2014	113		http://annuaire-cdf.revues.org		annuaire-cdf		fulltext	manque 110	Collège de France	serial							annuaire-cdf.revues.org
Annuaire de l'EHESS	0398-2025	2431-8698	2002			2013			http://annuaire-ehess.revues.org		annuaire-ehess		fulltext		EHESS - École des hautes études en sciences sociales	serial							annuaire-ehess.revues.org
Anthropologie & Santé		2111-5028	2010	1		2015	11		http://anthropologiesante.revues.org		anthropologiesante		fulltext		Association Amades	serial							anthropologiesante.revues.org
Anthrovision		2198-6754	2013	1	1	2015	3	1	http://anthrovision.revues.org		anthrovision		fulltext		VANEASA - Virtual Anthropology Network of European Association of Social Anthropologists	serial							anthrovision.revues.org
Anthropology of food		1609-9168	2001	1		2016	10		http://aof.revues.org		aof		fulltext	H.S. vol.1, 2001 - vol. 11, 2015	Isabelle Téchoueyres, Matthieu Duboys de Labarre	serial							aof.revues.org
Bulletin de l’APAD		1950-6929	1991	1		2012	36		http://apad.revues.org		apad	P24M	fulltext	Bulletin de l'APAD : 1991-2012. Nouvelle série : Anthropologie & développement : n°37-38-38, 2013 - ...	LIT Verlag	serial							apad.revues.org
Recherche et pratiques pédagogiques en langues de spécialité	2257-5405	2119-5242	2001	20	3	2016	35	1	http://apliut.revues.org		apliut		fulltext	N° spécial : Vol. 21, 2002	APLIUT - Association des Professeurs de Langues des IUT	serial							apliut.revues.org
Appareil		2101-0714	2008	1		2015	16		http://appareil.revues.org		appareil		fulltext	H.S. 2008	MSH Paris Nord	serial							appareil.revues.org
Apparence(s)		1954-3778	2007	1		2015	6		http://apparences.revues.org		apparences		fulltext		IRHiS-UMR 8529	serial							apparences.revues.org
ArcheoSciences	1960-1360	2104-3728	2005	29		2012	36		http://archeosciences.revues.org		archeosciences	P36M	fulltext	Supplément : n°33 (suppl.), 2009	Presses universitaires de Rennes	serial							archeosciences.revues.org
El Argonauta español		1765-2901	2004	1		2015	12		http://argonauta.revues.org		argonauta		fulltext		TELEMME - UMR 6570	serial							argonauta.revues.org
Journal of Urban Research		1661-4941	2005	1		2015	10		http://articulo.revues.org		articulo		fulltext	Et : n°12, 2015. H.S. n°1, 2009 - n°6, 2015	Articulo - Revue de sciences humaines asbl	serial							articulo.revues.org
Arzanà	1243-3616	2429-9499	2010	13		2013	17		http://arzana.revues.org		arzana		fulltext		Presses Sorbonne Nouvelle	serial							arzana.revues.org
Annuaire de l’École pratique des hautes études. Section des sciences historiques et philologiques	0292-0980	1969-6310	2008	139		2015	146		http://ashp.revues.org		ashp		fulltext		École pratique des hautes études. Section des sciences historiques et philologiques	serial							ashp.revues.org
Cahiers d’Asie centrale	1270-9247	2075-5325	1996	1		2014	23		http://asiecentrale.revues.org		asiecentrale	P12M	fulltext		Éditions De Boccard	serial							asiecentrale.revues.org
ASp	1246-8185	2108-6354	1993	1		2015	67		http://asp.revues.org		asp	P12M	fulltext	Comptes rendus : 1994-...	Groupe d'étude et de recherche en anglais de spécialité	serial							asp.revues.org
Annuaire suisse de politique de développement	1660-5934	1663-9669	1981	1		2008	27	2	http://aspd.revues.org		aspd		fulltext	Annuaire Suisse - Tiers Monde : 1981 - 2002. Devient Annuaire Suisse de politique de développement : 2003 - ...	Institut de hautes études internationales et du développement	serial							aspd.revues.org
Annuaire de l’École pratique des hautes études. Section des sciences religieuses	0183-7478	1969-6329	2008	115		2015	122		http://asr.revues.org		asr		fulltext		École pratique des hautes études. Section des sciences religieuses	serial							asr.revues.org
Archives de sciences sociales des religions	0335-5985	1777-5825	2000	109		2012	160		http://assr.revues.org		assr	P36M	fulltext	Bulletins bibliographiques : vol.148, 2009 ; vol.152, 2010	Éditions de l’EHESS	serial							assr.revues.org
Astérion		1762-6110	2003	1		2015	13		http://asterion.revues.org		asterion		fulltext		ENS Éditions	serial							asterion.revues.org
Atalaya	1167-8437	2102-5614	1998	9		2015	15		http://atalaya.revues.org		atalaya		fulltext		ENS Éditions	serial							atalaya.revues.org
Ateliers d'anthropologie	1245-1436	2117-3869	2001	23		2015	42		http://ateliers.revues.org		ateliers		fulltext		Laboratoire d’ethnologie et de sociologie comparative (LESC)	serial							ateliers.revues.org
Babel	1277-7897	2263-4746	1996	1		2015	31		http://babel.revues.org		babel		fulltext	Manquent : 5, 2001 ; 9, 10, 2003 ; 14, 2006 ; 17, 2007 ; 21, 2009 ; 23, 2010	Université du Sud Toulon-Var	serial							babel.revues.org
Balkanologie	1279-7952	1965-0582	1997	1	1	2012	14	2	http://balkanologie.revues.org		balkanologie		fulltext		Association française d'études sur les Balkans (Afebalk)	serial							balkanologie.revues.org
Baroque	0067-4222	2261-639X	1965	1		1987	12		http://baroque.revues.org		baroque		fulltext		Centre de recherches historiques - EHESS, Éditions Cocagne	serial							baroque.revues.org
Bulletin du Centre de recherche français à Jérusalem		2075-5287	1997	1		2016	26		http://bcrfj.revues.org		bcrfj		fulltext		Centre de recherche français à Jérusalem	serial							bcrfj.revues.org
Belgeo	1377-2368	2294-9135	2000	1		2014	4		http://belgeo.revues.org		belgeo		fulltext		Société Royale Belge de Géographie	serial							belgeo.revues.org
Belphégor		1499-7185	2011	10	3	2015	13	1	http://belphegor.revues.org		belphegor		fulltext		LPCM	serial							belphegor.revues.org
Bulletin d’études orientales	0253-1623	2077-4079	2008	57		2012	61		http://beo.revues.org		beo	P36M	fulltext	H.S. vol.57 , 2008. Comptes rendus : 2012-... Autre collection de document : Lundis littéraires 2008-2011.	Presses de l'Institut français du Proche-Orient	serial							beo.revues.org
Bulletin de l’Institut français d’études andines	0303-7495	2076-5827	2001	30	1	2015	44	3	http://bifea.revues.org		bifea		fulltext		Institut Français d'Études Andines	serial							bifea.revues.org
Bulletin de méthodologie sociologique	0759-1063	2070-2779	2003	77		2008	100		http://bms.revues.org		bms		fulltext		Association internationale de méthodologie sociologique	serial							bms.revues.org
Bulletins et mémoires de la société d’anthropologie de Paris	0037-8984	1777-5469	2000	12	1	2009	21	4	http://bmsap.revues.org		bmsap		fulltext		Société d'Anthropologie de Paris	serial							bmsap.revues.org
Brésil(s)	2257-0543	2425-231X	2012	1		2015	8		http://bresils.revues.org		bresils		fulltext		​Editions de la maison des sciences de l'homme	serial							bresils.revues.org
Bulletin hispanique	0007-4640	1775-3821	2007	109	1	2012	114	2	http://bulletinhispanique.revues.org		bulletinhispanique	P36M	fulltext		Presses universitaires de Bordeaux	serial							bulletinhispanique.revues.org
Cadernos de Arte e Antropologia		2238-0361	2012	1	1	2016	5	1	http://cadernosaa.revues.org		cadernosaa		fulltext		Núcleo de Antropologia Visual da Bahia	serial							cadernosaa.revues.org
Cahiers des Amériques latines	1141-7161	2268-4247	2008	53		2015	79		http://cal.revues.org		cal		fulltext		Institut des hautes études de l'Amérique latine	serial							cal.revues.org
Caliban	2425-6250	2431-1766	2013	33		2014	35		http://caliban.revues.org		caliban		fulltext	Anglophonia/Caliban : 29, 2011-35, 2014 ; manquent 30, 2012 et 34, 2013. Devenu Caliban french journal of english studies : 52, 2014-...	Presses universitaires du Midi	serial							caliban.revues.org
Caravelle	1147-6753	2272-9828	2011	97		2015	105		http://caravelle.revues.org		caravelle		fulltext		Presses universitaires du Midi	serial							caravelle.revues.org
Cahiers de civilisation espagnole contemporaine (de 1808 au temps présent)		1957-7761	2007	1		2015	15		http://ccec.revues.org		ccec		fulltext	H.S. n°1, 2012, n°2, 2015	Laboratoire 3LAM	serial							ccec.revues.org
Courrier du Centre international Blaise Pascal	0249-6674		2003	25		2015	36		http://ccibp.revues.org		ccibp		fulltext		Centre international Blaise Pascal	serial							ccibp.revues.org
Cahiers du Centre de recherches historiques	0990-9141	1760-7906	1988	1		2010	45		http://ccrh.revues.org		ccrh		fulltext		Centre de recherches historiques	serial							ccrh.revues.org
Cahiers de la Méditerranée	0395-9317	1773-0201	2001	62		2015	90		http://cdlm.revues.org		cdlm	P6M	fulltext		Centre de la Méditerranée moderne et contemporaine	serial							cdlm.revues.org
Cahiers Droit, Sciences & Technologies	1967-0311	2431-8663	2010	3		2015	5		http://cdst.revues.org		cdst		fulltext		Presses universitaires d'Aix-Marseille - PUAM	serial							cdst.revues.org
Cadernos de Estudos Africanos	1645-3794	2182-7400	2001	1		2015	30		http://cea.revues.org		cea		fulltext		Centro de Estudos Internacionais	serial							cea.revues.org
Cahiers balkaniques	0290-7402	2261-4184	2008	36		2014	42		http://ceb.revues.org		ceb		fulltext	Aussi en libre accès : n°33, 2004. H.S. : 2015, 2016	INALCO	serial							ceb.revues.org
Les carnets du Cediscor	1242-8345	2108-6605	1993	1		2009	11		http://cediscor.revues.org		cediscor	P24M	fulltext		Presses Sorbonne Nouvelle	serial							cediscor.revues.org
Les cahiers du CEDREF	1146-6472	2107-0733	1995	4		2015	20		http://cedref.revues.org		cedref		fulltext		Université Paris VII-Denis Diderot	serial							cedref.revues.org
Chronique des activités archéologiques de l'École française de Rome		2282-5703	2012			2015			http://cefr.revues.org		cefr		fulltext		École française de Rome	serial							cefr.revues.org
Cahiers d’études italiennes	1770-9571	2260-779X	2004	1		2014	18		http://cei.revues.org		cei	P18M	fulltext		Ellug / Éditions littéraires et linguistiques de l’université de Grenoble	serial							cei.revues.org
Bulletin du centre d’études médiévales d’Auxerre | BUCEMA	1623-5770	1954-3093	2002	6		2015	19	2	http://cem.revues.org		cem		fulltext	H.S. vol.1, 2008 - vol.9, 2016. Note : trois Collections du BUCEMA : Archéologie des églises de l'Yonne (2010), Collection CBMA (2008-2013), Histoire de l'art & Anthropologie (2008-2009)	Centre d'études médiévales Saint-Germain d'Auxerre	serial							cem.revues.org
Cahiers d’études sur la Méditerranée orientale et le monde turco-iranien	0764-9878	1777-5396	1995	19		1998	26		http://cemoti.revues.org		cemoti	P60M	fulltext		AFEMOTI	serial							cemoti.revues.org
CeROArt		1784-5092	2007	1		2015	10		http://ceroart.revues.org		ceroart		fulltext	H.S. 2010 - ...	Association CeROArt	serial							ceroart.revues.org
Cahiers d’études du religieux. Recherches interdisciplinaires		1760-5776	2007	1		2016	15		http://cerri.revues.org		cerri		fulltext	H.S. 2011, 2012, 2014	Maison des sciences de l’homme de Montpellier (MSH-M)	serial							cerri.revues.org
Cahiers d’histoire	0008-008X	1777-5264	1996	41	1	2002	47	1	http://ch.revues.org		ch	P60M	fulltext		Comité historique du Centre-Est	serial							ch.revues.org
Champ pénal/Penal field		1777-5272	2004	1		2016	13		http://champpenal.revues.org		champpenal		fulltext		Association Champ pénal / Penal field	serial							champpenal.revues.org
China Perspectives		1996-4617	2003	45		2012	4		http://chinaperspectives.revues.org		chinaperspectives	P36M	fulltext	Ancienne numérotation : vol.45-68, 2003-2006 ; nouvelle numérotation : n°1, 2007-...	Centre d'étude français sur la Chine contemporaine	serial							chinaperspectives.revues.org
Chrétiens et sociétés	1257-127X	1965-0809	2003	10		2015	22		http://chretienssocietes.revues.org		chretienssocietes		fulltext	Autres numéros : n°1, 1994 - n°2, 1995. Numéro spécial I, 2011 ; II, 2013	Équipe RESEA - UMR 5190 LARHRA	serial							chretienssocietes.revues.org
Cahiers d’histoire. Revue d’histoire critique	1271-6669	2102-5916	2001	84		2016	130		http://chrhc.revues.org		chrhc		fulltext		Association Paul Langevin	serial							chrhc.revues.org
Crime, Histoire & Sociétés	1422-0857	1663-4837	1997	1	1	2012	16	2	http://chs.revues.org		chs	P36M	fulltext		Librairie Droz	serial							chs.revues.org
Cinémas d’Amérique latine	1267-4397	2425-1356	2010	18		2014	22		http://cinelatino.revues.org		cinelatino		fulltext		Presses universitaires du Midi, Association des Rencontres des Cinémas d’Amérique Latine	serial							cinelatino.revues.org
Cipango	1164-5857	2260-7706	2008	15		2013	20		http://cipango.revues.org		cipango		fulltext	H.S 2008	INALCO	serial							cipango.revues.org
Civilisations	0009-8140	2032-0442	1989	38	1	2012	61	1	http://civilisations.revues.org		civilisations	P36M	fulltext		Institut de sociologie de l'Université Libre de Bruxelles	serial							civilisations.revues.org
Cipango - French Journal of Japanese Studies		2268-1744	2012	1		2014	3		http://cjs.revues.org		cjs		fulltext		INALCO	serial							cjs.revues.org
Clio. Femmes, Genre, Histoire	1252-7017	1777-5299	1995	1		2012	36		http://clio.revues.org		clio	P36M	fulltext		Belin	serial							clio.revues.org
Cahiers de littérature orale	0396-891X	2266-1816	2007	62		2014	76		http://clo.revues.org		clo		fulltext		INALCO	serial							clo.revues.org
Conserveries mémorielles		1718-5556	2006	1		2015	17		http://cm.revues.org		cm		fulltext		IHTP - Institut d'Histoire du Temps Présent	serial							cm.revues.org
Chroniques du manuscrit au Yémen		2116-0813	2006	1		2014	18		http://cmy.revues.org		cmy		fulltext		Centre français d’archéologie et de sciences sociales	serial							cmy.revues.org
CogniTextes		1958-5322	2007	1		2015	13		http://cognitextes.revues.org		cognitextes		fulltext		Association française de linguistique cognitive	serial							cognitextes.revues.org
Les Cahiers d’Outre-Mer	0373-5834	1961-8603	2001	216		2012	260		http://com.revues.org		com	P36M	fulltext		Presses universitaires de Bordeaux	serial							com.revues.org
Continents manuscrits		2275-1742	2014	1		2015	5		http://coma.revues.org		coma		fulltext		Institut des textes & manuscrits modernes (ITEM)	serial							coma.revues.org
Comicalités		2117-4911	2011			2015			http://comicalites.revues.org		comicalites		fulltext		Université Paris XIII	serial							comicalites.revues.org
Communication	1189-3788	1920-7344	2001	21	1	2015	33	2	http://communication.revues.org		communication		fulltext		Université Laval	serial							communication.revues.org
Communication et organisation	1168-5549	1775-3546	1992	1		2012	42		http://communicationorganisation.revues.org		communicationorganisation	P36M	fulltext	H.S. n°1, 1994, n°2, 2002	Presses universitaires de Bordeaux	serial							communicationorganisation.revues.org
Communiquer		2368-9587	2009	1		2015	15		http://communiquer.revues.org		communiquer		fulltext	Ancienne série : RICSP : 1, 2009-12, 2014. Nouvelle série : Communiquer : 13, 2015-....	Département de communication sociale et publique - UQAM	serial							communiquer.revues.org
Comptabilités		1775-3554	2010	1		2015	7		http://comptabilites.revues.org		comptabilites		fulltext		IRHiS-UMR 8529	serial							comptabilites.revues.org
Configurações	1646-5075	2182-7419	2008	4		2015	16		http://configuracoes.revues.org		configuracoes		fulltext		Centro de Investigação em Ciências Sociais	serial							configuracoes.revues.org
Confins		1958-9212	2007	1		2016	26		http://confins.revues.org		confins		fulltext		Hervé Théry	serial							confins.revues.org
Cultures & conflits	1157-996X	1777-5345	1990	1		2012	88		http://conflits.revues.org		conflits	P36M	fulltext		CCLS - Centre d'études sur les conflits  lilberté et sécurité, L’Harmattan	serial							conflits.revues.org
COnTEXTES		1783-094X	2006	1		2015	16		http://contextes.revues.org		contextes		fulltext		Groupe de contact F.N.R.S. COnTEXTES	serial							contextes.revues.org
Corela		1638-573X	2003	1	1	2015	13	2	http://corela.revues.org		corela		fulltext	H.S. : 1, 2, 2005 ; 3, 4, 5, 2006 ; 6, 2007 ; 7, 8, 9, 2010 ; 10, 11, 12, 2012 ; 13, 14, 2013 ; 15, 2014 ; 16, 17, 18, 2015 ;	Cercle linguistique du Centre et de l'Ouest - CerLICO	serial							corela.revues.org
Corps et culture	1268-5631	1777-5337	1995	1		2004	7		http://corpsetculture.revues.org		corpsetculture		fulltext		Association Corps et Culture	serial							corpsetculture.revues.org
Corpus	1638-9808	1765-3126	2002	1		2013	12		http://corpus.revues.org		corpus	P6M	fulltext		Bases ; corpus et langage - UMR 6039	serial							corpus.revues.org
Corpus. Archivos virtuales de la alteridad americana		1853-8037	2011	1	1	2015	5	2	http://corpusarchivos.revues.org		corpusarchivos		fulltext		Diego Escolar	serial							corpusarchivos.revues.org
Comunicação pública	1646-1479	2183-2269	2011	6	10	2015	10	19	http://cp.revues.org		cp		fulltext	H.S. : Especial 01E, 2011	Escola Superior de Comunicação Social	serial							cp.revues.org
Current psychology letters	1376-2095	1379-6100	2003	10	1	2010	26	2	http://cpl.revues.org		cpl		fulltext		Centre PsyCLÉ	serial							cpl.revues.org
Bulletin du Centre de recherche du château de Versailles		1958-9271	2002			2015			http://crcv.revues.org		crcv		fulltext		Centre de recherche du château de Versailles	serial							crcv.revues.org
Cahiers de la recherche sur l'éducation et les savoirs	1635-3544	2265-7762	2002	1		2015	14		http://cres.revues.org		cres		fulltext	H.S. n°1, 2005 - n°4, 2013	Les éditions de la Maison des sciences de l’Homme	serial							cres.revues.org
Criminocorpus, revue hypermédia		2108-6907	2005			2015			http://criminocorpus.revues.org		criminocorpus		fulltext		Criminocorpus	serial							criminocorpus.revues.org
Criticón	0247-381X	2272-9852	2012	114		2015	124		http://criticon.revues.org		criticon		fulltext		Presses universitaires du Midi	serial							criticon.revues.org
Critique d’art	1246-8258	2265-9404	1999	13		2014	43		http://critiquedart.revues.org		critiquedart	P12M	fulltext		Groupement d'intérêt scientifique (GIS) Archives de la critique d’art	serial							critiquedart.revues.org
Cahiers de recherches médiévales et humanistes	2115-6360	2273-0893	1996	1		2012	24		http://crm.revues.org		crm	P36M	fulltext	Comptes-rendus : 2000-2015	Classiques Garnier	serial							crm.revues.org
Cultura	0870-4546	2183-2021	2006	22		2013	32		http://cultura.revues.org		cultura	P12M	fulltext		Centro de História da Cultura	serial							cultura.revues.org
Cahiers victoriens et édouardiens	0220-5610	2271-6149	2011	73		2015	81		http://cve.revues.org		cve		fulltext		Presses universitaires de la Méditerranée	serial							cve.revues.org
Arabian Humanities		2308-6122	1993	1		2015	5		http://cy.revues.org		cy		fulltext	Chroniques yéménites 1993, n°1 - 2012, n°17. Devient Arabian humanities 2013 - ....	Centre français d’archéologie et de sciences sociales	serial							cy.revues.org
Cybergeo : revue européenne de géographie / European journal of geography		1278-3366	1996			2016			http://cybergeo.revues.org		cybergeo		fulltext		UMR 8504 Géographie-cités	serial							cybergeo.revues.org
Documents d’archéologie méridionale	0184-1068	1955-2432	2001	24		2011	34		http://dam.revues.org		dam	P36M	fulltext		ADAM éditions	serial							dam.revues.org
Recherches en danse		2275-2293	2014	1		2015	4		http://danse.revues.org		danse		fulltext		ACD - Association des Chercheurs en Danse	serial							danse.revues.org
Décadrages	2235-7823	2297-5977	2003	1		2012	22		http://decadrages.revues.org		decadrages	P12M	fulltext		Association Décadrages	serial							decadrages.revues.org
Développement durable et territoires		1772-9971	2002	1	1	2014	5	2	http://developpementdurable.revues.org		developpementdurable		fulltext	Dossiers : n°1, 2002 - n°12, 2009	Réseau « Développement durable et territoires fragiles »	serial							developpementdurable.revues.org
Documents pour l’histoire du français langue étrangère ou seconde	0992-7654	2221-4038	1999	23		2011	46		http://dhfles.revues.org		dhfles	P12M	fulltext	Autre numéro : 47-48, 2015	Société Internationale pour l’Histoire du Français Langue Étrangère ou Seconde‎	serial							dhfles.revues.org
Documents pour l'histoire des techniques	0417-8726	1775-4194	2007	14		2011	20		http://dht.revues.org		dht		fulltext		Société des élèves du CDHTE-Cnam, Centre d'histoire des techniques et de l'environnement du Cnam (CDHTE-Cnam)	serial							dht.revues.org
Diacronie		2038-0925	2011	7	3	2016	25	1	http://diacronie.revues.org		diacronie		fulltext		Association culturelle Diacronie	serial							diacronie.revues.org
Diasporas	1637-5823	2431-1472	2013	21		2015	25		http://diasporas.revues.org		diasporas		fulltext		Presses universitaires du Midi	serial							diasporas.revues.org
Dictynna		1765-3142	2004	1		2015	12		http://dictynna.revues.org		dictynna		fulltext		Université Lille-3	serial							dictynna.revues.org
Discours		1963-1723	2007	1		2015	17		http://discours.revues.org		discours		fulltext		Laboratoire LATTICE	serial							discours.revues.org
Distances et médiations des savoirs		2264-7228	2012	1		2016	13		http://dms.revues.org		dms		fulltext		Centre national d'enseignement à distance	serial							dms.revues.org
Les Dossiers du Grihl		1958-9247	2007	2007	1	2015	2015	1	http://dossiersgrihl.revues.org		dossiersgrihl		fulltext		Grihl / CRH - EHESS	serial							dossiersgrihl.revues.org
Droit et Cultures	0247-9788	2109-9421	2005	50		2015	70		http://droitcultures.revues.org		droitcultures		fulltext	Autre numéro : n°48, 2004	L’Harmattan	serial							droitcultures.revues.org
Les dossiers des sciences de l’éducation	1296-2104	2272-9968	2012	27		2014	32		http://dse.revues.org		dse		fulltext		Presses universitaires du Midi	serial							dse.revues.org
e-Migrinter		1961-9685	2012	8		2015	13		http://e-migrinter.revues.org		e-migrinter		fulltext	Manque le : 9, 2012	UMR 7301 - Migrinter	serial							e-migrinter.revues.org
e-Spania		1951-6169	2006	1		2016	23		http://e-spania.revues.org		e-spania		fulltext		Civilisations et Littératures d’Espagne et d’Amérique du Moyen Âge aux Lumières (CLEA) - Paris Sorbonne	serial							e-spania.revues.org
Études arméniennes contemporaines	2269-5281	2425-1682	2013	1		2015	6		http://eac.revues.org		eac		fulltext	Ancienne série : Revue arménienne des questions contemporaines : 15, 2012 ; Nlle série : Études arméniennes contemporaines : 1, 2013 -...	Bibliothèque Nubar de l'UGAB	serial							eac.revues.org
Études britanniques contemporaines	1168-4917	2271-5444	2010	39		2015	49		http://ebc.revues.org		ebc		fulltext		Presses universitaires de la Méditerranée	serial							ebc.revues.org
Ebisu	1340-3656	2189-1893	2012	47		2015	52		http://ebisu.revues.org		ebisu		fulltext		Institut français de recherche sur le Japon (UMIFRE 19 MAEE-CNRS), Maison franco-japonaise	serial							ebisu.revues.org
Études canadiennes / Canadian Studies	0153-1700	2429-4667	2012	72		2014	77		http://eccs.revues.org		eccs	P12M	fulltext		Association française des études canadiennes (AFEC)	serial							eccs.revues.org
e-cadernos CES		1647-0737	2008	1		2015	24		http://eces.revues.org		eces		fulltext		Centro de Estudos Sociais da Universidade de Coimbra	serial							eces.revues.org
EchoGéo		1963-1197	2007	1		2016	35		http://echogeo.revues.org		echogeo		fulltext		Pôle de recherche pour l'organisation et la diffusion de l'information géographique (CNRS UMR 8586)	serial							echogeo.revues.org
