publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Climate Change (formerly Global Warming)	9780199548248	9780191777325							http://www.veryshortintroductions.com/view/10.1093/actrade/9780199548248.001.0001/actrade-9780199548248	Mark A.	actrade/9780199548248		fulltext		Oxford University Press	monograph	2008	2013		2				P
Commercial Law	9780199664238	9780191783876							http://www.oxfordlawtrove.com/view/10.1093/he/9780199664238.001.0001/he-9780199664238	Baskind	he-9780199664238		fulltext		Oxford University Press	monograph	2013	2014		1				P
Company Law	9780198704133	9780191784477							http://www.oxfordlawtrove.com/view/10.1093/he/9780198704133.001.0001/he-9780198704133	Dignam	he-9780198704133		fulltext		Oxford University Press	monograph	2014	2014		8				P
Company Law Concentrate: Law Revision and Study Guide	9780198703808	9780191783463							http://www.oxfordlawtrove.com/view/10.1093/he/9780198703808.001.0001/he-9780198703808	Roach	he-9780198703808		fulltext		Oxford University Press	monograph	2014	2014		3				P
Comparative Politics	9780198737421	9780191851018							http://www.oxfordpoliticstrove.com/view/10.1093/he/9780198737421.001.0001/he-9780198737421	Caramani	he-9780198737421		fulltext		Oxford University Press	monograph	2017	2015		4				P
Complete Criminal Law: Text, Cases, and Materials	9780198702290	9780191784422							http://www.oxfordlawtrove.com/view/10.1093/he/9780198702290.001.0001/he-9780198702290	Loveless	he-9780198702290		fulltext		Oxford University Press	monograph	2014	2014		4				P
Constitutional and Administrative Law	9780199684144	9780191783630							http://www.oxfordlawtrove.com/view/10.1093/he/9780199684144.001.0001/he-9780199684144	Parpworth	he-9780199684144		fulltext		Oxford University Press	monograph	2014	2014		8				P
Contemporary Intellectual Property: Law and Policy	9780199671823	9780191784064							http://www.oxfordlawtrove.com/view/10.1093/he/9780199671823.001.0001/he-9780199671823	Waelde	he-9780199671823		fulltext		Oxford University Press	monograph	2013	2014		3				P
Contemporary Political Philosophy	9780198782742	9780191850868							http://www.oxfordpoliticstrove.com/view/10.1093/he/9780198782742.001.0001/he-9780198782742	Kymlicka	he-9780198782742		fulltext		Oxford University Press	monograph	2001	2015		2				P
Contemporary Security Studies	9780198708315	9780191850776							http://www.oxfordpoliticstrove.com/view/10.1093/he/9780198708315.001.0001/he-9780198708315	Collins	he-9780198708315		fulltext		Oxford University Press	monograph	2015	2016		4				P
Contract Law: Text, Cases, and Materials	9780198701989	9780191784392							http://www.oxfordlawtrove.com/view/10.1093/he/9780198701989.001.0001/he-9780198701989	McKendrick	he-9780198701989		fulltext		Oxford University Press	monograph	2014	2014		6				P
Criminal Law	9780198704164	9780191783418							http://www.oxfordlawtrove.com/view/10.1093/he/9780198704164.001.0001/he-9780198704164	Padfield	he-9780198704164		fulltext		Oxford University Press	monograph	2014	2014		9				P
Criminal Law Concentrate: Law Revision and Study Guide	9780198703754	9780191783449							http://www.oxfordlawtrove.com/view/10.1093/he/9780198703754.001.0001/he-9780198703754	Huxley-Binns	he-9780198703754		fulltext		Oxford University Press	monograph	2014	2014		4				P
Criminal Law Directions	9780198702283	9780191784415							http://www.oxfordlawtrove.com/view/10.1093/he/9780198702283.001.0001/he-9780198702283	Monaghan	he-9780198702283		fulltext		Oxford University Press	monograph	2014	2014		3				P
Criminal Law: Text, Cases, and Materials	9780198702276	9780191783685							http://www.oxfordlawtrove.com/view/10.1093/he/9780198702276.001.0001/he-9780198702276	Herring	he-9780198702276		fulltext		Oxford University Press	monograph	2014	2014		6				P
Criminal Litigation 2015-16	9780198737704	9780191801303							http://www.oxfordlawtrove.com/view/10.1093/he/9780198737704.001.0001/he-9780198737704	Hannibal	he-9780198737704		fulltext		Oxford University Press	monograph	2015	2015		11				P
Criminology Skills	9780199597376	9780191783746							http://www.oxfordlawtrove.com/view/10.1093/he/9780199597376.001.0001/he-9780199597376	Finch	he-9780199597376		fulltext		Oxford University Press	monograph	2012	2014		1				P
Democratization	9780199233021	9780191850882							http://www.oxfordpoliticstrove.com/view/10.1093/he/9780199233021.001.0001/he-9780199233021	Haerpfer	he-9780199233021		fulltext		Oxford University Press	monograph	2009	2016		1				P
Documents Illustrating the Reigns of Augustus & Tiberius (Second Edition)	9780198148197	9780191844577							http://oxfordscholarlyeditions.com/view/10.1093/actrade/9780198148197.book.1/actrade-9780198148197-book-1		actrade/9780198148197.book.1		fulltext		Oxford University Press	monograph	1976	2017		2	Victor Ehrenberg and Arnold Hugh Martin Jones			P
Drugs	9780192854315	9780191776731							http://www.veryshortintroductions.com/view/10.1093/actrade/9780192854315.001.0001/actrade-9780192854315	Leslie L.	actrade/9780192854315		fulltext		Oxford University Press	monograph	2001	2013		1				P
EU Competition Law: Text, Cases & Materials	9780199660322	9780191783487							http://www.oxfordlawtrove.com/view/10.1093/he/9780199660322.001.0001/he-9780199660322	Jones	he-9780199660322		fulltext		Oxford University Press	monograph	2014	2014		5				P
EU Law Concentrate: Law Revision and Study Guide	9780198703730	9780191783425							http://www.oxfordlawtrove.com/view/10.1093/he/9780198703730.001.0001/he-9780198703730	Homewood	he-9780198703730		fulltext		Oxford University Press	monograph	2014	2014		4				P
EU Law Directions	9780199685653	9780191784750							http://www.oxfordlawtrove.com/view/10.1093/he/9780199685653.001.0001/he-9780199685653	Foster	he-9780199685653		fulltext		Oxford University Press	monograph	2014	2014		4				P
Employment Law Handbook 2015	9780198727910	9780191799419							http://www.oxfordlawtrove.com/view/10.1093/he/9780198727910.001.0001/he-9780198727910	Millington	he-9780198727910		fulltext		Oxford University Press	monograph	2015	2015		22				P
Employment Law in Context: Text and Materials	9780199644889	9780191784583							http://www.oxfordlawtrove.com/view/10.1093/he/9780199644889.001.0001/he-9780199644889	Cabrelli	he-9780199644889		fulltext		Oxford University Press	monograph	2014	2014		1				P
English Legal System	9780199669929	9780191783654							http://www.oxfordlawtrove.com/view/10.1093/he/9780199669929.001.0001/he-9780199669929	Wilson	he-9780199669929		fulltext		Oxford University Press	monograph	2014	2014		1				P
Equity & Trusts Concentrate: Law Revision and Study Guide	9780198703716	9780191783456							http://www.oxfordlawtrove.com/view/10.1093/he/9780198703716.001.0001/he-9780198703716	McDonald	he-9780198703716		fulltext		Oxford University Press	monograph	2014	2014		4				P
Equity & Trusts Law Directions	9780198709862	9780191793141							http://www.oxfordlawtrove.com/view/10.1093/he/9780198709862.001.0001/he-9780198709862	Watt	he-9780198709862		fulltext		Oxford University Press	monograph	2014	2014		4				P
Equity & Trusts: Text, Cases & Materials	9780199661480	9780191764233							http://www.oxfordlawtrove.com/view/10.1093/he/9780199661480.001.0001/he-9780199661480	Davies	he-9780199661480		fulltext		Oxford University Press	monograph	2013	2013		1				P
European Integration Theory	9780199226092	9780191850875							http://www.oxfordpoliticstrove.com/view/10.1093/he/9780199226092.001.0001/he-9780199226092	Wiener	he-9780199226092		fulltext		Oxford University Press	monograph	2009			2				P
European Union Law	9780199685615	9780191784712							http://www.oxfordlawtrove.com/view/10.1093/he/9780199685615.001.0001/he-9780199685615	Horspool	he-9780199685615		fulltext		Oxford University Press	monograph	2014	2014		8				P
European Union Politics	9780198708933	9780191850820							http://www.oxfordpoliticstrove.com/view/10.1093/he/9780198708933.001.0001/he-9780198708933	Cini	he-9780198708933		fulltext		Oxford University Press	monograph	2016	2016		5				P
F. D. Maurice and the Crisis of Christian Authority	9780199263172	9780191602825							http://www.oxfordscholarship.com/view/10.1093/0199263175.001.0001/acprof-9780199263172	Morris	acprof-9780199263172		fulltext		Oxford University Press	monograph	2005	2005						P
Family Law Handbook 2015	9780198727446	9780191799426							http://www.oxfordlawtrove.com/view/10.1093/he/9780198727446.001.0001/he-9780198727446	Sendall	he-9780198727446		fulltext		Oxford University Press	monograph	2015	2015		6				P
Fascism	9780192801555	9780191775338							http://www.veryshortintroductions.com/view/10.1093/actrade/9780192801555.001.0001/actrade-9780192801555	Kevin	actrade/9780192801555		fulltext		Oxford University Press	monograph	2002	2013		1				P
Foreign Policy	9780198708902	9780191850806							http://www.oxfordpoliticstrove.com/view/10.1093/he/9780198708902.001.0001/he-9780198708902	Smith	he-9780198708902		fulltext		Oxford University Press	monograph	2016			3				P
Foundations For LPC 2015-16	9780198737698	9780191801310							http://www.oxfordlawtrove.com/view/10.1093/he/9780198737698.001.0001/he-9780198737698	Firth	he-9780198737698		fulltext		Oxford University Press	monograph	2015	2015		19				P
Geopolitics	9780199206582	9780191776885							http://www.veryshortintroductions.com/view/10.1093/actrade/9780199206582.001.0001/actrade-9780199206582	Klaus	actrade/9780199206582		fulltext		Oxford University Press	monograph	2007	2013		1				P
Geopolitics	9780199676781	9780191779954							http://www.veryshortintroductions.com/view/10.1093/actrade/9780199676781.001.0001/actrade-9780199676781	Dodds	ctrade-9780199676781		fulltext		Oxford University Press	monograph	2014	2014		2				P
Global Political Economy	9780198737469	9780191850844							http://www.oxfordpoliticstrove.com/view/10.1093/he/9780198737469.001.0001/he-9780198737469	Ravenhill	he-9780198737469		fulltext		Oxford University Press	monograph	2016	2012		5				P
Grove Music		9781561592630							http://www.oxfordmusiconline.com/subscriber/book/omo_gmo		omo_gmo		fulltext	Contains New Grove Dictionary of Jazz, New Grove Dictionary of Music and Musicians, and New Grove Dictionary of Opera	Oxford University Press	monograph								P
Hayes & Williams' Family Law	9780199682188	9780191784682							http://www.oxfordlawtrove.com/view/10.1093/he/9780199682188.001.0001/he-9780199682188	Gilmore	he-9780199682188		fulltext		Oxford University Press	monograph	2014	2014		4				P
Hinduism	9780192853875	9780191776465							http://www.veryshortintroductions.com/view/10.1093/actrade/9780192853875.001.0001/actrade-9780192853875	Kim	actrade/9780192853875		fulltext		Oxford University Press	monograph	2000	2013		1				P
Holyoak and Torremans Intellectual Property Law	9780199643318	9780191783906							http://www.oxfordlawtrove.com/view/10.1093/he/9780199643318.001.0001/he-9780199643318	Torremans	he-9780199643318		fulltext		Oxford University Press	monograph	2013	2014		7				P
Honeyball & Bowers’ Textbook on Employment Law	9780199685622	9780191784729							http://www.oxfordlawtrove.com/view/10.1093/he/9780199685622.001.0001/he-9780199685622	Honeyball	he-9780199685622		fulltext		Oxford University Press	monograph	2014	2014		13				P
Human Rights	9780199205523	9780191776861							http://www.veryshortintroductions.com/view/10.1093/actrade/9780199205523.001.0001/actrade-9780199205523	Andrew	actrade/9780199205523		fulltext		Oxford University Press	monograph	2007	2013		1				P
Human Rights Law Directions	9780199669370	9780191783838							http://www.oxfordlawtrove.com/view/10.1093/he/9780199669370.001.0001/he-9780199669370	Davis	he-9780199669370		fulltext		Oxford University Press	monograph	2013	2014		3				P
Human Rights: Politics and Practice	9780198708766	9780191850790							http://www.oxfordpoliticstrove.com/view/10.1093/he/9780198708766.001.0001/he-9780198708766	Goodhart	he-9780198708766		fulltext		Oxford University Press	monograph	2016	2017		3				P
Information Technology Law: The Law and Society	9780199661510	9780191784033							http://www.oxfordlawtrove.com/view/10.1093/he/9780199661510.001.0001/he-9780199661510	Murray	he-9780199661510		fulltext		Oxford University Press	monograph	2013	2014		2				P
International Migration	9780199298013	9780191777189							http://www.veryshortintroductions.com/view/10.1093/actrade/9780199298013.001.0001/actrade-9780199298013	Khalid	actrade/9780199298013		fulltext		Oxford University Press	monograph	2007	2013		1				P
International Relations Since 1945	9780199693061	9780191850974							http://www.oxfordpoliticstrove.com/view/10.1093/he/9780199693061.001.0001/he-9780199693061	Young	he-9780199693061		fulltext		Oxford University Press	monograph	2013			2				P
International Relations Theories	9780198707561	9780191850769							http://www.oxfordpoliticstrove.com/view/10.1093/he/9780198707561.001.0001/he-9780198707561	Dunne	he-9780198707561		fulltext		Oxford University Press	monograph	2016			4				P
International Relations and the European Union	9780198737322	9780191851025							http://www.oxfordpoliticstrove.com/view/10.1093/he/9780198737322.001.0001/he-9780198737322	Hill	he-9780198737322		fulltext		Oxford University Press	monograph	2017	2014		3				P
International Relations of the Middle East	9780198708742	9780191850783							http://www.oxfordpoliticstrove.com/view/10.1093/he/9780198708742.001.0001/he-9780198708742	Fawcett	he-9780198708742		fulltext		Oxford University Press	monograph	2016	2015		4				P
Introduction to International Relations	9780198707554	9780191850752							http://www.oxfordpoliticstrove.com/view/10.1093/he/9780198707554.001.0001/he-9780198707554	Jackson	he-9780198707554		fulltext		Oxford University Press	monograph	2015	2014		6				P
Introduction to Politics	9780198704386	9780191850745							http://www.oxfordpoliticstrove.com/view/10.1093/he/9780198704386.001.0001/he-9780198704386	Garner	he-9780198704386		fulltext		Oxford University Press	monograph	2016			3				P
