publication_type	publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
book	Cardiovascular Physiology	9780323594844		2019						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20160042845	Pappano	3-s2.0-C20160042845		fulltext		Elsevier
book	Cecil Essentials of Medicine	9780323722711		2022						https://www.clinicalkey.com/student/content/toc/3-s2.0-C2017000616X	Braunstein	3-s2.0-C2017000616X		fulltext		Elsevier
book	Cell Biology	9780323758000		2023						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20180054031	Pollard	3-s2.0-C20180054031		fulltext		Elsevier
book	Cellular and Molecular Immunology	9780443283581		2026						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20230509061	Abbas	3-s2.0-C20230509061		fulltext		Elsevier
book	Cellular Physiology and Neurophysiology	9780323596190		2020						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20160042821	Blaustein	3-s2.0-C20160042821		fulltext		Elsevier
book	Concise Clinical Embryology: an Integrated, Case-Based Approach	9780323696159		2022						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20180041055	Torchia	3-s2.0-C20180041055		fulltext		Elsevier
book	Conn's Current Therapy 2026	9780443121821		2026						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20220025903	Marker	3-s2.0-C20220025903		fulltext		Elsevier
book	Costanzo Physiology	9780443264610		2027						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20230014455	Costanzo	3-s2.0-C20230014455		fulltext		Elsevier
book	Critical Care Secrets	9780323510646		2019						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20150066801	Kumar	3-s2.0-C20150066801		fulltext		Elsevier
book	Crush Step 1	9780323878869		2024						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20200024655	Sanchez	3-s2.0-C20200024655		fulltext		Elsevier
book	Dermatology Secrets	9780323673235		2021						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20180011706	Bennion	3-s2.0-C20180011706		fulltext		Elsevier
book	Diabetes Secrets	9780323792622		2022						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20190041957	Isaacs	3-s2.0-C20190041957		fulltext		Elsevier
book	Differential Diagnosis of Common Complaints	9780323512329		2018						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20150022286	Seller	3-s2.0-C20150022286		fulltext		Elsevier
book	Emergency Medicine Secrets	9780323694735		2022						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20180011639	Haycock	3-s2.0-C20180011639		fulltext		Elsevier
book	Endocrine and Reproductive Physiology	9780323595735		2019						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20160015899	White	3-s2.0-C20160015899		fulltext		Elsevier
book	Endocrine Secrets	9780443261947		2026						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20230013528	Iwamoto	3-s2.0-C20230013528		fulltext		Elsevier
book	ENT Secrets	9780323733571		2023						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20180049610	Washburn	3-s2.0-C20180049610		fulltext		Elsevier
book	Ferri's Best Test	9780323812894		2023						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20200006717	Ferri	3-s2.0-C20200006717		fulltext		Elsevier
book	Ferri's Fast Facts in Dermatology	9780323530392		2019						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20160019563	Ferri	3-s2.0-C20160019563		fulltext		Elsevier
book	Fitzgerald's Clinical Neuroanatomy and Neuroscience	9780702079092		2021						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20170014155	Mtui	3-s2.0-C20170014155		fulltext		Elsevier
book	Fundamental Neuroscience for Basic and Clinical Applications	9780443107030		2026						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20200016993	Chen	3-s2.0-C20200016993		fulltext		Elsevier
book	Gastrointestinal and Liver Secrets	9780323936378		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C2017000650X	Lee	3-s2.0-C2017000650X		fulltext		Elsevier
book	Gastrointestinal Physiology	9780323595636		2019						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20160042870	Johnson	3-s2.0-C20160042870		fulltext		Elsevier
book	Goldman-Cecil Medicine	9780323930383		2024						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20201044902	Feller-Kopman	3-s2.0-C20201044902		fulltext		Elsevier
book	Gordis Epidemiology	9780323877756		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210005393	Celentano	3-s2.0-C20210005393		fulltext		Elsevier
book	Gray's Anatomy for Students Flash Cards	9780443105142		2024						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210032843	Drake	3-s2.0-C20210032843		fulltext		Elsevier
book	Gray's Anatomy for Students	9780323934237		2024						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20210023117	Drake	3-s2.0-C20210023117		fulltext		Elsevier
book	Gray's Anatomy Review	9780323639163		2022						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20170023972	Loukas	3-s2.0-C20170023972		fulltext		Elsevier
book	Gray's Atlas of Anatomy	9780443284663		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20230515307	Drake	3-s2.0-C20230515307		fulltext		Elsevier
book	Gray's Clinical Photographic Dissector of the Human Body	9780443107092		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20220000623	Loukas	3-s2.0-C20220000623		fulltext		Elsevier
