publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
2-D Proteome Analysis Protocols	978-0-89603-524-9	978-1-59259-584-6							http://link.springer.com/10.1385/1592595847		10.1385/1592595847		fulltext		Humana Press	Monograph	1999		112		Link	7651	
Adenovirus Methods and Protocols	978-0-89603-551-5	978-1-59259-603-4							http://link.springer.com/10.1385/0896035514		10.1385/0896035514		fulltext		Springer New York	Monograph	1999		21		Wold	7652	
Adhesion Protein Protocols	978-0-89603-417-4	978-1-59259-258-6							http://link.springer.com/10.1385/1592592589		10.1385/1592592589		fulltext		Humana Press	Monograph	1999		96		Dejana	7651	
Adipose Tissue Protocols	978-0-89603-747-2	978-1-59259-231-9							http://link.springer.com/10.1385/1592592317		10.1385/1592592317		fulltext		Springer New York	Monograph	2001		155		Ailhaud	7651	
Adrenergic Receptor Protocols	978-0-89603-602-4	978-1-59259-684-3							http://link.springer.com/10.1385/1592596843		10.1385/1592596843		fulltext		Humana Press	Monograph	2000		126		Machida	7651	
Affinity Biosensors	978-0-89603-539-3	978-1-59259-485-6							http://link.springer.com/10.1385/0896035395		10.1385/0896035395		fulltext		Humana Press	Monograph	1998		7		Rogers	7650	
Affinity Chromatography	978-0-89603-694-9	978-1-60327-261-2							http://link.springer.com/10.1007/978-1-60327-261-2		10.1007/978-1-60327-261-2		fulltext		Humana Press	Monograph	2000		147		Bailon	7651	
Aging Methods and Protocols	978-0-89603-582-9	978-1-59259-070-4							http://link.springer.com/10.1385/1592590705		10.1385/1592590705		fulltext		Humana Press	Monograph	2000		38		Barnett	7652	
Agrobacterium Protocols	978-0-89603-302-3	978-1-59259-531-0							http://link.springer.com/10.1385/0896033023		10.1385/0896033023		fulltext		Springer New York	Monograph	1995		44		Gartland	7651	
Alzheimer's Disease	978-0-89603-737-3	978-1-59259-195-4							http://link.springer.com/10.1385/1592591957		10.1385/1592591957		fulltext		Humana Press	Monograph	2000		32		Hooper	7652	
Amines and Their Metabolites	978-0-89603-076-3	978-1-59259-607-2							http://link.springer.com/10.1385/0896030768		10.1385/0896030768		fulltext		Humana Press	Monograph	1985		2		Boulton	7657	
Amino Acid Analysis Protocols	978-0-89603-656-7	978-1-59259-047-6							http://link.springer.com/10.1385/1592590470		10.1385/1592590470		fulltext		Humana Press	Monograph	2000		159		Cooper	7651	
Amino Acids	978-0-89603-077-0	978-1-59259-608-9							http://link.springer.com/10.1385/0896030776		10.1385/0896030776		fulltext		Humana Press	Monograph	1985		3		Boulton	7657	
Analysis of Psychiatric Drugs	978-0-89603-121-0	978-1-59259-615-7							http://link.springer.com/10.1385/0896031217		10.1385/0896031217		fulltext		Humana Press	Monograph	1988		10		Boulton	7657	
Angiogenesis Protocols	978-0-89603-698-7	978-1-59259-143-5							http://link.springer.com/10.1385/1592591434		10.1385/1592591434		fulltext		Humana Press	Monograph	2001		46		Murray	7652	
Angiotensin Protocols	978-0-89603-763-2	978-1-59259-087-2							http://link.springer.com/10.1385/159259087X		10.1385/159259087X		fulltext		Humana Press	Monograph	2001		51		Wang	7652	
Animal Cell Biotechnology	978-0-89603-547-8	978-1-59259-486-3							http://link.springer.com/10.1385/0896035476		10.1385/0896035476		fulltext		Humana Press	Monograph	1999		8		Jenkins	7650	
Animal Cell Culture	978-0-89603-150-0	978-1-59259-492-4							http://link.springer.com/10.1385/0896031500		10.1385/0896031500		fulltext		Humana Press	Monograph	1990		5		Walker	7651	
Animal Cell Electroporation and Electrofusion Protocols	978-0-89603-304-7	978-1-59259-535-8							http://link.springer.com/10.1385/089603304X		10.1385/089603304X		fulltext		Humana Press	Monograph	1995		48		Nickoloff	7651	
Animal Models in Psychiatry, I	978-0-89603-198-2	978-1-59259-623-2							http://link.springer.com/10.1385/0896031985		10.1385/0896031985		fulltext		Humana Press	Monograph	1991		18		Boulton	7657	
Animal Models in Psychiatry, II	978-0-89603-177-7	978-1-59259-624-9							http://link.springer.com/10.1385/0896031772		10.1385/0896031772		fulltext		Humana Press	Monograph	1992		19		Boulton	7657	
Animal Models of Drug Addiction	978-0-89603-217-0	978-1-59259-629-4							http://link.springer.com/10.1385/0896032175		10.1385/0896032175		fulltext		Humana Press	Monograph	1992		24		Boulton	7657	
Animal Models of Neurological Disease, I	978-0-89603-208-8	978-1-59259-626-3							http://link.springer.com/10.1385/0896032086		10.1385/0896032086		fulltext		Humana Press	Monograph	1992		21		Boulton	7657	
Animal Models of Neurological Disease, II	978-0-89603-211-8	978-1-59259-627-0							http://link.springer.com/10.1385/0896032116		10.1385/0896032116		fulltext		Humana Press	Monograph	1992		22		Boulton	7657	
Antibacterial Peptide Protocols	978-0-89603-408-2	978-1-59259-564-8							http://link.springer.com/10.1385/0896034089		10.1385/0896034089		fulltext		Humana Press	Monograph	1997		78		Shafer	7651	
Antibiotic Resistence	978-0-89603-777-9	978-1-59259-077-3							http://link.springer.com/10.1385/1592590772		10.1385/1592590772		fulltext		Humana Press	Monograph	2001		48		Gillespie	7652	
Antibody Engineering	978-1-58829-092-2	978-1-59259-666-9							http://link.springer.com/10.1385/1592596665		10.1385/1592596665		fulltext		Humana Press	Monograph	2004		248		Lo	7651	
Antibody Engineering Protocols	978-0-89603-275-0	978-1-59259-538-9							http://link.springer.com/10.1385/0896032752		10.1385/0896032752		fulltext		Humana Press	Monograph	1995		51		Paul	7651	
Antibody Phage Display	978-0-89603-906-3	978-1-59259-240-1							http://link.springer.com/10.1385/1592592406		10.1385/1592592406		fulltext		Humana Press	Monograph	2002		178		O’Brien	7651	
Anticoagulants, Antiplatelets, and Thrombolytics	978-1-58829-083-0	978-1-59259-658-4							http://link.springer.com/10.1385/1592596584		10.1385/1592596584		fulltext		Springer New York	Monograph	2004		93		Mousa	7652	
Antigen Processing and Presentation Protocols	978-0-89603-745-8	978-1-59259-062-9							http://link.springer.com/10.1385/1592590624		10.1385/1592590624		fulltext		Humana Press	Monograph	2001		156		Solheim	7651	
Antisense Therapeutics	978-0-89603-305-4	978-1-59259-585-3							http://link.springer.com/10.1385/0896033058		10.1385/0896033058		fulltext		Humana Press	Monograph	1996		1		Agrawal	7652	
Antiviral Methods and Protocols	978-0-89603-561-4	978-1-59259-245-6							http://link.springer.com/10.1385/1592592457		10.1385/1592592457		fulltext		Humana Press	Monograph	2000		24		Kinchington	7652	
Apoptosis Methods and Protocols	978-0-89603-873-8	978-1-59259-812-0							http://link.springer.com/10.1385/1592598129		10.1385/1592598129		fulltext		Humana Press	Monograph	2004		282		Brady	7651	
Apoptosis Methods in Pharmacology and Toxicology	978-0-89603-890-5	978-1-59259-279-1							http://link.springer.com/10.1385/1592592791		10.1385/1592592791		fulltext		Humana Press	Monograph	2002				Davis	7653	
Apoptosis Techniques and Protocols	978-0-89603-451-8	978-1-59259-634-8							http://link.springer.com/10.1385/0896034518		10.1385/0896034518		fulltext		Humana Press	Monograph	1997		29		Poirier	7657	
Apoptosis Techniques and Protocols	978-1-58829-012-0	978-1-59259-188-6							http://link.springer.com/10.1385/1592591884		10.1385/1592591884		fulltext		Springer New York	Monograph	2002		37	Second Edition	LeBlanc	7657	
Aqueous Two-Phase Systems: Methods and Protocols	978-0-89603-541-6	978-1-59259-028-5							http://link.springer.com/10.1385/1592590284		10.1385/1592590284		fulltext		Humana Press	Monograph	2000		11		Hatti-Kaul	7650	
Arabidopsis Protocols	978-0-89603-391-7	978-1-59259-268-5							http://link.springer.com/10.1385/0896033910		10.1385/0896033910		fulltext		Humana Press	Monograph	1998		82		Martinez-Zapater	7651	
Asthma	978-0-89603-626-0	978-1-59259-072-8							http://link.springer.com/10.1385/1592590721		10.1385/1592590721		fulltext		Humana Press	Monograph	2000		44		Fan Chung	7652	
Atherosclerosis	978-0-89603-751-9	978-1-59259-073-5							http://link.springer.com/10.1385/159259073X		10.1385/159259073X		fulltext		Humana Press	Monograph	2001		52		Drew	7652	
Atomic Force Microscopy	978-1-58829-094-6	978-1-59259-647-8							http://link.springer.com/10.1385/1592596479		10.1385/1592596479		fulltext		Humana Press	Monograph	2004		242		Braga	7651	
Autoimmunity	978-1-58829-231-5	978-1-59259-805-2							http://link.springer.com/10.1385/1592598056		10.1385/1592598056		fulltext		Humana Press	Monograph	2004		102		Perl	7652	
B Cell Protocols	978-1-58829-347-3	978-1-59259-796-3							http://link.springer.com/10.1385/1592597963		10.1385/1592597963		fulltext		Humana Press	Monograph	2004		271		Gu	7651	
Bacterial Artificial Chromosomes	978-0-89603-988-9	978-1-59259-752-9							http://link.springer.com/10.1385/1592597521		10.1385/1592597521		fulltext		Humana Press	Monograph	2004		255		Zhao	7651	
Bacterial Artificial Chromosomes	978-0-89603-989-6	978-1-59259-753-6							http://link.springer.com/10.1385/159259753X		10.1385/159259753X		fulltext		Humana Press	Monograph	2004		256		Zhao	7651	
Bacterial Toxins: Methods and Protocols	978-0-89603-604-8	978-1-59259-052-0							http://link.springer.com/10.1385/1592590527		10.1385/1592590527		fulltext		Humana Press	Monograph	2000		145		Holst	7651	
