publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
Earth Perspectives		2194-6434	2014-02	1	1	2015-11	2	1	http://link.springer.com/journal/40322		40322		fulltext		Springer Berlin Heidelberg	Serial							
Earth Science Informatics	1865-0473	1865-0481	2008-04	1	1	2015-12	8	4	http://link.springer.com/journal/12145		12145		fulltext		Springer Berlin Heidelberg	Serial							
Earth, Planets and Space		1880-5981	1998-01	50	1	2015-12	67	1	http://link.springer.com/journal/40623		40623		fulltext		Springer Berlin Heidelberg	Serial							
Earthquake Engineering and Engineering Vibration	1671-3664	1993-503X	2002-06	1	1	2015-12	14	4	http://link.springer.com/journal/11803		11803		fulltext		Institute of Engineering Mechanics, China Earthquake Administration	Serial							
East Asian Science, Technology and Society: an International Journal	1875-2160	1875-2152	2007-12	1	1	2010-12	4	4	http://link.springer.com/journal/12280		12280		fulltext		Springer Netherlands	Serial							
EcoHealth	1612-9202	1612-9210	2004-03	1	1	2015-12	12	3	http://link.springer.com/journal/10393		10393		fulltext		Springer US	Serial							
Ecological Processes		2192-1709	2012-02	1	1	2015-12	4	1	http://link.springer.com/journal/13717		13717		fulltext		Springer Berlin Heidelberg	Serial							
Economia Politica	1120-2890	1973-820X	2015-02	32	1	2015-12	32	3	http://link.springer.com/journal/40888		40888		fulltext		Springer International Publishing	Serial							
Economia e Politica Industriale	0391-2078	1972-4977	2014-11	42	1	2015-12	42	4	http://link.springer.com/journal/40812		40812		fulltext		Springer International Publishing	Serial							
Economic Theory Bulletin	2196-1085	2196-1093	2013-05	1	1	2015-12	3	2	http://link.springer.com/journal/40505		40505		fulltext		Springer International Publishing	Serial							
Economics of Governance	1435-6104	1435-8131	2000-03	1	1	2015-12	16	4	http://link.springer.com/journal/10101		10101		fulltext		Springer Berlin Heidelberg	Serial							
