publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id
3d, 4d and 5d Elements, Alloys and Compounds	978-3-540-15904-9	978-3-540-39667-3							http://link.springer.com/10.1007/b29710		10.1007/b29710		fulltext		Springer Berlin Heidelberg	Monograph	1986		19a		Wijn	284003	
3d, 4d and 5d Elements, Alloys and Compounds	978-3-540-60334-4	978-3-540-44932-4							http://link.springer.com/10.1007/b52851		10.1007/b52851		fulltext		Springer Berlin Heidelberg	Monograph	1997		32A		Wijn	284003	
A Dictionary of Diplomacy	978-0-333-76497-8	978-1-4039-0080-7							http://link.springer.com/10.1057/9781403900807	Berridge	10.1057/9781403900807		fulltext		Palgrave Macmillan UK	Monograph	2001						
A Dictionary of Diplomacy	978-1-4039-1536-8	978-0-230-50134-8							http://link.springer.com/10.1057/9780230501348	Berridge	10.1057/9780230501348		fulltext		Palgrave Macmillan UK	Monograph	2003			Second Edition	Barder		
A Directory of Shakespeare in Performance Since 1991	978-1-349-58790-2	978-1-349-58788-9							http://link.springer.com/10.1007/978-1-349-58788-9	Goodland	10.1007/978-1-349-58788-9		fulltext		Palgrave Macmillan UK	Monograph	2011					14367	
A Mathematician Grappling with His Century	978-3-7643-6052-8	978-3-0348-7584-4							http://link.springer.com/10.1007/978-3-0348-7584-4	Schwartz	10.1007/978-3-0348-7584-4		fulltext		Birkhäuser Basel	Monograph	2001						
A. E. Housman	978-1-349-06551-6	978-1-349-06549-3							http://link.springer.com/10.1007/978-1-349-06549-3	Page	10.1007/978-1-349-06549-3		fulltext		Palgrave Macmillan UK	Monograph	1983						
Abelian Group Theory	978-3-540-12335-4								http://link.springer.com/10.1007/BFb0103695		10.1007/BFb0103695		fulltext		Springer Berlin Heidelberg	Monograph	1983		1006		Göbel	304	
Ac - Na	978-3-540-17621-3	978-3-540-47723-5							http://link.springer.com/10.1007/b31114		10.1007/b31114		fulltext		Springer Berlin Heidelberg	Monograph	1990		21a		Flükiger	284003	
Ac-Au – Au-Zr	978-3-540-15516-4	978-3-540-39444-0							http://link.springer.com/10.1007/b20007		10.1007/b20007		fulltext		Springer Berlin Heidelberg	Monograph	1991		5a		Madelung	284004	
Acceptance & Commitment Therapy	978-90-313-5894-6	978-90-313-6320-9							http://link.springer.com/10.1007/978-90-313-6320-9		10.1007/978-90-313-6320-9		fulltext		Bohn Stafleu van Loghum	Monograph	2008				A-Tjak		
Accessible Physics	978-0-333-64129-3	978-1-349-13806-7							http://link.springer.com/10.1007/978-1-349-13806-7	Azzopardi	10.1007/978-1-349-13806-7		fulltext		Macmillan Education UK	Monograph	1995						
Acidification in Finland	978-3-642-75452-4	978-3-642-75450-0							http://link.springer.com/10.1007/978-3-642-75450-0		10.1007/978-3-642-75450-0		fulltext		Springer Berlin Heidelberg	Monograph	1990				Kauppi		
Acting Like a Woman in Modern Japan	978-0-312-29291-1	978-1-349-63315-9							http://link.springer.com/10.1007/978-1-349-63315-9	Kano	10.1007/978-1-349-63315-9		fulltext		Palgrave Macmillan US	Monograph	2001						
Actinide Elements and their Compounds with other Elements. Part 1	978-3-540-52127-3	978-3-540-46890-5							http://link.springer.com/10.1007/b35809		10.1007/b35809		fulltext		Springer Berlin Heidelberg	Monograph	1991		19f1		Wijn	284003	
Adsorbed Layers on Surfaces. Part 1: Adsorption on Surfaces and Surface Diffusion of Adsorbates	978-3-540-41223-6	978-3-540-40964-9							http://link.springer.com/10.1007/b71466		10.1007/b71466		fulltext		Springer Berlin Heidelberg	Monograph	2001		42A1		Bonzel	284003	
Adsorbed Layers on Surfaces. Part 2: Measuring Techniques and Surface Properties Changed by Adsorption	978-3-540-41224-3	978-3-540-40959-5							http://link.springer.com/10.1007/b79071		10.1007/b79071		fulltext		Springer Berlin Heidelberg	Monograph	2002		42A2		Bonzel	284003	
Aerodynamic and Aerothermodynamic Analysis of Space Mission Vehicles	978-3-319-13926-5	978-3-319-13927-2							http://link.springer.com/10.1007/978-3-319-13927-2	Viviani	10.1007/978-3-319-13927-2		fulltext		Springer International Publishing	Monograph	2015			2015		8613	
Allgemeine Betriebswirtschaftslehre	978-3-8349-3416-1	978-3-8349-3844-2							http://link.springer.com/10.1007/978-3-8349-3844-2	Thommen	10.1007/978-3-8349-3844-2		fulltext		Gabler Verlag	Monograph	2012			7., vollständig überarbeitete Auflage			
Alloys and Compounds of d-Elements with Main Group Elements. Part 1	978-3-540-62472-1	978-3-540-49731-8							http://link.springer.com/10.1007/b52852		10.1007/b52852		fulltext		Springer Berlin Heidelberg	Monograph	1999		32B		Wijn	284003	
Alloys and Compounds of d-Elements with Main Group Elements. Part 2	978-3-540-17744-9	978-3-540-47798-3							http://link.springer.com/10.1007/b33550		10.1007/b33550		fulltext		Springer Berlin Heidelberg	Monograph	1988		19c		Wijn	284003	
Analytical Reaction Gas Chromatography	978-1-4899-6272-0	978-1-4899-6592-9							http://link.springer.com/10.1007/978-1-4899-6592-9	Berezkin	10.1007/978-1-4899-6592-9		fulltext		Springer US	Monograph	1968						
Anders kijken	978-90-368-0843-9	978-90-368-0844-6							http://link.springer.com/10.1007/978-90-368-0844-6	Willemse	10.1007/978-90-368-0844-6		fulltext		Bohn Stafleu van Loghum	Monograph	2015			3rd ed. 2015			
Android Application Sketch Book	978-1-4302-4230-7	978-1-4302-4231-4							http://link.springer.com/10.1007/978-1-4302-4231-4	Kaplan	10.1007/978-1-4302-4231-4		fulltext		Apress	Monograph	2011						
Archaeological Ceramic Materials	978-3-642-64176-3	978-3-642-59905-7							http://link.springer.com/10.1007/978-3-642-59905-7	Velde	10.1007/978-3-642-59905-7		fulltext		Springer Berlin Heidelberg	Monograph	1999					3703	
Astronomy and Astrophysics	978-3-540-03347-9	978-3-540-37133-5							http://link.springer.com/10.1007/b85535		10.1007/b85535		fulltext		Springer Berlin Heidelberg	Monograph	1965		1		Voigt	284006	
Atlas of an Insect Brain	978-3-642-66181-5	978-3-642-66179-2							http://link.springer.com/10.1007/978-3-642-66179-2		10.1007/978-3-642-66179-2		fulltext		Springer Berlin Heidelberg	Monograph	1976				Strausfeld		
Atomic Defects in Metals	978-3-540-51435-0	978-3-540-48128-7							http://link.springer.com/10.1007/b37800		10.1007/b37800		fulltext		Springer Berlin Heidelberg	Monograph	1991		25		Ullmaier	284003	
Auffassungen von Schule und pädagogischer Konsens	978-3-476-45039-5	978-3-476-04196-8							http://link.springer.com/10.1007/978-3-476-04196-8		10.1007/978-3-476-04196-8		fulltext		J.B. Metzler	Monograph	1993				Aurin		
B-Ba – C-Zr	978-3-540-55115-7	978-3-540-46733-5							http://link.springer.com/10.1007/b43647		10.1007/b43647		fulltext		Springer Berlin Heidelberg	Monograph	1992		5b		Madelung	284004	
Basic Concepts of Information Technology	978-1-85233-442-0	978-1-4471-0781-1							http://link.springer.com/10.1007/978-1-4471-0781-1	Lancaster	10.1007/978-1-4471-0781-1		fulltext		Springer London	Monograph	2000		1			4612	
Bauphysik	978-3-519-05051-3	978-3-322-92789-7							http://link.springer.com/10.1007/978-3-322-92789-7	Zürcher	10.1007/978-3-322-92789-7		fulltext		Vieweg+Teubner Verlag	Monograph	1998		2		Zürcher	12078	
Bedwing je dwang	978-90-313-6009-3	978-90-313-7976-7							http://link.springer.com/10.1007/978-90-313-7976-7	Wolters	10.1007/978-90-313-7976-7		fulltext		Bohn Stafleu van Loghum	Monograph	2008						
Behandeling van angststoornissen bij kinderen en adolescenten	978-90-313-5165-7	978-90-313-6577-7							http://link.springer.com/10.1007/978-90-313-6577-7	Bögels	10.1007/978-90-313-6577-7		fulltext		Bohn Stafleu van Loghum	Monograph	2008						
Behandeling van de dwangstoornis bij kinderen en adolescenten	978-90-313-6008-6	978-90-313-7975-0							http://link.springer.com/10.1007/978-90-313-7975-0	Haan	10.1007/978-90-313-7975-0		fulltext		Bohn Stafleu van Loghum	Monograph	2009					8540	
Behandeling van langdurige slapeloosheid	978-90-313-7523-3	978-90-313-7524-0							http://link.springer.com/10.1007/978-90-313-7524-0	Verbeek	10.1007/978-90-313-7524-0		fulltext		Bohn Stafleu van Loghum	Monograph	2010						
Behandeling van langdurige slapeloosheid	978-90-368-0753-1	978-90-368-0754-8							http://link.springer.com/10.1007/978-90-368-0754-8	Verbeek	10.1007/978-90-368-0754-8		fulltext		Bohn Stafleu van Loghum	Monograph	2015			2nd ed. 2015	Pijnenborg		
Beter beginnen	978-90-313-5496-2	978-90-313-6318-6							http://link.springer.com/10.1007/978-90-313-6318-6	Mooren	10.1007/978-90-313-6318-6		fulltext		Bohn Stafleu van Loghum	Monograph	2008						
Beter communiceren in de hulpverlening	978-90-313-4973-9	978-90-313-7129-7							http://link.springer.com/10.1007/978-90-313-7129-7	Maurer	10.1007/978-90-313-7129-7		fulltext		Bohn Stafleu van Loghum	Monograph	2007						
Binary Actinide Oxides	978-3-540-63272-6	978-3-540-69406-9							http://link.springer.com/10.1007/b60166		10.1007/b60166		fulltext		Springer Berlin Heidelberg	Monograph	1999		27C2		Wijn	284003	
Binary Lanthanide Oxides	978-3-540-52960-6	978-3-540-47187-5							http://link.springer.com/10.1007/b39979		10.1007/b39979		fulltext		Springer Berlin Heidelberg	Monograph	1997		27C1		Wijn	284003	
Binary Liquid Systems of Nonelectrolytes	978-3-540-60347-4	978-3-540-45037-5							http://link.springer.com/10.1007/b56530		10.1007/b56530		fulltext		Springer Berlin Heidelberg	Monograph	2004		10A		Kehiaian	284004	
Binary systems. Part 2: Elements and Binary Systems from B – C to Cr – Zr	978-3-540-20205-9	978-3-540-45201-0							http://link.springer.com/10.1007/b76783		10.1007/b76783		fulltext		Springer Berlin Heidelberg	Monograph	2004		19B2		Franke	284004	
