publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	onlineidentifier
Meccanica	0025-6455								http://link.springer.com/journal/11012		11012														1572-9648
Culture, Medicine, and Psychiatry	0165-005X								http://link.springer.com/journal/11013		11013														1573-076X
Metallurgist	0026-0894								http://link.springer.com/journal/11015		11015														1573-8892
Metascience	0815-0796								http://link.springer.com/journal/11016		11016														1467-9981
Theoretical Medicine and Bioethics	1386-7415								http://link.springer.com/journal/11017		11017														1573-1200
Measurement Techniques	0543-1972								http://link.springer.com/journal/11018		11018														1573-8906
Medicine, Health Care and Philosophy	1386-7423								http://link.springer.com/journal/11019		11019														1572-8633
Mental Health Services Research	1522-3434								http://link.springer.com/journal/11020		11020														1573-6636
Methods in Cell Science	1381-5741								http://link.springer.com/journal/11022		11022														1573-0603
Minds and Machines	0924-6495								http://link.springer.com/journal/11023		11023														1572-8641
Minerva	0026-4695								http://link.springer.com/journal/11024		11024														1573-1871
Mitigation and Adaptation Strategies for Global Change	1381-2386								http://link.springer.com/journal/11027		11027														1573-1596
Mechanics of Composite Materials	0191-5665								http://link.springer.com/journal/11029		11029														1573-8922
Molecular Diversity	1381-1991								http://link.springer.com/journal/11030		11030														1573-501X
Motivation and Emotion	0146-7239								http://link.springer.com/journal/11031		11031														1573-6644
Molecular Breeding	1380-3743								http://link.springer.com/journal/11032		11032														1572-9788
Molecular Biology Reports	0301-4851								http://link.springer.com/journal/11033		11033														1573-4978
Mobile Networks and Applications	1383-469X								http://link.springer.com/journal/11036		11036														1572-8153
Molecular Engineering	0925-5125								http://link.springer.com/journal/11037		11037														1572-8951
Earth, Moon, and Planets	0167-9295								http://link.springer.com/journal/11038		11038														1573-0794
MOST: Economic Policy in Transitional Economies	1120-7388								http://link.springer.com/journal/11039		11039														1573-7063
Mathematical Physics, Analysis and Geometry	1385-0172								http://link.springer.com/journal/11040		11040														1572-9656
Metal Science and Heat Treatment	0026-0673								http://link.springer.com/journal/11041		11041														1573-8973
Mechanics of Time-Dependent Materials	1385-2000								http://link.springer.com/journal/11043		11043														1573-2738
Multibody System Dynamics	1384-5640								http://link.springer.com/journal/11044		11044														1573-272X
Multidimensional Systems and Signal Processing	0923-6082								http://link.springer.com/journal/11045		11045														1573-0824
Mycopathologia	0301-486X								http://link.springer.com/journal/11046		11046														1573-0832
Natural Computing	1567-7818								http://link.springer.com/journal/11047		11047														1572-9796
Natural Language & Linguistic Theory	0167-806X								http://link.springer.com/journal/11049		11049														1573-0859
Natural Language Semantics	0925-854X								http://link.springer.com/journal/11050		11050														1572-865X
Journal of Nanoparticle Research	1388-0764								http://link.springer.com/journal/11051		11051														1572-896X
Natural Resources Research	1520-7439								http://link.springer.com/journal/11053		11053														1573-8981
Nonlinear Dynamics, Psychology, and Life Sciences	1090-0578								http://link.springer.com/journal/11054		11054														1573-6652
Neuroscience and Behavioral Physiology	0097-0549								http://link.springer.com/journal/11055		11055														1573-899X
New Forests	0169-4286								http://link.springer.com/journal/11056		11056														1573-5095
Negotiation Journal	0748-4526								http://link.springer.com/journal/11057		11057														1571-9979
Neohelicon	0324-4652								http://link.springer.com/journal/11059		11059														1588-2810
Journal of Neuro-Oncology	0167-594X								http://link.springer.com/journal/11060		11060														1573-7373
Neophilologus	0028-2677								http://link.springer.com/journal/11061		11061														1572-8668
Neurophysiology	0090-2977								http://link.springer.com/journal/11062		11062														1573-9007
Neural Processing Letters	1370-4621								http://link.springer.com/journal/11063		11063														1573-773X
Neurochemical Research	0364-3190								http://link.springer.com/journal/11064		11064														1573-6903
Neuropsychology Review	1040-7308								http://link.springer.com/journal/11065		11065														1573-6660
NETNOMICS: Economic Research and Electronic Networking	1385-9587								http://link.springer.com/journal/11066		11066														1573-7071
Networks and Spatial Economics	1566-113X								http://link.springer.com/journal/11067		11067														1572-9427
Brain Cell Biology	1559-7105								http://link.springer.com/journal/11068		11068														1559-7113
Natural Hazards	0921-030X								http://link.springer.com/journal/11069		11069														1573-0840
Nonlinear Dynamics	0924-090X								http://link.springer.com/journal/11071		11071														1573-269X
Nonlinear Oscillations									http://link.springer.com/journal/11072		11072														1536-0059
Numerical Algorithms	1017-1398								http://link.springer.com/journal/11075		11075														1572-9265
Policy Sciences	0032-2687								http://link.springer.com/journal/11077		11077														1573-0891
Optical Networks Magazine	1388-6916								http://link.springer.com/journal/11078		11078														1572-8161
Open Economies Review	0923-7992								http://link.springer.com/journal/11079		11079														1573-708X
Open Systems and Information Dynamics	1230-1612								http://link.springer.com/journal/11080		11080														1573-1324
Optimization and Engineering	1389-4420								http://link.springer.com/journal/11081		11081														1573-2924
Optical and Quantum Electronics	0306-8919								http://link.springer.com/journal/11082		11082														1572-817X
Order	0167-8094								http://link.springer.com/journal/11083		11083														1572-9273
Origins of Life and Evolution of Biospheres	0169-6149								http://link.springer.com/journal/11084		11084														1573-0875
Oxidation of Metals	0030-770X								http://link.springer.com/journal/11085		11085														1573-4889
Programming and Computer Software	0361-7688								http://link.springer.com/journal/11086		11086														1608-3261
Plasmas and Polymers	1084-0184								http://link.springer.com/journal/11088		11088														1572-8978
Pastoral Psychology	0031-2789								http://link.springer.com/journal/11089		11089														1573-6679
Plasma Chemistry and Plasma Processing	0272-4324								http://link.springer.com/journal/11090		11090														1572-8986
Perspectives in Drug Discovery and Design	0928-2866								http://link.springer.com/journal/11091		11091														1573-9023
Educational Assessment, Evaluation and Accountability	1874-8597								http://link.springer.com/journal/11092		11092														1874-8600
Pharmaceutical Chemistry Journal	0091-150X								http://link.springer.com/journal/11094		11094														1573-9031
Pharmaceutical Research	0724-8741								http://link.springer.com/journal/11095		11095														1573-904X
International Journal of Clinical Pharmacy	2210-7703								http://link.springer.com/journal/11096		11096														2210-7711
Phenomenology and the Cognitive Sciences	1568-7759								http://link.springer.com/journal/11097		11097														1572-8676
Philosophical Studies	0031-8116								http://link.springer.com/journal/11098		11098														1573-0883
Photosynthetica	0300-3604								http://link.springer.com/journal/11099		11099														1573-9058
Phytochemistry Reviews	1568-7767								http://link.springer.com/journal/11101		11101														1572-980X
Pituitary	1386-341X								http://link.springer.com/journal/11102		11102														1573-7403
Plant Molecular Biology	0167-4412								http://link.springer.com/journal/11103		11103														1573-5028
Plant and Soil	0032-079X								http://link.springer.com/journal/11104		11104														1573-5036
Powder Metallurgy and Metal Ceramics	1068-1302								http://link.springer.com/journal/11106		11106														1573-9066
Photonic Network Communications	1387-974X								http://link.springer.com/journal/11107		11107														1572-8188
Political Behavior	0190-9320								http://link.springer.com/journal/11109		11109														1573-6687
Physical Oceanography									http://link.springer.com/journal/11110		11110														0928-5105
European Journal of Political Research	0304-4130								http://link.springer.com/journal/11112		11112														1475-6765
Population Research and Policy Review	0167-5923								http://link.springer.com/journal/11113		11113														1573-7829
Public Organization Review	1566-7170								http://link.springer.com/journal/11115		11115														1573-7098
Transportation	0049-4488								http://link.springer.com/journal/11116		11116														1572-9435
Positivity	1385-1292								http://link.springer.com/journal/11117		11117														1572-9281
Potential Analysis	0926-2601								http://link.springer.com/journal/11118		11118														1572-929X
Precision Agriculture	1385-2256								http://link.springer.com/journal/11119		11119														1573-1618
Photosynthesis Research	0166-8595								http://link.springer.com/journal/11120		11120														1573-5079
Prevention Science	1389-4986								http://link.springer.com/journal/11121		11121														1573-6695
Problems of Information Transmission	0032-9460								http://link.springer.com/journal/11122		11122														1608-3253
Journal of Productivity Analysis	0895-562X								http://link.springer.com/journal/11123		11123														1573-0441
Protection of Metals and Physical Chemistry of Surfaces	2070-2051								http://link.springer.com/journal/11124		11124														2070-206X
PROSPECTS	0033-1538								http://link.springer.com/journal/11125		11125														1573-9090
Psychiatric Quarterly	0033-2720								http://link.springer.com/journal/11126		11126														1573-6709
Public Choice	0048-5829								http://link.springer.com/journal/11127		11127														1573-7101
Quantum Information Processing	1570-0755								http://link.springer.com/journal/11128		11128														1573-1332
Quantitative Marketing and Economics	1570-7156								http://link.springer.com/journal/11129		11129														1573-711X
Plant Foods for Human Nutrition	0921-9668								http://link.springer.com/journal/11130		11130														1573-9104
Quantitative Microbiology	1388-3593								http://link.springer.com/journal/11131		11131														1572-9923
Qualitative Sociology	0162-0436								http://link.springer.com/journal/11133		11133														1573-7837
Queueing Systems	0257-0130								http://link.springer.com/journal/11134		11134														1572-9443
Quality & Quantity	0033-5177								http://link.springer.com/journal/11135		11135														1573-7845
Radiochemistry	1066-3622								http://link.springer.com/journal/11137		11137														1608-3288
The Ramanujan Journal	1382-4090								http://link.springer.com/journal/11139		11139														1572-9303
Radiophysics and Quantum Electronics	0033-8443								http://link.springer.com/journal/11141		11141														1573-9120
Review of Accounting Studies	1380-6653								http://link.springer.com/journal/11142		11142														1573-7136
Reading and Writing	0922-4777								http://link.springer.com/journal/11145		11145														1573-0905
The Journal of Real Estate Finance and Economics	0895-5638								http://link.springer.com/journal/11146		11146														1573-045X
Review of Derivatives Research	1380-6645								http://link.springer.com/journal/11147		11147														1573-7144
Refractories and Industrial Ceramics	1083-4877								http://link.springer.com/journal/11148		11148														1573-9139
Journal of Regulatory Economics	0922-680X								http://link.springer.com/journal/11149		11149														1573-0468
Review of Economics of the Household	1569-5239								http://link.springer.com/journal/11150		11150														1573-7152
Review of Industrial Organization	0889-938X								http://link.springer.com/journal/11151		11151														1573-7160
International Journal for Philosophy of Religion	0020-7047								http://link.springer.com/journal/11153		11153														1572-8684
Reviews in Endocrine and Metabolic Disorders	1389-9155								http://link.springer.com/journal/11154		11154														1573-2606
Reliable Computing	1385-3139								http://link.springer.com/journal/11155		11155														1573-1340
Review of Quantitative Finance and Accounting	0924-865X								http://link.springer.com/journal/11156		11156														1573-7179
Reviews in Environmental Science and Bio/Technology	1569-1705								http://link.springer.com/journal/11157		11157														1572-9826
Res Publica	1356-4765								http://link.springer.com/journal/11158		11158														1572-8692
International Review of Education	0020-8566								http://link.springer.com/journal/11159		11159														1573-0638
Reviews in Fish Biology and Fisheries	0960-3166								http://link.springer.com/journal/11160		11160														1573-5184
Risk Analysis	0272-4332								http://link.springer.com/journal/11161		11161														1573-9147
Research in Higher Education	0361-0365								http://link.springer.com/journal/11162		11162														1573-188X
Research on Chemical Intermediates	0922-6168								http://link.springer.com/journal/11164		11164														1568-5675
Research in Science Education	0157-244X								http://link.springer.com/journal/11165		11165														1573-1898
Journal of Risk and Uncertainty	0895-5646								http://link.springer.com/journal/11166		11166														1573-0476
Russian Journal of Applied Chemistry	1070-4272								http://link.springer.com/journal/11167		11167														1608-3296
Research on Language and Computation	1570-7075								http://link.springer.com/journal/11168		11168														1572-8706
Russian Journal of Bioorganic Chemistry	1068-1620								http://link.springer.com/journal/11171		11171														1608-330X
Russian Chemical Bulletin	1066-5285								http://link.springer.com/journal/11172		11172														1573-9171
Russian Journal of Coordination Chemistry	1070-3284								http://link.springer.com/journal/11173		11173														1608-3318
Russian Journal of Developmental Biology	1062-3604								http://link.springer.com/journal/11174		11174														1608-3326
Russian Journal of Electrochemistry	1023-1935								http://link.springer.com/journal/11175		11175														1608-3342
Russian Journal of General Chemistry	1070-3632								http://link.springer.com/journal/11176		11176														1608-3350
Russian Journal of Genetics	1022-7954								http://link.springer.com/journal/11177		11177														1608-3369
Russian Journal of Organic Chemistry	1070-4280								http://link.springer.com/journal/11178		11178														1608-3393
Russian Journal of Marine Biology	1063-0740								http://link.springer.com/journal/11179		11179														1608-3377
Russian Microelectronics	1063-7397								http://link.springer.com/journal/11180		11180														1608-3415
Russian Journal of Nondestructive Testing	1061-8309								http://link.springer.com/journal/11181		11181														1608-3385
Russian Physics Journal	1064-8887								http://link.springer.com/journal/11182		11182														1573-9228
Russian Journal of Ecology	1067-4136								http://link.springer.com/journal/11184		11184														1608-3334
Theory and Society	0304-2421								http://link.springer.com/journal/11186		11186														1573-7853
Small Business Economics	0921-898X								http://link.springer.com/journal/11187		11187														1573-0913
Somatic Cell and Molecular Genetics	0740-7750								http://link.springer.com/journal/11188		11188														1572-9931
Spatial Cognition and Computation	1387-5868								http://link.springer.com/journal/11189		11189														1573-9252
Science & Education	0926-7220								http://link.springer.com/journal/11191		11191														1573-1901
Scientometrics	0138-9130								http://link.springer.com/journal/11192		11192														1588-2861
Space Debris	1388-3828								http://link.springer.com/journal/11193		11193														1572-9664
Sexual Abuse: A Journal of Research and Treatment	1079-0632								http://link.springer.com/journal/11194		11194														1573-286X
Sexuality and Disability	0146-1044								http://link.springer.com/journal/11195		11195														1573-6717
International Journal for the Semiotics of Law - Revue internationale de Sémiotique juridique	0952-8059								http://link.springer.com/journal/11196		11196														1572-8722
Sepsis	1385-0229								http://link.springer.com/journal/11198		11198														1573-7411
Monatsschrift Kinderheilkunde	0026-9298								http://link.springer.com/journal/112		112														1433-0474
Studia Geophysica et Geodaetica	0039-3169								http://link.springer.com/journal/11200		11200														1573-1626
Silicon Chemistry	1569-0660								http://link.springer.com/journal/11201		11201														1572-8994
Siberian Mathematical Journal	0037-4466								http://link.springer.com/journal/11202		11202														1573-9260
Statistical Inference for Stochastic Processes	1387-0874								http://link.springer.com/journal/11203		11203														1572-9311
Soil Mechanics and Foundation Engineering	0038-0741								http://link.springer.com/journal/11204		11204														1573-9279
Social Indicators Research	0303-8300								http://link.springer.com/journal/11205		11205														1573-0921
Sociological Forum	0884-8971								http://link.springer.com/journal/11206		11206														1573-7861
Solar Physics	0038-0938								http://link.springer.com/journal/11207		11207														1573-093X
Solar System Research	0038-0946								http://link.springer.com/journal/11208		11208														1608-3423
Sociological Practice	1522-3442								http://link.springer.com/journal/11210		11210														1573-787X
Social Justice Research	0885-7466								http://link.springer.com/journal/11211		11211														1573-6725
Studies in East European Thought	0925-9392								http://link.springer.com/journal/11212		11212														1573-0948
Space Science Reviews	0038-6308								http://link.springer.com/journal/11214		11214														1572-9672
Speculations in Science and Technology	0155-7785								http://link.springer.com/journal/11216		11216														1573-9309
Studies in Philosophy and Education	0039-3746								http://link.springer.com/journal/11217		11217														1573-191X
Social Psychology of Education	1381-2890								http://link.springer.com/journal/11218		11218														1573-1928
Software Quality Journal	0963-9314								http://link.springer.com/journal/11219		11219														1573-1367
Sensing and Imaging	1557-2064								http://link.springer.com/journal/11220		11220														1557-2072
Statistics and Computing	0960-3174								http://link.springer.com/journal/11222		11222														1573-1375
Strength of Materials	0039-2316								http://link.springer.com/journal/11223		11223														1573-9325
Studia Logica	0039-3215								http://link.springer.com/journal/11225		11225														1572-8730
Substance Abuse	0889-7077								http://link.springer.com/journal/11226		11226														1573-6733
The Journal of Supercomputing	0920-8542								http://link.springer.com/journal/11227		11227														1573-0484
Set-Valued and Variational Analysis	1877-0533								http://link.springer.com/journal/11228		11228														1877-0541
Synthese	0039-7857								http://link.springer.com/journal/11229		11229														1573-0964
Systematic Parasitology	0165-5752								http://link.springer.com/journal/11230		11230														1573-5192
The American Journal of Psychoanalysis	0002-9548								http://link.springer.com/journal/11231		11231														1573-6741
Theoretical and Mathematical Physics	0040-5779								http://link.springer.com/journal/11232		11232														1573-9333
Tertiary Education and Management	1358-3883								http://link.springer.com/journal/11233		11233														1573-1936
Teaching Business Ethics	1382-6891								http://link.springer.com/journal/11234		11234														1573-1944
Telecommunication Systems	1018-4864								http://link.springer.com/journal/11235		11235														1572-9451
Theoretical Foundations of Chemical Engineering	0040-5795								http://link.springer.com/journal/11236		11236														1608-3431
Theoretical and Experimental Chemistry	0040-5760								http://link.springer.com/journal/11237		11237														1573-935X
Theory and Decision	0040-5833								http://link.springer.com/journal/11238		11238														1573-7187
Journal of Thrombosis and Thrombolysis	0929-5305								http://link.springer.com/journal/11239		11239														1573-742X
Plant Cell, Tissue and Organ Culture (PCTOC)	0167-6857								http://link.springer.com/journal/11240		11240														1573-5044
Real-Time Systems	0922-6443								http://link.springer.com/journal/11241		11241														1573-1383
Transport in Porous Media	0169-3913								http://link.springer.com/journal/11242		11242														1573-1634
Transition Metal Chemistry	0340-4285								http://link.springer.com/journal/11243		11243														1572-901X
Topics in Catalysis	1022-5528								http://link.springer.com/journal/11244		11244														1572-9028
Topoi	0167-7411								http://link.springer.com/journal/11245		11245														1572-8749
Transgenic Research	0962-8819								http://link.springer.com/journal/11248		11248														1573-9368
Tribology Letters	1023-8883								http://link.springer.com/journal/11249		11249														1573-2711
Instructional Science	0020-4277								http://link.springer.com/journal/11251		11251														1573-1952
Urban Ecosystems	1083-8155								http://link.springer.com/journal/11252		11252														1573-1642
Ukrainian Mathematical Journal	0041-5995								http://link.springer.com/journal/11253		11253														1573-9376
International Urology and Nephrology	0301-1623								http://link.springer.com/journal/11255		11255														1573-2584
The Urban Review	0042-0972								http://link.springer.com/journal/11256		11256														1573-1960
User Modeling and User-Adapted Interaction	0924-1868								http://link.springer.com/journal/11257		11257														1573-1391
Plant Ecology	1385-0237								http://link.springer.com/journal/11258		11258														1573-5052
Veterinary Research Communications	0165-7380								http://link.springer.com/journal/11259		11259														1573-7446
Virus Genes	0920-8569								http://link.springer.com/journal/11262		11262														1572-994X
International Journal of Computer Vision	0920-5691								http://link.springer.com/journal/11263		11263														1573-1405
Journal of Signal Processing Systems	1939-8018								http://link.springer.com/journal/11265		11265														1939-8115
VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations	0957-8765								http://link.springer.com/journal/11266		11266														1573-7888
Water, Air, & Soil Pollution: Focus	1567-7230								http://link.springer.com/journal/11267		11267														1573-2940
Water Resources	0097-8078								http://link.springer.com/journal/11268		11268														1608-344X
Water Resources Management	0920-4741								http://link.springer.com/journal/11269		11269														1573-1650
Water, Air, & Soil Pollution	0049-6979								http://link.springer.com/journal/11270		11270														1573-2932
Welding International	0950-7116								http://link.springer.com/journal/11271		11271														1573-9449
World Journal of Microbiology and Biotechnology	0959-3993								http://link.springer.com/journal/11274		11274														1573-0972
Wireless Networks	1022-0038								http://link.springer.com/journal/11276		11276														1572-8196
Wireless Personal Communications	0929-6212								http://link.springer.com/journal/11277		11277														1572-834X
Water Quality and Ecosystems Modeling	1388-266X								http://link.springer.com/journal/11279		11279														1573-1669
World Wide Web	1386-145X								http://link.springer.com/journal/11280		11280														1573-1413
Oral Radiology	0911-6028								http://link.springer.com/journal/11282		11282														1613-9674
Ecological Research	0912-3814								http://link.springer.com/journal/11284		11284														1440-1703
Journal of Advancement in Medicine	0894-5888								http://link.springer.com/journal/11287		11287														1573-9767
Geologie en Mijnbouw	0016-7746								http://link.springer.com/journal/11288		11288														1573-9708
Georgian Mathematical Journal	1072-947X								http://link.springer.com/journal/11290		11290														1572-9176
Journal of Experimental Criminology	1573-3750								http://link.springer.com/journal/11292		11292														1572-8315
Atlantic Economic Journal	0197-4254								http://link.springer.com/journal/11293		11293														1573-9678
International Advances in Economic Research	1083-0898								http://link.springer.com/journal/11294		11294														1573-966X
Tree Genetics & Genomes	1614-2942								http://link.springer.com/journal/11295		11295														1614-2950
European Clinics in Obstetrics and Gynaecology	1613-3412								http://link.springer.com/journal/11296		11296														1613-3420
CME	1614-371X								http://link.springer.com/journal/11298		11298														1614-3744
Mind & Society	1593-7879								http://link.springer.com/journal/11299		11299														1860-1839
Der Unfallchirurg	0177-5537								http://link.springer.com/journal/113		113														1433-044X
Transition Studies Review	1614-4007								http://link.springer.com/journal/11300		11300														1614-4015
Management Review Quarterly	2198-1620								http://link.springer.com/journal/11301		11301														2198-1639
Purinergic Signalling	1573-9538								http://link.springer.com/journal/11302		11302														1573-9546
Metabolomics	1573-3882								http://link.springer.com/journal/11306		11306														1573-3890
Sleep and Breathing	1520-9512								http://link.springer.com/journal/11325		11325														1522-1709
Psychiatrie und Psychotherapie	1614-7189								http://link.springer.com/journal/11326		11326														1864-581X
Sport Sciences for Health	1824-7490								http://link.springer.com/journal/11332		11332														1825-1234
Innovations in Systems and Software Engineering	1614-5046								http://link.springer.com/journal/11334		11334														1614-5054
Psychometrika	0033-3123								http://link.springer.com/journal/11336		11336														1860-0980
Experimental Mechanics	0014-4851								http://link.springer.com/journal/11340		11340														1741-2765
Landscape and Ecological Engineering	1860-1871								http://link.springer.com/journal/11355		11355														1860-188X
Environmental Science and Pollution Research	0944-1344								http://link.springer.com/journal/11356		11356														1614-7499
AGE	0161-9152								http://link.springer.com/journal/11357		11357														1574-4647
International Entrepreneurship and Management Journal	1554-7191								http://link.springer.com/journal/11365		11365														1555-1938
Journal of Chinese Political Science	1080-6954								http://link.springer.com/journal/11366		11366														1874-6357
The International Journal of Life Cycle Assessment	0948-3349								http://link.springer.com/journal/11367		11367														1614-7502
Journal of Soils and Sediments	1439-0108								http://link.springer.com/journal/11368		11368														1614-7480
Business Economics									http://link.springer.com/journal/11369		11369														0007-666X
Intelligent Service Robotics	1861-2776								http://link.springer.com/journal/11370		11370														1861-2784
Journal of Biomedical Science	1021-7770								http://link.springer.com/journal/11373		11373														1423-0127
Der Gastroenterologe	1861-9681								http://link.springer.com/journal/11377		11377														1861-969X
Journal of Computer Science and Technology	1000-9000								http://link.springer.com/journal/11390		11390														1860-4749
The Science of Nature	0028-1042								http://link.springer.com/journal/114		114														1432-1904
Chinese Annals of Mathematics, Series B	0252-9599								http://link.springer.com/journal/11401		11401														1860-6261
Journal of Economic Interaction and Coordination	1860-711X								http://link.springer.com/journal/11403		11403														1860-7128
Philosophia	0048-3893								http://link.springer.com/journal/11406		11406														1574-9274
International Journal of Hindu Studies	1022-4556								http://link.springer.com/journal/11407		11407														1574-9282
Financial Markets and Portfolio Management	1934-4554								http://link.springer.com/journal/11408		11408														2373-8529
Metacognition and Learning	1556-1623								http://link.springer.com/journal/11409		11409														1556-1631
International Journal of Computer-Supported Collaborative Learning	1556-1607								http://link.springer.com/journal/11412		11412														1556-1615
The Journal of Behavioral Health Services & Research	1094-3412								http://link.springer.com/journal/11414		11414														1556-3308
Journal of Computer Virology and Hacking Techniques	2274-2042								http://link.springer.com/journal/11416		11416														2263-8733
Asian Journal of Criminology	1871-0131								http://link.springer.com/journal/11417		11417														1871-014X
Journal of Natural Medicines	1340-3443								http://link.springer.com/journal/11418		11418														1861-0293
Forensic Toxicology	1860-8965								http://link.springer.com/journal/11419		11419														1860-8973
HSS Journal ®	1556-3316								http://link.springer.com/journal/11420		11420														1556-3324
Cultural Studies of Science Education	1871-1502								http://link.springer.com/journal/11422		11422														1871-1510
Educational Technology Research and Development	1042-1629								http://link.springer.com/journal/11423		11423														1556-6501
Journal of Systems Science and Complexity	1009-6124								http://link.springer.com/journal/11424		11424														1559-7067
Science China Mathematics	1674-7283								http://link.springer.com/journal/11425		11425														1869-1862
Science China Chemistry	1674-7291								http://link.springer.com/journal/11426		11426														1869-1870
Science China Life Sciences	1674-7305								http://link.springer.com/journal/11427		11427														1869-1889
Der Diabetologe	1860-9716								http://link.springer.com/journal/11428		11428														1860-9724
Science China Earth Sciences	1674-7313								http://link.springer.com/journal/11430		11430														1869-1897
Science China Technological Sciences	1674-7321								http://link.springer.com/journal/11431		11431														1869-1900
Science China Information Sciences	1674-733X								http://link.springer.com/journal/11432		11432														1869-1919
Science Bulletin	2095-9273								http://link.springer.com/journal/11434		11434														2095-9281
Biophysics	0006-3509								http://link.springer.com/journal/11439		11439														1555-6654
Acta Geotechnica	1861-1125								http://link.springer.com/journal/11440		11440														1861-1133
Acoustical Physics	1063-7710								http://link.springer.com/journal/11441		11441														1562-6865
Journal of Geographical Sciences	1009-637X								http://link.springer.com/journal/11442		11442														1861-9568
Astronomy Letters	1063-7737								http://link.springer.com/journal/11443		11443														1562-6873
Astronomy Reports	1063-7729								http://link.springer.com/journal/11444		11444														1562-6881
Crystallography Reports	1063-7745								http://link.springer.com/journal/11445		11445														1562-689X
Doklady Physics	1028-3358								http://link.springer.com/journal/11446		11446														1562-6903
Journal of Experimental and Theoretical Physics	1063-7761								http://link.springer.com/journal/11447		11447														1090-6509
JETP Letters	0021-3640								http://link.springer.com/journal/11448		11448														1090-6487
Physics of Atomic Nuclei	1063-7788								http://link.springer.com/journal/11450		11450														1562-692X
Physics of the Solid State	1063-7834								http://link.springer.com/journal/11451		11451														1090-6460
Plasma Physics Reports	1063-780X								http://link.springer.com/journal/11452		11452														1562-6938
Semiconductors	1063-7826								http://link.springer.com/journal/11453		11453														1090-6479
Technical Physics	1063-7842								http://link.springer.com/journal/11454		11454														1090-6525
Technical Physics Letters	1063-7850								http://link.springer.com/journal/11455		11455														1090-6533
Journal of Maritime Archaeology	1557-2285								http://link.springer.com/journal/11457		11457														1557-2293
Frontiers of Chemistry in China	1673-3495								http://link.springer.com/journal/11458		11458														1673-3614
Frontiers of Economics in China	1673-3444								http://link.springer.com/journal/11459		11459														1673-3568
Frontiers of Electrical and Electronic Engineering	2095-2732								http://link.springer.com/journal/11460		11460														1673-3584
Frontiers of Forestry in China	1673-3517								http://link.springer.com/journal/11461		11461														1673-3630
Frontiers of History in China	1673-3401								http://link.springer.com/journal/11462		11462														1673-3525
Frontiers of Law in China	1673-3428								http://link.springer.com/journal/11463		11463														1673-3541
Frontiers of Mathematics in China	1673-3452								http://link.springer.com/journal/11464		11464														1673-3576
Frontiers of Mechanical Engineering	2095-0233								http://link.springer.com/journal/11465		11465														2095-0241
Frontiers of Philosophy in China	1673-3436								http://link.springer.com/journal/11466		11466														1673-355X
Frontiers of Physics	2095-0462								http://link.springer.com/journal/11467		11467														2095-0470
Plasmonics	1557-1955								http://link.springer.com/journal/11468		11468														1557-1963
International Journal of Mental Health and Addiction	1557-1874								http://link.springer.com/journal/11469		11469														1557-1882
Computational Mathematics and Mathematical Physics	0965-5425								http://link.springer.com/journal/11470		11470														1555-6662
Doklady Earth Sciences	1028-334X								http://link.springer.com/journal/11471		11471														1531-8354
Doklady Mathematics	1064-5624								http://link.springer.com/journal/11472		11472														1531-8362
Archaeology, Ethnology and Anthropology of Eurasia	1563-0110								http://link.springer.com/journal/11473		11473														1531-832X
Entomological Review	0013-8738								http://link.springer.com/journal/11474		11474														1555-6689
Eurasian Soil Science	1064-2293								http://link.springer.com/journal/11475		11475														1556-195X
Geochemistry International	0016-7029								http://link.springer.com/journal/11476		11476														1556-1968
Geology of Ore Deposits	1075-7015								http://link.springer.com/journal/11477		11477														1555-6476
Geomagnetism and Aeronomy	0016-7932								http://link.springer.com/journal/11478		11478														1555-645X
Geotectonics	0016-8521								http://link.springer.com/journal/11479		11479														1556-1976
Herald of the Russian Academy of Sciences	1019-3316								http://link.springer.com/journal/11480		11480														1555-6492
Journal of Neuroimmune Pharmacology	1557-1890								http://link.springer.com/journal/11481		11481														1557-1904
Food Biophysics	1557-1858								http://link.springer.com/journal/11483		11483														1557-1866
Izvestiya, Atmospheric and Oceanic Physics	0001-4338								http://link.springer.com/journal/11485		11485														1555-628X
Izvestiya, Physics of the Solid Earth	1069-3513								http://link.springer.com/journal/11486		11486														1555-6506
Journal of Communications Technology and Electronics	1064-2269								http://link.springer.com/journal/11487		11487														1555-6557
Journal of Computer and Systems Sciences International	1064-2307								http://link.springer.com/journal/11488		11488														1555-6530
Journal of Ichthyology	0032-9452								http://link.springer.com/journal/11489		11489														1555-6425
Laser Physics	1054-660X								http://link.springer.com/journal/11490		11490														1555-6611
Paleontological Journal	0031-0301								http://link.springer.com/journal/11492		11492														1555-6174
Pattern Recognition and Image Analysis	1054-6618								http://link.springer.com/journal/11493		11493														1555-6212
Petroleum Chemistry	0965-5441								http://link.springer.com/journal/11494		11494														1555-6239
Petrology	0869-5911								http://link.springer.com/journal/11495		11495														1556-2085
Physics of Particles and Nuclei Letters	1547-4771								http://link.springer.com/journal/11497		11497														1531-8567
