publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs	eISBNs	access_start_date	access_end_date	access_status		coverage_notes
Arbor Clinical Nutrition Updates		1446-5450	2006-01-01	237					http://www.cambridge.org/core/product/167CD8404A078327BCA74EEA3822A6E0		10300		fulltext			serial											1446-5450					Current		
ASTIN Bulletin	0515-0361	1783-1350	2009-05-01	39	1				http://www.cambridge.org/core/product/0D39E69259D743808B3E65A64F949B59		10301		fulltext	New for 2013. Formerly published by Peeters		serial										0515-0361	1783-1350					Current		
Australian and New Zealand Journal of Family Therapy	0814-723X	1467-8438	2007-03-01	28	1	2014-07-12	33	4	http://www.cambridge.org/core/product/251DDBA996951671970A0F73C55454B7		10302		fulltext	transfer out: Wiley 2013; transfer in: Australian Academic Press 2012		serial										0814-723X	1467-8438					Current		
Australian and New Zealand Journal of Organisational Psychology		1835-7601	2008-08-01	1		2012-12-31	5		http://www.cambridge.org/core/product/522E9A72C1F7C900838E01A266E549D8		10303		fulltext	now: Australasian Journal of Organisational Psychology 2013- ; transfer in: Australian Academic Press		serial											1835-7601					Current		
Australian Educational and Developmental Psychologist	0816-5122	1839-2504	1985-11-01	2	2	2015-12-31	32	2	http://www.cambridge.org/core/product/69375792EB79D7A63C53BD2129E3917D		10304		fulltext	Formerly published by Australian Academic Press. now: The Educational and Developmental Psychologist		serial										0816-5122	1839-2504					Current		
Biofilms	1479-0505	1479-0513	2004-01-01	1	1	2006-01-01	3	1	http://www.cambridge.org/core/product/4D63EAAE471B6FDB7EAE64E6DC3910F4		10305		fulltext	ceased: 2006		serial										1479-0505	1479-0513					Current		
Biosocieties	1745-8552	1745-8560	2006-03-01	1	1	2009-12-01	4	4	http://www.cambridge.org/core/product/B039BFD9060DC5F4F9FCAF4A03660557		10306		fulltext	transfer out: Palgrave Macmillan 2010		serial										1745-8552	1745-8560					Current		
Bulletin of Entomological Research Supplements Series	1367-4269		1993-09-01	1		1995-06-01	3		http://www.cambridge.org/core/product/8326B939A79160C38A39EAFCFA53B252		10307		fulltext	ceased: 1995		serial										1367-4269						Current		
Disaster Medicine and Public Health Preparedness	1935-7893	1938-744X	2007-07-01	1	1				http://www.cambridge.org/core/product/03D33CB340FE0698DCD12DE4F229787A		10308		fulltext	New for 2013. Previously published by the American Medical Association		serial										1935-7893	1938-744X					Current		
Equine and Comparative Exercise Physiology	1478-0615	1479-070X	2004-02-01	1	1	2007-11-01	4	4	http://www.cambridge.org/core/product/053635D8E9ED219B2BC01A747853B3B0		10309		fulltext	now: Comparative Exercise Physiology 2008- transfer out (2012): Wageningen Academic Publishers		serial										1478-0615	1479-070X					Current		
Byzantine and Modern Greek Studies	0307-0131	1749-625X	2013-01-01	37	1				http://www.cambridge.org/core/product/6FDEC811D5A750643CFEC73B6267A5AA		1031		fulltext	transfer in (2016): Maney. 1975 Vol. 1 		serial										0307-0131	1749-625X					Current		
High Power Laser Science and Engineering	2095-4719	2052-3289	2013-03-10	1	1				http://www.cambridge.org/core/product/D30FF81AE5FAEE26735889C8553C99DD		10310		fulltext	New: 2013; open access		serial										2095-4719	2052-3289					Current		
Revue Internationale de la Croix-Rouge et Bulletin Internationale des Societe de la Croix-Rouge	1026-8812		1919-01-01	1	1	1955-12-01	37	444	http://journals.cambridge.org/action/displayJournal?jid=IRC		10311		fulltext	now: International Review of the Red Cross 2005- ;previously: Revue internationale de la Croix-Rouge (1999. Imprimé) 1999-2004; Revue internationale de la Croix-Rouge 1955-1998; Revue internationale de la Croix-Rouge et Bulletin international des Sociétés de la Croix-Rouge 1919-1955; Bulletin international des sociétés de la Croix-Rouge 1886-1918; Bulletin international des sociétés de secours aux militaires blessés 1869-1885		serial										1026-8812						Current		
Revue Internationale de la Croix-Rouge	0035-3361		1956-01-01	38	445	1998-12-01	80	832	http://journals.cambridge.org/jid_IRC		10312		fulltext	now: International Review of the Red Cross 2005- ;previously: Revue internationale de la Croix-Rouge (1999. Imprimé) 1999-2004; Revue internationale de la Croix-Rouge 1955-1998; Revue internationale de la Croix-Rouge et Bulletin international des Sociétés de la Croix-Rouge 1919-1955; Bulletin international des sociétés de la Croix-Rouge 1886-1918; Bulletin international des sociétés de secours aux militaires blessés 1869-1885		serial										0035-3361						Current		
Revue Internationale de la Croix-Rouge - International Review of the Red Cross	1560-7755		1999-03-01	81	833	2004-12-01	86	856	http://journals.cambridge.org/action/displayJournal?jid=IRC		10313		fulltext	now: International Review of the Red Cross 2005- ;previously: Revue internationale de la Croix-Rouge (1999. Imprimé) 1999-2004; Revue internationale de la Croix-Rouge 1955-1998; Revue internationale de la Croix-Rouge et Bulletin international des Sociétés de la Croix-Rouge 1919-1955; Bulletin international des sociétés de la Croix-Rouge 1886-1918; Bulletin international des sociétés de secours aux militaires blessés 1869-1885		serial										1560-7755						Current		
Irish Journal of Psychological Medicine	0790-9667	2051-6967	1989-03-01	6	1				http://www.cambridge.org/core/product/62BB8DA57ECA3A966AA1CC91C75FE255		10314		fulltext	New for 2013. Previously published by IMI Irish Medical Information Ltd		serial										0790-9667	2051-6967					Current		
Journal of Hospitality and Tourism Management	1447-6770	1839-5260	2006-04-01	13	1	2012-08-01	19		http://www.cambridge.org/core/product/6338372F460FCD0F85F809ECF2BFCDDA		10316		fulltext	transfer out: Elsevier 2013; transfer in: Australian Academic Press 2012		serial										1447-6770	1839-5260					Current		
Journal of K-Theory	1865-2433	1865-5394	2008-02-01	1	1	2014-12-31	14	3	http://www.cambridge.org/core/product/FD0FD89CCF75E0B1A0AD8D61FA12225D		10317		fulltext	ceased:2015		serial										1865-2433	1865-5394					Current		
Journal of the Institute of Actuaries (1886-1994)	0020-2681	2058-1009	1974-06-01	101	1	1994-12-01	121	3	http://www.cambridge.org/core/product/2B575656C0D6D627397B5E4512789AE4		10318		fulltext	now: British Actuarial Journal 1995-		serial										0020-2681	2058-1009					Current		
MRS Online Proceedings Library (OPL)		1946-4274	1980-01-01	1					http://www.cambridge.org/core/product/41F8F6A801C7A0DF043FA3805D3E8B4D		10319		fulltext			serial											1946-4274					Current		
Proceedings of the Cambridge Philological Society	0068-6735		1882-01-01	1		2004-01-01	50		http://www.cambridge.org/core/product/98FE3A8934D4F60EA642BCD108193F6A		10320		fulltext	now: The Cambridge Classical Journal 2005--. Proceedings of the Cambridge Philological Society Volume 1 (1882) - Volume 180 (1951) and Volume 1 New Series (1952) - Volume 50 (2004)		serial										0068-6735						Current		
Transactions of the Royal Society of Edinburgh	0080-4568		1788-01-01	1		1979-01-01	70	14	http://www.cambridge.org/core/product/822BCB7D846FD74B747B4B252FA9A9C9		10321		fulltext	now: Earth and Environmental Science Transactions of the Royal Society of Edinburgh 2007- ;previously: Transactions of the Royal Society of Edinburgh. Earth sciences 1980-2007; Transactions of the Royal Society of Edinburgh 1788-1979		serial										0080-4568						Current		
